,activation_0,activation_1,activation_2,dist,id,vel
15,"[ 288.91299438   47.49407196  361.11727905  264.25183105  287.61453247
    7.18604374  248.4442749    83.2546463     1.82942247   52.83321381]","[  4.06748295  12.92953396  12.19343948  12.53817654   3.79264641
   5.01148987   3.59341574   7.02418327   0.26773205   6.52569914]","[ 301.38995361  334.85473633  223.85540771  294.69558716  215.47531128
  106.18218994  210.69107056  154.87971497  133.75042725  108.8789978 ]",23.1011142731,0,2.0
16,"[  47.49407196  361.11727905  264.25183105  287.61453247    7.18604374
  248.4442749    83.2546463     1.82942247   52.83321381   55.65918732]","[ 12.92953396  12.19343948  12.53817654   3.79264641   5.01148987
   3.59341574   7.02418327   0.26773205   6.52569914   2.49215603]","[ 334.85473633  223.85540771  294.69558716  215.47531128  106.18218994
  210.69107056  154.87971497  133.75042725  108.8789978   143.16140747]",22.9144554138,0,2.0
17,"[ 361.11727905  264.25183105  287.61453247    7.18604374  248.4442749
   83.2546463     1.82942247   52.83321381   55.65918732   32.44347763]","[ 12.19343948  12.53817654   3.79264641   5.01148987   3.59341574
   7.02418327   0.26773205   6.52569914   2.49215603   0.72775006]","[ 223.85540771  294.69558716  215.47531128  106.18218994  210.69107056
  154.87971497  133.75042725  108.8789978   143.16140747   48.09141159]",22.7257900238,0,2.0
18,"[ 264.25183105  287.61453247    7.18604374  248.4442749    83.2546463
    1.82942247   52.83321381   55.65918732   32.44347763   98.78077698]","[ 12.53817654   3.79264641   5.01148987   3.59341574   7.02418327
   0.26773205   6.52569914   2.49215603   0.72775006   8.6645813 ]","[ 294.69558716  215.47531128  106.18218994  210.69107056  154.87971497
  133.75042725  108.8789978   143.16140747   48.09141159  237.29864502]",22.5356369019,0,2.0
19,"[ 287.61453247    7.18604374  248.4442749    83.2546463     1.82942247
   52.83321381   55.65918732   32.44347763   98.78077698   46.08933258]","[ 3.79264641  5.01148987  3.59341574  7.02418327  0.26773205  6.52569914
  2.49215603  0.72775006  8.6645813   3.23662496]","[ 215.47531128  106.18218994  210.69107056  154.87971497  133.75042725
  108.8789978   143.16140747   48.09141159  237.29864502  189.41575623]",22.3450679779,0,2.0
20,"[   7.18604374  248.4442749    83.2546463     1.82942247   52.83321381
   55.65918732   32.44347763   98.78077698   46.08933258  182.26861572]","[ 5.01148987  3.59341574  7.02418327  0.26773205  6.52569914  2.49215603
  0.72775006  8.6645813   3.23662496  2.02430439]","[ 106.18218994  210.69107056  154.87971497  133.75042725  108.8789978
  143.16140747   48.09141159  237.29864502  189.41575623  151.08100891]",22.1530017853,0,2.0
21,"[ 248.4442749    83.2546463     1.82942247   52.83321381   55.65918732
   32.44347763   98.78077698   46.08933258  182.26861572   69.20062256]","[ 3.59341574  7.02418327  0.26773205  6.52569914  2.49215603  0.72775006
  8.6645813   3.23662496  2.02430439  0.69398677]","[ 210.69107056  154.87971497  133.75042725  108.8789978   143.16140747
   48.09141159  237.29864502  189.41575623  151.08100891  177.41938782]",21.9600524902,0,2.0
22,"[  83.2546463     1.82942247   52.83321381   55.65918732   32.44347763
   98.78077698   46.08933258  182.26861572   69.20062256   47.99435043]","[ 7.02418327  0.26773205  6.52569914  2.49215603  0.72775006  8.6645813
  3.23662496  2.02430439  0.69398677  7.10944605]","[ 154.87971497  133.75042725  108.8789978   143.16140747   48.09141159
  237.29864502  189.41575623  151.08100891  177.41938782  268.14706421]",21.7659549713,0,2.0
23,"[   1.82942247   52.83321381   55.65918732   32.44347763   98.78077698
   46.08933258  182.26861572   69.20062256   47.99435043  114.85012817]","[ 0.26773205  6.52569914  2.49215603  0.72775006  8.6645813   3.23662496
  2.02430439  0.69398677  7.10944605  0.7580781 ]","[ 133.75042725  108.8789978   143.16140747   48.09141159  237.29864502
  189.41575623  151.08100891  177.41938782  268.14706421  192.95883179]",21.5714206696,0,2.0
24,"[  52.83321381   55.65918732   32.44347763   98.78077698   46.08933258
  182.26861572   69.20062256   47.99435043  114.85012817  282.22994995]","[ 6.52569914  2.49215603  0.72775006  8.6645813   3.23662496  2.02430439
  0.69398677  7.10944605  0.7580781   5.87772179]","[ 108.8789978   143.16140747   48.09141159  237.29864502  189.41575623
  151.08100891  177.41938782  268.14706421  192.95883179  230.21202087]",21.3757038116,0,2.0
