,activation_0,activation_1,dist,id,vel,"('activation_2',)"
41,"[  30.1451664    69.12480927  152.94036865    2.93232036   84.72397614
   16.66786003  155.06248474  155.19206238  233.04272461  174.7736969 ]","[  2.33436465   9.29977131   2.06270742  10.70627689   0.06511728
   1.19271195  11.95852089  11.7233963    5.17263126  13.55725574]",17.5124855042,0,2.0,"[  72.33841705  459.74139404  261.52893066   35.86452103  181.26382446
   15.17986584  111.37873077  172.13975525   50.23698807  193.6472168 ]"
42,"[  69.12480927  152.94036865    2.93232036   84.72397614   16.66786003
  155.06248474  155.19206238  233.04272461  174.7736969    19.76651382]","[  9.29977131   2.06270742  10.70627689   0.06511728   1.19271195
  11.95852089  11.7233963    5.17263126  13.55725574  10.74526024]",17.3073272705,0,2.0,"[ 459.74139404  261.52893066   35.86452103  181.26382446   15.17986584
  111.37873077  172.13975525   50.23698807  193.6472168   143.29084778]"
43,"[ 152.94036865    2.93232036   84.72397614   16.66786003  155.06248474
  155.19206238  233.04272461  174.7736969    19.76651382  144.20747375]","[  2.06270742  10.70627689   0.06511728   1.19271195  11.95852089
  11.7233963    5.17263126  13.55725574  10.74526024   2.87996864]",17.1026515961,0,2.0,"[ 261.52893066   35.86452103  181.26382446   15.17986584  111.37873077
  172.13975525   50.23698807  193.6472168   143.29084778  324.28326416]"
44,"[   2.93232036   84.72397614   16.66786003  155.06248474  155.19206238
  233.04272461  174.7736969    19.76651382  144.20747375  146.85932922]","[ 10.70627689   0.06511728   1.19271195  11.95852089  11.7233963
   5.17263126  13.55725574  10.74526024   2.87996864  13.68385983]",16.89777565,0,2.0,"[  35.86452103  181.26382446   15.17986584  111.37873077  172.13975525
   50.23698807  193.6472168   143.29084778  324.28326416  218.94352722]"
45,"[  84.72397614   16.66786003  155.06248474  155.19206238  233.04272461
  174.7736969    19.76651382  144.20747375  146.85932922  141.65795898]","[  0.06511728   1.19271195  11.95852089  11.7233963    5.17263126
  13.55725574  10.74526024   2.87996864  13.68385983   8.26819992]",16.6926841736,0,2.0,"[ 181.26382446   15.17986584  111.37873077  172.13975525   50.23698807
  193.6472168   143.29084778  324.28326416  218.94352722  353.82104492]"
46,"[  16.66786003  155.06248474  155.19206238  233.04272461  174.7736969
   19.76651382  144.20747375  146.85932922  141.65795898   40.18594742]","[  1.19271195  11.95852089  11.7233963    5.17263126  13.55725574
  10.74526024   2.87996864  13.68385983   8.26819992  24.22039986]",16.4875793457,0,2.0,"[  15.17986584  111.37873077  172.13975525   50.23698807  193.6472168
  143.29084778  324.28326416  218.94352722  353.82104492  370.02941895]"
47,"[ 155.06248474  155.19206238  233.04272461  174.7736969    19.76651382
  144.20747375  146.85932922  141.65795898   40.18594742  107.83689117]","[ 11.95852089  11.7233963    5.17263126  13.55725574  10.74526024
   2.87996864  13.68385983   8.26819992  24.22039986   0.94172102]",16.2832584381,0,2.0,"[ 111.37873077  172.13975525   50.23698807  193.6472168   143.29084778
  324.28326416  218.94352722  353.82104492  370.02941895    8.67517948]"
48,"[ 155.19206238  233.04272461  174.7736969    19.76651382  144.20747375
  146.85932922  141.65795898   40.18594742  107.83689117  274.07034302]","[ 11.7233963    5.17263126  13.55725574  10.74526024   2.87996864
  13.68385983   8.26819992  24.22039986   0.94172102   9.94459724]",16.0789546967,0,2.0,"[ 172.13975525   50.23698807  193.6472168   143.29084778  324.28326416
  218.94352722  353.82104492  370.02941895    8.67517948  107.46352386]"
49,"[ 233.04272461  174.7736969    19.76651382  144.20747375  146.85932922
  141.65795898   40.18594742  107.83689117  274.07034302   36.42994308]","[  5.17263126  13.55725574  10.74526024   2.87996864  13.68385983
   8.26819992  24.22039986   0.94172102   9.94459724   2.83521128]",15.8750095367,0,2.0,"[  50.23698807  193.6472168   143.29084778  324.28326416  218.94352722
  353.82104492  370.02941895    8.67517948  107.46352386  266.2673645 ]"
50,"[ 174.7736969    19.76651382  144.20747375  146.85932922  141.65795898
   40.18594742  107.83689117  274.07034302   36.42994308  136.47703552]","[ 13.55725574  10.74526024   2.87996864  13.68385983   8.26819992
  24.22039986   0.94172102   9.94459724   2.83521128  12.16165352]",15.671216011,0,2.0,"[ 193.6472168   143.29084778  324.28326416  218.94352722  353.82104492
  370.02941895    8.67517948  107.46352386  266.2673645   208.87785339]"
