,activation_0,activation_1,activation_2,activation_3,activation_4,dist,id,vel
0,"[ 32.28503418  38.6141777   11.85982513  68.0786438   50.06418228
  38.14585876  31.758955    55.82704926  58.7373848   58.24500656]","[ 21.41845703  29.50204468   8.64052486  41.91556931  39.07493973
  29.18168831  36.01527405  49.59928894  38.61070633  51.77609634]","[  2.71957731   7.33328772   9.47929001   4.37879276  30.82061386
  18.63892174  27.54204178  46.20416641  28.48137856  37.69544601]","[ 14.29139519  10.93768311  13.09706116  10.77258205  22.80188942
  13.67093468   9.4102726   29.9582119   25.87749672  31.04408264]","[ 10.52217197   9.04247856   7.35318708   5.95177889   8.56002522
   7.16624022   5.40287161  16.63736534  14.143363    20.23226738]",39.9663734436,0,3.0
1,"[  38.6141777    11.85982513   68.0786438    50.06418228   38.14585876
   31.758955     55.82704926   58.7373848    58.24500656  163.26239014]","[  29.50204468    8.64052486   41.91556931   39.07493973   29.18168831
   36.01527405   49.59928894   38.61070633   51.77609634  128.3323822 ]","[   7.33328772    9.47929001    4.37879276   30.82061386   18.63892174
   27.54204178   46.20416641   28.48137856   37.69544601  173.84286499]","[  10.93768311   13.09706116   10.77258205   22.80188942   13.67093468
    9.4102726    29.9582119    25.87749672   31.04408264  230.58728027]","[   9.04247856    7.35318708    5.95177889    8.56002522    7.16624022
    5.40287161   16.63736534   14.143363     20.23226738  130.42030334]",39.9648895264,0,3.0
2,"[   11.85982513    68.0786438     50.06418228    38.14585876    31.758955
    55.82704926    58.7373848     58.24500656   163.26239014  1409.24145508]","[   8.64052486   41.91556931   39.07493973   29.18168831   36.01527405
   49.59928894   38.61070633   51.77609634  128.3323822   933.16448975]","[   9.47929001    4.37879276   30.82061386   18.63892174   27.54204178
   46.20416641   28.48137856   37.69544601  173.84286499  368.89968872]","[  13.09706116   10.77258205   22.80188942   13.67093468    9.4102726
   29.9582119    25.87749672   31.04408264  230.58728027  308.81356812]","[   7.35318708    5.95177889    8.56002522    7.16624022    5.40287161
   16.63736534   14.143363     20.23226738  130.42030334  239.80953979]",39.9462738037,0,3.0
3,"[   68.0786438     50.06418228    38.14585876    31.758955      55.82704926
    58.7373848     58.24500656   163.26239014  1409.24145508   843.9911499 ]","[  41.91556931   39.07493973   29.18168831   36.01527405   49.59928894
   38.61070633   51.77609634  128.3323822   933.16448975  519.21588135]","[   4.37879276   30.82061386   18.63892174   27.54204178   46.20416641
   28.48137856   37.69544601  173.84286499  368.89968872  341.72375488]","[  10.77258205   22.80188942   13.67093468    9.4102726    29.9582119
   25.87749672   31.04408264  230.58728027  308.81356812   17.08295631]","[   5.95177889    8.56002522    7.16624022    5.40287161   16.63736534
   14.143363     20.23226738  130.42030334  239.80953979   19.82782555]",39.9096221924,0,3.0
4,"[   50.06418228    38.14585876    31.758955      55.82704926    58.7373848
    58.24500656   163.26239014  1409.24145508   843.9911499    312.27050781]","[  39.07493973   29.18168831   36.01527405   49.59928894   38.61070633
   51.77609634  128.3323822   933.16448975  519.21588135  652.19580078]","[  30.82061386   18.63892174   27.54204178   46.20416641   28.48137856
   37.69544601  173.84286499  368.89968872  341.72375488  225.0459137 ]","[  22.80188942   13.67093468    9.4102726    29.9582119    25.87749672
   31.04408264  230.58728027  308.81356812   17.08295631  465.69100952]","[   8.56002522    7.16624022    5.40287161   16.63736534   14.143363
   20.23226738  130.42030334  239.80953979   19.82782555  290.16955566]",39.8287506104,0,3.0
5,"[   38.14585876    31.758955      55.82704926    58.7373848     58.24500656
   163.26239014  1409.24145508   843.9911499    312.27050781   278.27566528]","[  29.18168831   36.01527405   49.59928894   38.61070633   51.77609634
  128.3323822   933.16448975  519.21588135  652.19580078  193.15924072]","[  18.63892174   27.54204178   46.20416641   28.48137856   37.69544601
  173.84286499  368.89968872  341.72375488  225.0459137    20.43341827]","[  13.67093468    9.4102726    29.9582119    25.87749672   31.04408264
  230.58728027  308.81356812   17.08295631  465.69100952  432.16720581]","[   7.16624022    5.40287161   16.63736534   14.143363     20.23226738
  130.42030334  239.80953979   19.82782555  290.16955566  297.39465332]",39.6972618103,0,3.0
6,"[   31.758955      55.82704926    58.7373848     58.24500656   163.26239014
  1409.24145508   843.9911499    312.27050781   278.27566528   433.63961792]","[  36.01527405   49.59928894   38.61070633   51.77609634  128.3323822
  933.16448975  519.21588135  652.19580078  193.15924072  327.36730957]","[  27.54204178   46.20416641   28.48137856   37.69544601  173.84286499
  368.89968872  341.72375488  225.0459137    20.43341827  224.50505066]","[   9.4102726    29.9582119    25.87749672   31.04408264  230.58728027
  308.81356812   17.08295631  465.69100952  432.16720581  187.83744812]","[   5.40287161   16.63736534   14.143363     20.23226738  130.42030334
  239.80953979   19.82782555  290.16955566  297.39465332   79.32923126]",39.5265579224,0,3.0
7,"[   55.82704926    58.7373848     58.24500656   163.26239014  1409.24145508
   843.9911499    312.27050781   278.27566528   433.63961792   711.31561279]","[  49.59928894   38.61070633   51.77609634  128.3323822   933.16448975
  519.21588135  652.19580078  193.15924072  327.36730957  395.21728516]","[  46.20416641   28.48137856   37.69544601  173.84286499  368.89968872
  341.72375488  225.0459137    20.43341827  224.50505066   33.710495  ]","[  29.9582119    25.87749672   31.04408264  230.58728027  308.81356812
   17.08295631  465.69100952  432.16720581  187.83744812  263.86807251]","[  16.63736534   14.143363     20.23226738  130.42030334  239.80953979
   19.82782555  290.16955566  297.39465332   79.32923126  192.58239746]",39.3254890442,0,3.0
8,"[   58.7373848     58.24500656   163.26239014  1409.24145508   843.9911499
   312.27050781   278.27566528   433.63961792   711.31561279  1041.15112305]","[  38.61070633   51.77609634  128.3323822   933.16448975  519.21588135
  652.19580078  193.15924072  327.36730957  395.21728516  696.90869141]","[  28.48137856   37.69544601  173.84286499  368.89968872  341.72375488
  225.0459137    20.43341827  224.50505066   33.710495     61.97836304]","[  25.87749672   31.04408264  230.58728027  308.81356812   17.08295631
  465.69100952  432.16720581  187.83744812  263.86807251  290.15374756]","[  14.143363     20.23226738  130.42030334  239.80953979   19.82782555
  290.16955566  297.39465332   79.32923126  192.58239746  176.36878967]",39.1063804626,0,3.0
9,"[   58.24500656   163.26239014  1409.24145508   843.9911499    312.27050781
   278.27566528   433.63961792   711.31561279  1041.15112305   785.51824951]","[  51.77609634  128.3323822   933.16448975  519.21588135  652.19580078
  193.15924072  327.36730957  395.21728516  696.90869141  408.73895264]","[  37.69544601  173.84286499  368.89968872  341.72375488  225.0459137
   20.43341827  224.50505066   33.710495     61.97836304  119.64717102]","[  31.04408264  230.58728027  308.81356812   17.08295631  465.69100952
  432.16720581  187.83744812  263.86807251  290.15374756  296.74728394]","[  20.23226738  130.42030334  239.80953979   19.82782555  290.16955566
  297.39465332   79.32923126  192.58239746  176.36878967  135.08738708]",38.8746871948,0,3.0
