,activation_0,activation_1,activation_2,activation_3,activation_4,dist,id,vel
0,"[ 177.43499756    3.46802545   67.18058014   13.11125374   21.80867958
   38.91405106   35.08422089   36.1332016     5.89133263  138.71228027]","[ 82.09414673   2.63105011  34.65257263   1.44246542   9.87713146
   8.01530457  15.44999886  17.28160858   8.56817722  75.58960724]","[  3.24382663   9.18690586  12.58467674  17.32784271  19.15837097
  17.18797684   5.60316515   1.16697943  34.15800476  27.80632591]","[ 10.28440571  27.24553299  20.13498116  18.50194168  25.26035881
  19.12487984  13.2556963    3.89241862  52.42295837   5.62977314]","[  7.15585136  19.81539917  18.37606621  10.75413895  12.23644543
   6.93954849   5.49990559   1.85440457  30.72235298   0.80844456]",39.9502296448,0,2.0
1,"[   3.46802545   67.18058014   13.11125374   21.80867958   38.91405106
   35.08422089   36.1332016     5.89133263  138.71228027  595.07958984]","[   2.63105011   34.65257263    1.44246542    9.87713146    8.01530457
   15.44999886   17.28160858    8.56817722   75.58960724  442.16357422]","[   9.18690586   12.58467674   17.32784271   19.15837097   17.18797684
    5.60316515    1.16697943   34.15800476   27.80632591  155.145401  ]","[ 27.24553299  20.13498116  18.50194168  25.26035881  19.12487984
  13.2556963    3.89241862  52.42295837   5.62977314  25.09238052]","[  19.81539917   18.37606621   10.75413895   12.23644543    6.93954849
    5.49990559    1.85440457   30.72235298    0.80844456  149.53289795]",39.9492530823,0,2.0
2,"[  67.18058014   13.11125374   21.80867958   38.91405106   35.08422089
   36.1332016     5.89133263  138.71228027  595.07958984  758.0324707 ]","[  34.65257263    1.44246542    9.87713146    8.01530457   15.44999886
   17.28160858    8.56817722   75.58960724  442.16357422  369.31280518]","[  12.58467674   17.32784271   19.15837097   17.18797684    5.60316515
    1.16697943   34.15800476   27.80632591  155.145401    324.63238525]","[ 20.13498116  18.50194168  25.26035881  19.12487984  13.2556963
   3.89241862  52.42295837   5.62977314  25.09238052  18.60995865]","[  18.37606621   10.75413895   12.23644543    6.93954849    5.49990559
    1.85440457   30.72235298    0.80844456  149.53289795  166.97633362]",39.9324569702,0,2.0
3,"[  13.11125374   21.80867958   38.91405106   35.08422089   36.1332016
    5.89133263  138.71228027  595.07958984  758.0324707   870.68157959]","[   1.44246542    9.87713146    8.01530457   15.44999886   17.28160858
    8.56817722   75.58960724  442.16357422  369.31280518  530.00714111]","[  17.32784271   19.15837097   17.18797684    5.60316515    1.16697943
   34.15800476   27.80632591  155.145401    324.63238525  404.39678955]","[  18.50194168   25.26035881   19.12487984   13.2556963     3.89241862
   52.42295837    5.62977314   25.09238052   18.60995865  198.39680481]","[  10.75413895   12.23644543    6.93954849    5.49990559    1.85440457
   30.72235298    0.80844456  149.53289795  166.97633362  160.77276611]",39.8969039917,0,2.0
4,"[   21.80867958    38.91405106    35.08422089    36.1332016      5.89133263
   138.71228027   595.07958984   758.0324707    870.68157959  1600.23779297]","[   9.87713146    8.01530457   15.44999886   17.28160858    8.56817722
   75.58960724  442.16357422  369.31280518  530.00714111  884.32806396]","[  19.15837097   17.18797684    5.60316515    1.16697943   34.15800476
   27.80632591  155.145401    324.63238525  404.39678955   77.4299469 ]","[  25.26035881   19.12487984   13.2556963     3.89241862   52.42295837
    5.62977314   25.09238052   18.60995865  198.39680481  421.04724121]","[  12.23644543    6.93954849    5.49990559    1.85440457   30.72235298
    0.80844456  149.53289795  166.97633362  160.77276611  202.80111694]",39.7238731384,0,2.0
5,"[   38.91405106    35.08422089    36.1332016      5.89133263   138.71228027
   595.07958984   758.0324707    870.68157959  1600.23779297    92.2028656 ]","[   8.01530457   15.44999886   17.28160858    8.56817722   75.58960724
  442.16357422  369.31280518  530.00714111  884.32806396  138.70874023]","[  17.18797684    5.60316515    1.16697943   34.15800476   27.80632591
  155.145401    324.63238525  404.39678955   77.4299469   227.30064392]","[  19.12487984   13.2556963     3.89241862   52.42295837    5.62977314
   25.09238052   18.60995865  198.39680481  421.04724121  338.99389648]","[   6.93954849    5.49990559    1.85440457   30.72235298    0.80844456
  149.53289795  166.97633362  160.77276611  202.80111694  161.89431763]",39.5942268372,0,2.0
6,"[   35.08422089    36.1332016      5.89133263   138.71228027   595.07958984
   758.0324707    870.68157959  1600.23779297    92.2028656    340.12457275]","[  15.44999886   17.28160858    8.56817722   75.58960724  442.16357422
  369.31280518  530.00714111  884.32806396  138.70874023  262.9932251 ]","[   5.60316515    1.16697943   34.15800476   27.80632591  155.145401
  324.63238525  404.39678955   77.4299469   227.30064392    1.78130829]","[  13.2556963     3.89241862   52.42295837    5.62977314   25.09238052
   18.60995865  198.39680481  421.04724121  338.99389648  234.65826416]","[   5.49990559    1.85440457   30.72235298    0.80844456  149.53289795
  166.97633362  160.77276611  202.80111694  161.89431763  156.73406982]",39.4461975098,0,2.0
7,"[   36.1332016      5.89133263   138.71228027   595.07958984   758.0324707
   870.68157959  1600.23779297    92.2028656    340.12457275   942.80230713]","[  17.28160858    8.56817722   75.58960724  442.16357422  369.31280518
  530.00714111  884.32806396  138.70874023  262.9932251   508.55688477]","[   1.16697943   34.15800476   27.80632591  155.145401    324.63238525
  404.39678955   77.4299469   227.30064392    1.78130829  108.8069458 ]","[   3.89241862   52.42295837    5.62977314   25.09238052   18.60995865
  198.39680481  421.04724121  338.99389648  234.65826416  190.18522644]","[   1.85440457   30.72235298    0.80844456  149.53289795  166.97633362
  160.77276611  202.80111694  161.89431763  156.73406982  162.51858521]",39.287361145,0,2.0
8,"[    5.89133263   138.71228027   595.07958984   758.0324707    870.68157959
  1600.23779297    92.2028656    340.12457275   942.80230713   335.01211548]","[   8.56817722   75.58960724  442.16357422  369.31280518  530.00714111
  884.32806396  138.70874023  262.9932251   508.55688477  284.89962769]","[  34.15800476   27.80632591  155.145401    324.63238525  404.39678955
   77.4299469   227.30064392    1.78130829  108.8069458    47.24348831]","[  52.42295837    5.62977314   25.09238052   18.60995865  198.39680481
  421.04724121  338.99389648  234.65826416  190.18522644  268.59555054]","[  30.72235298    0.80844456  149.53289795  166.97633362  160.77276611
  202.80111694  161.89431763  156.73406982  162.51858521  152.98405457]",39.1207771301,0,2.0
9,"[  138.71228027   595.07958984   758.0324707    870.68157959  1600.23779297
    92.2028656    340.12457275   942.80230713   335.01211548   280.02868652]","[  75.58960724  442.16357422  369.31280518  530.00714111  884.32806396
  138.70874023  262.9932251   508.55688477  284.89962769  112.31842041]","[  27.80632591  155.145401    324.63238525  404.39678955   77.4299469
  227.30064392    1.78130829  108.8069458    47.24348831  103.66242981]","[   5.62977314   25.09238052   18.60995865  198.39680481  421.04724121
  338.99389648  234.65826416  190.18522644  268.59555054  242.37770081]","[   0.80844456  149.53289795  166.97633362  160.77276611  202.80111694
  161.89431763  156.73406982  162.51858521  152.98405457   99.94203949]",38.9493560791,0,2.0
