,activation_0,activation_1,activation_2,activation_3,activation_4,dist,id,vel
0,"[ 15.46030807   6.55659962  51.31706238  16.16014671  21.85498619
  41.89434052  19.65539932  74.38182068  17.96371651  37.99695587]","[  7.18060589   0.8243804   17.81032562   4.85082531   5.88355827
  20.45330238  10.53403568  36.66682816  10.09241295  20.16872215]","[  4.59924555   7.66548586   9.91436005  15.33711815  21.87811089
   5.45572376   6.99412012   5.85790491  19.70690918   3.67018509]","[ 12.67318821  16.55887222  15.18234444  20.69155502  31.16334915
  13.0806551   14.81956005  11.9238863   30.36267662   2.36245608]","[ 14.96811676  17.91000175   7.83902502  12.4925375   14.57670498
   6.57284737   4.7493577    1.85275328  17.80307007   4.31538105]",39.9423027039,0,3.0
1,"[   6.55659962   51.31706238   16.16014671   21.85498619   41.89434052
   19.65539932   74.38182068   17.96371651   37.99695587  652.44567871]","[   0.8243804    17.81032562    4.85082531    5.88355827   20.45330238
   10.53403568   36.66682816   10.09241295   20.16872215  229.27183533]","[   7.66548586    9.91436005   15.33711815   21.87811089    5.45572376
    6.99412012    5.85790491   19.70690918    3.67018509  170.45944214]","[ 16.55887222  15.18234444  20.69155502  31.16334915  13.0806551
  14.81956005  11.9238863   30.36267662   2.36245608  40.99201965]","[  17.91000175    7.83902502   12.4925375    14.57670498    6.57284737
    4.7493577     1.85275328   17.80307007    4.31538105  173.40748596]",39.9404258728,0,3.0
2,"[  51.31706238   16.16014671   21.85498619   41.89434052   19.65539932
   74.38182068   17.96371651   37.99695587  652.44567871   96.28062439]","[  17.81032562    4.85082531    5.88355827   20.45330238   10.53403568
   36.66682816   10.09241295   20.16872215  229.27183533  125.11837006]","[   9.91436005   15.33711815   21.87811089    5.45572376    6.99412012
    5.85790491   19.70690918    3.67018509  170.45944214  286.69567871]","[ 15.18234444  20.69155502  31.16334915  13.0806551   14.81956005
  11.9238863   30.36267662   2.36245608  40.99201965  95.94229889]","[   7.83902502   12.4925375    14.57670498    6.57284737    4.7493577
    1.85275328   17.80307007    4.31538105  173.40748596  224.43814087]",39.9184646606,0,3.0
3,"[  16.16014671   21.85498619   41.89434052   19.65539932   74.38182068
   17.96371651   37.99695587  652.44567871   96.28062439   40.42020035]","[   4.85082531    5.88355827   20.45330238   10.53403568   36.66682816
   10.09241295   20.16872215  229.27183533  125.11837006   83.65439606]","[  15.33711815   21.87811089    5.45572376    6.99412012    5.85790491
   19.70690918    3.67018509  170.45944214  286.69567871  107.00046539]","[ 20.69155502  31.16334915  13.0806551   14.81956005  11.9238863
  30.36267662   2.36245608  40.99201965  95.94229889  71.04391479]","[  12.4925375    14.57670498    6.57284737    4.7493577     1.85275328
   17.80307007    4.31538105  173.40748596  224.43814087   45.71375656]",39.876247406,0,3.0
4,"[  21.85498619   41.89434052   19.65539932   74.38182068   17.96371651
   37.99695587  652.44567871   96.28062439   40.42020035  746.00598145]","[   5.88355827   20.45330238   10.53403568   36.66682816   10.09241295
   20.16872215  229.27183533  125.11837006   83.65439606  858.62677002]","[  21.87811089    5.45572376    6.99412012    5.85790491   19.70690918
    3.67018509  170.45944214  286.69567871  107.00046539  139.89865112]","[ 31.16334915  13.0806551   14.81956005  11.9238863   30.36267662
   2.36245608  40.99201965  95.94229889  71.04391479  57.53450775]","[  14.57670498    6.57284737    4.7493577     1.85275328   17.80307007
    4.31538105  173.40748596  224.43814087   45.71375656  198.42066956]",39.7824935913,0,3.0
5,"[   41.89434052    19.65539932    74.38182068    17.96371651    37.99695587
   652.44567871    96.28062439    40.42020035   746.00598145  1451.08459473]","[  20.45330238   10.53403568   36.66682816   10.09241295   20.16872215
  229.27183533  125.11837006   83.65439606  858.62677002  958.32385254]","[   5.45572376    6.99412012    5.85790491   19.70690918    3.67018509
  170.45944214  286.69567871  107.00046539  139.89865112  173.78561401]","[  13.0806551    14.81956005   11.9238863    30.36267662    2.36245608
   40.99201965   95.94229889   71.04391479   57.53450775  436.7199707 ]","[   6.57284737    4.7493577     1.85275328   17.80307007    4.31538105
  173.40748596  224.43814087   45.71375656  198.42066956  442.81594849]",39.6427688599,0,3.0
6,"[   19.65539932    74.38182068    17.96371651    37.99695587   652.44567871
    96.28062439    40.42020035   746.00598145  1451.08459473   232.32279968]","[  10.53403568   36.66682816   10.09241295   20.16872215  229.27183533
  125.11837006   83.65439606  858.62677002  958.32385254  344.85476685]","[   6.99412012    5.85790491   19.70690918    3.67018509  170.45944214
  286.69567871  107.00046539  139.89865112  173.78561401  387.00891113]","[  14.81956005   11.9238863    30.36267662    2.36245608   40.99201965
   95.94229889   71.04391479   57.53450775  436.7199707   464.91583252]","[   4.7493577     1.85275328   17.80307007    4.31538105  173.40748596
  224.43814087   45.71375656  198.42066956  442.81594849  225.41455078]",39.4650497437,0,3.0
7,"[   74.38182068    17.96371651    37.99695587   652.44567871    96.28062439
    40.42020035   746.00598145  1451.08459473   232.32279968   403.9777832 ]","[  36.66682816   10.09241295   20.16872215  229.27183533  125.11837006
   83.65439606  858.62677002  958.32385254  344.85476685   22.99599648]","[   5.85790491   19.70690918    3.67018509  170.45944214  286.69567871
  107.00046539  139.89865112  173.78561401  387.00891113   92.24821472]","[  11.9238863    30.36267662    2.36245608   40.99201965   95.94229889
   71.04391479   57.53450775  436.7199707   464.91583252  391.04785156]","[   1.85275328   17.80307007    4.31538105  173.40748596  224.43814087
   45.71375656  198.42066956  442.81594849  225.41455078  240.67781067]",39.2605171204,0,3.0
8,"[   17.96371651    37.99695587   652.44567871    96.28062439    40.42020035
   746.00598145  1451.08459473   232.32279968   403.9777832    974.70025635]","[  10.09241295   20.16872215  229.27183533  125.11837006   83.65439606
  858.62677002  958.32385254  344.85476685   22.99599648  765.48956299]","[  19.70690918    3.67018509  170.45944214  286.69567871  107.00046539
  139.89865112  173.78561401  387.00891113   92.24821472    4.33727312]","[  30.36267662    2.36245608   40.99201965   95.94229889   71.04391479
   57.53450775  436.7199707   464.91583252  391.04785156  323.5027771 ]","[  17.80307007    4.31538105  173.40748596  224.43814087   45.71375656
  198.42066956  442.81594849  225.41455078  240.67781067  209.37956238]",39.0401687622,0,3.0
9,"[   37.99695587   652.44567871    96.28062439    40.42020035   746.00598145
  1451.08459473   232.32279968   403.9777832    974.70025635   498.78939819]","[  20.16872215  229.27183533  125.11837006   83.65439606  858.62677002
  958.32385254  344.85476685   22.99599648  765.48956299  323.73291016]","[   3.67018509  170.45944214  286.69567871  107.00046539  139.89865112
  173.78561401  387.00891113   92.24821472    4.33727312  161.2610321 ]","[   2.36245608   40.99201965   95.94229889   71.04391479   57.53450775
  436.7199707   464.91583252  391.04785156  323.5027771   422.59170532]","[   4.31538105  173.40748596  224.43814087   45.71375656  198.42066956
  442.81594849  225.41455078  240.67781067  209.37956238  193.02938843]",38.8084564209,0,3.0
