,activation_0,activation_1,activation_2,dist,id,vel
15,"[ 749.65600586  247.8614502    96.95055389  389.15548706  316.93502808
   48.90427399  657.84405518  326.53466797  348.76931763  469.82330322]","[ 31.58639908   6.78731871   0.20441617  11.17239094   2.84533882
   3.52338672   2.47497678   8.03503895   2.6900115   16.40948677]","[ 821.86413574  266.18017578  181.75198364  222.58512878  138.22172546
   91.80010223  115.88782501   33.1947403    62.55364227   71.51448822]",21.3798484802,0,2.0
16,"[ 247.8614502    96.95055389  389.15548706  316.93502808   48.90427399
  657.84405518  326.53466797  348.76931763  469.82330322    6.20473814]","[  6.78731871   0.20441617  11.17239094   2.84533882   3.52338672
   2.47497678   8.03503895   2.6900115   16.40948677   3.23500872]","[ 266.18017578  181.75198364  222.58512878  138.22172546   91.80010223
  115.88782501   33.1947403    62.55364227   71.51448822  271.44522095]",21.1718215942,0,2.0
17,"[  96.95055389  389.15548706  316.93502808   48.90427399  657.84405518
  326.53466797  348.76931763  469.82330322    6.20473814  269.02355957]","[  0.20441617  11.17239094   2.84533882   3.52338672   2.47497678
   8.03503895   2.6900115   16.40948677   3.23500872   2.20064163]","[ 181.75198364  222.58512878  138.22172546   91.80010223  115.88782501
   33.1947403    62.55364227   71.51448822  271.44522095  237.10762024]",20.7551116943,0,2.0
18,"[ 389.15548706  316.93502808   48.90427399  657.84405518  326.53466797
  348.76931763  469.82330322    6.20473814  269.02355957   28.15389061]","[ 11.17239094   2.84533882   3.52338672   2.47497678   8.03503895
   2.6900115   16.40948677   3.23500872   2.20064163  10.70396233]","[ 222.58512878  138.22172546   91.80010223  115.88782501   33.1947403
   62.55364227   71.51448822  271.44522095  237.10762024  229.06230164]",20.5464229584,0,2.0
19,"[ 316.93502808   48.90427399  657.84405518  326.53466797  348.76931763
  469.82330322    6.20473814  269.02355957   28.15389061  499.09204102]","[  2.84533882   3.52338672   2.47497678   8.03503895   2.6900115
  16.40948677   3.23500872   2.20064163  10.70396233   2.41088009]","[ 138.22172546   91.80010223  115.88782501   33.1947403    62.55364227
   71.51448822  271.44522095  237.10762024  229.06230164   40.07781982]",20.1267604828,0,2.0
20,"[  48.90427399  657.84405518  326.53466797  348.76931763  469.82330322
    6.20473814  269.02355957   28.15389061  499.09204102  184.11984253]","[  3.52338672   2.47497678   8.03503895   2.6900115   16.40948677
   3.23500872   2.20064163  10.70396233   2.41088009   2.51678038]","[  91.80010223  115.88782501   33.1947403    62.55364227   71.51448822
  271.44522095  237.10762024  229.06230164   40.07781982  168.07292175]",19.9156780243,0,2.0
21,"[ 657.84405518  326.53466797  348.76931763  469.82330322    6.20473814
  269.02355957   28.15389061  499.09204102  184.11984253  580.94470215]","[  2.47497678   8.03503895   2.6900115   16.40948677   3.23500872
   2.20064163  10.70396233   2.41088009   2.51678038  14.32526207]","[ 115.88782501   33.1947403    62.55364227   71.51448822  271.44522095
  237.10762024  229.06230164   40.07781982  168.07292175  352.74588013]",19.4935703278,0,2.0
22,"[ 326.53466797  348.76931763  469.82330322    6.20473814  269.02355957
   28.15389061  499.09204102  184.11984253  580.94470215   98.37493896]","[  8.03503895   2.6900115   16.40948677   3.23500872   2.20064163
  10.70396233   2.41088009   2.51678038  14.32526207   3.65669084]","[  33.1947403    62.55364227   71.51448822  271.44522095  237.10762024
  229.06230164   40.07781982  168.07292175  352.74588013  216.72891235]",19.2829971313,0,2.0
23,"[ 348.76931763  469.82330322    6.20473814  269.02355957   28.15389061
  499.09204102  184.11984253  580.94470215   98.37493896  106.79161072]","[  2.6900115   16.40948677   3.23500872   2.20064163  10.70396233
   2.41088009   2.51678038  14.32526207   3.65669084   1.46486831]","[  62.55364227   71.51448822  271.44522095  237.10762024  229.06230164
   40.07781982  168.07292175  352.74588013  216.72891235  129.95303345]",19.0735683441,0,2.0
24,"[ 469.82330322    6.20473814  269.02355957   28.15389061  499.09204102
  184.11984253  580.94470215   98.37493896  106.79161072   43.51970291]","[ 16.40948677   3.23500872   2.20064163  10.70396233   2.41088009
   2.51678038  14.32526207   3.65669084   1.46486831  10.51286125]","[  71.51448822  271.44522095  237.10762024  229.06230164   40.07781982
  168.07292175  352.74588013  216.72891235  129.95303345  176.67216492]",18.8650493622,0,2.0
25,"[   6.20473814  269.02355957   28.15389061  499.09204102  184.11984253
  580.94470215   98.37493896  106.79161072   43.51970291  131.06881714]","[  3.23500872   2.20064163  10.70396233   2.41088009   2.51678038
  14.32526207   3.65669084   1.46486831  10.51286125   9.43823719]","[ 271.44522095  237.10762024  229.06230164   40.07781982  168.07292175
  352.74588013  216.72891235  129.95303345  176.67216492  312.93185425]",18.6547260284,0,2.0
26,"[ 269.02355957   28.15389061  499.09204102  184.11984253  580.94470215
   98.37493896  106.79161072   43.51970291  131.06881714   52.53792572]","[  2.20064163  10.70396233   2.41088009   2.51678038  14.32526207
   3.65669084   1.46486831  10.51286125   9.43823719   6.62202549]","[ 237.10762024  229.06230164   40.07781982  168.07292175  352.74588013
  216.72891235  129.95303345  176.67216492  312.93185425  166.82759094]",18.4452171326,0,2.0
27,"[  28.15389061  499.09204102  184.11984253  580.94470215   98.37493896
  106.79161072   43.51970291  131.06881714   52.53792572  185.48553467]","[ 10.70396233   2.41088009   2.51678038  14.32526207   3.65669084
   1.46486831  10.51286125   9.43823719   6.62202549   1.04646838]","[ 229.06230164   40.07781982  168.07292175  352.74588013  216.72891235
  129.95303345  176.67216492  312.93185425  166.82759094  102.1177063 ]",18.234418869,0,2.0
28,"[ 499.09204102  184.11984253  580.94470215   98.37493896  106.79161072
   43.51970291  131.06881714   52.53792572  185.48553467  224.87619019]","[  2.41088009   2.51678038  14.32526207   3.65669084   1.46486831
  10.51286125   9.43823719   6.62202549   1.04646838   2.92421722]","[  40.07781982  168.07292175  352.74588013  216.72891235  129.95303345
  176.67216492  312.93185425  166.82759094  102.1177063   122.50658417]",17.8136425018,0,2.0
29,"[ 184.11984253  580.94470215   98.37493896  106.79161072   43.51970291
  131.06881714   52.53792572  185.48553467  224.87619019  548.512146  ]","[  2.51678038  14.32526207   3.65669084   1.46486831  10.51286125
   9.43823719   6.62202549   1.04646838   2.92421722  15.59227848]","[ 168.07292175  352.74588013  216.72891235  129.95303345  176.67216492
  312.93185425  166.82759094  102.1177063   122.50658417  260.37310791]",17.3917827606,0,2.0
30,"[ 580.94470215   98.37493896  106.79161072   43.51970291  131.06881714
   52.53792572  185.48553467  224.87619019  548.512146    609.05548096]","[ 14.32526207   3.65669084   1.46486831  10.51286125   9.43823719
   6.62202549   1.04646838   2.92421722  15.59227848   9.95381165]","[ 352.74588013  216.72891235  129.95303345  176.67216492  312.93185425
  166.82759094  102.1177063   122.50658417  260.37310791   83.04286957]",16.9693336487,0,2.0
31,"[  98.37493896  106.79161072   43.51970291  131.06881714   52.53792572
  185.48553467  224.87619019  548.512146    609.05548096  348.17779541]","[  3.65669084   1.46486831  10.51286125   9.43823719   6.62202549
   1.04646838   2.92421722  15.59227848   9.95381165  15.81148338]","[ 216.72891235  129.95303345  176.67216492  312.93185425  166.82759094
  102.1177063   122.50658417  260.37310791   83.04286957  302.96090698]",16.5492839813,0,2.0
32,"[ 106.79161072   43.51970291  131.06881714   52.53792572  185.48553467
  224.87619019  548.512146    609.05548096  348.17779541  129.83680725]","[  1.46486831  10.51286125   9.43823719   6.62202549   1.04646838
   2.92421722  15.59227848   9.95381165  15.81148338  22.60257912]","[ 129.95303345  176.67216492  312.93185425  166.82759094  102.1177063
  122.50658417  260.37310791   83.04286957  302.96090698  150.17147827]",16.3409805298,0,2.0
33,"[  43.51970291  131.06881714   52.53792572  185.48553467  224.87619019
  548.512146    609.05548096  348.17779541  129.83680725  455.90026855]","[ 10.51286125   9.43823719   6.62202549   1.04646838   2.92421722
  15.59227848   9.95381165  15.81148338  22.60257912  17.64218903]","[ 176.67216492  312.93185425  166.82759094  102.1177063   122.50658417
  260.37310791   83.04286957  302.96090698  150.17147827   36.91720963]",15.920340538,0,2.0
34,"[ 131.06881714   52.53792572  185.48553467  224.87619019  548.512146
  609.05548096  348.17779541  129.83680725  455.90026855  446.48510742]","[  9.43823719   6.62202549   1.04646838   2.92421722  15.59227848
   9.95381165  15.81148338  22.60257912  17.64218903  11.27198982]","[ 312.93185425  166.82759094  102.1177063   122.50658417  260.37310791
   83.04286957  302.96090698  150.17147827   36.91720963  170.84831238]",15.4987716675,0,2.0
35,"[  52.53792572  185.48553467  224.87619019  548.512146    609.05548096
  348.17779541  129.83680725  455.90026855  446.48510742   97.42797089]","[  6.62202549   1.04646838   2.92421722  15.59227848   9.95381165
  15.81148338  22.60257912  17.64218903  11.27198982  16.32968903]","[ 166.82759094  102.1177063   122.50658417  260.37310791   83.04286957
  302.96090698  150.17147827   36.91720963  170.84831238  291.86694336]",15.2875738144,0,2.0
36,"[ 185.48553467  224.87619019  548.512146    609.05548096  348.17779541
  129.83680725  455.90026855  446.48510742   97.42797089  477.63763428]","[  1.04646838   2.92421722  15.59227848   9.95381165  15.81148338
  22.60257912  17.64218903  11.27198982  16.32968903  15.39202595]","[ 102.1177063   122.50658417  260.37310791   83.04286957  302.96090698
  150.17147827   36.91720963  170.84831238  291.86694336  151.18933105]",14.8669691086,0,2.0
37,"[ 224.87619019  548.512146    609.05548096  348.17779541  129.83680725
  455.90026855  446.48510742   97.42797089  477.63763428   81.19817352]","[  2.92421722  15.59227848   9.95381165  15.81148338  22.60257912
  17.64218903  11.27198982  16.32968903  15.39202595  17.21619797]","[ 122.50658417  260.37310791   83.04286957  302.96090698  150.17147827
   36.91720963  170.84831238  291.86694336  151.18933105  188.55714417]",14.657617569,0,2.0
38,"[ 548.512146    609.05548096  348.17779541  129.83680725  455.90026855
  446.48510742   97.42797089  477.63763428   81.19817352  368.66467285]","[ 15.59227848   9.95381165  15.81148338  22.60257912  17.64218903
  11.27198982  16.32968903  15.39202595  17.21619797   1.08030415]","[ 260.37310791   83.04286957  302.96090698  150.17147827   36.91720963
  170.84831238  291.86694336  151.18933105  188.55714417  203.16966248]",14.2372322083,0,2.0
39,"[ 609.05548096  348.17779541  129.83680725  455.90026855  446.48510742
   97.42797089  477.63763428   81.19817352  368.66467285  168.4666748 ]","[  9.95381165  15.81148338  22.60257912  17.64218903  11.27198982
  16.32968903  15.39202595  17.21619797   1.08030415  11.91108322]","[  83.04286957  302.96090698  150.17147827   36.91720963  170.84831238
  291.86694336  151.18933105  188.55714417  203.16966248  109.14948273]",14.0269603729,0,2.0
40,"[ 348.17779541  129.83680725  455.90026855  446.48510742   97.42797089
  477.63763428   81.19817352  368.66467285  168.4666748   102.04743958]","[ 15.81148338  22.60257912  17.64218903  11.27198982  16.32968903
  15.39202595  17.21619797   1.08030415  11.91108322  27.99190331]","[ 302.96090698  150.17147827   36.91720963  170.84831238  291.86694336
  151.18933105  188.55714417  203.16966248  109.14948273  221.78416443]",13.8171977997,0,2.0
41,"[ 129.83680725  455.90026855  446.48510742   97.42797089  477.63763428
   81.19817352  368.66467285  168.4666748   102.04743958  225.95437622]","[ 22.60257912  17.64218903  11.27198982  16.32968903  15.39202595
  17.21619797   1.08030415  11.91108322  27.99190331  44.845047  ]","[ 150.17147827   36.91720963  170.84831238  291.86694336  151.18933105
  188.55714417  203.16966248  109.14948273  221.78416443  323.00482178]",13.6091871262,0,2.0
42,"[ 455.90026855  446.48510742   97.42797089  477.63763428   81.19817352
  368.66467285  168.4666748   102.04743958  225.95437622  116.98274231]","[ 17.64218903  11.27198982  16.32968903  15.39202595  17.21619797
   1.08030415  11.91108322  27.99190331  44.845047     9.11153316]","[  36.91720963  170.84831238  291.86694336  151.18933105  188.55714417
  203.16966248  109.14948273  221.78416443  323.00482178  170.9362793 ]",13.4024677277,0,2.0
