,activation_0,activation_1,dist,id,vel,"('activation_2',)"
0,"[  0.14451745   1.04952312  19.55329323  15.80602455  31.41072655
  26.1434536    0.50106102  37.2355423   25.05835152  37.2185173 ]","[ 0.0274641   0.0719848   0.7118578   0.73921466  0.54567534  0.12903383
  0.89020836  1.06780636  1.39064813  0.25545275]",24.9474773407,0,2.0,"[ 43.79512024  21.45965385   8.76917648  26.69198036  31.50300407
  11.93988991   5.17088223   8.37960052  10.85771751  10.3054266 ]"
1,"[   1.04952312   19.55329323   15.80602455   31.41072655   26.1434536
    0.50106102   37.2355423    25.05835152   37.2185173   101.33609009]","[  0.0719848    0.7118578    0.73921466   0.54567534   0.12903383
   0.89020836   1.06780636   1.39064813   0.25545275  31.47884941]",24.9437084198,0,2.0,"[  21.45965385    8.76917648   26.69198036   31.50300407   11.93988991
    5.17088223    8.37960052   10.85771751   10.3054266   291.50985718]"
2,"[  19.55329323   15.80602455   31.41072655   26.1434536     0.50106102
   37.2355423    25.05835152   37.2185173   101.33609009  171.90150452]","[  0.7118578    0.73921466   0.54567534   0.12903383   0.89020836
   1.06780636   1.39064813   0.25545275  31.47884941   7.05161047]",24.9254951477,0,2.0,"[   8.76917648   26.69198036   31.50300407   11.93988991    5.17088223
    8.37960052   10.85771751   10.3054266   291.50985718  502.40896606]"
3,"[  15.80602455   31.41072655   26.1434536     0.50106102   37.2355423
   25.05835152   37.2185173   101.33609009  171.90150452  149.2086792 ]","[  0.73921466   0.54567534   0.12903383   0.89020836   1.06780636
   1.39064813   0.25545275  31.47884941   7.05161047  18.22467041]",24.888666153,0,2.0,"[  26.69198036   31.50300407   11.93988991    5.17088223    8.37960052
   10.85771751   10.3054266   291.50985718  502.40896606  332.70956421]"
4,"[  31.41072655   26.1434536     0.50106102   37.2355423    25.05835152
   37.2185173   101.33609009  171.90150452  149.2086792   497.47494507]","[  0.54567534   0.12903383   0.89020836   1.06780636   1.39064813
   0.25545275  31.47884941   7.05161047  18.22467041   6.83366632]",24.8191261292,0,2.0,"[  31.50300407   11.93988991    5.17088223    8.37960052   10.85771751
   10.3054266   291.50985718  502.40896606  332.70956421  205.60978699]"
5,"[  26.1434536     0.50106102   37.2355423    25.05835152   37.2185173
  101.33609009  171.90150452  149.2086792   497.47494507  488.60250854]","[  0.12903383   0.89020836   1.06780636   1.39064813   0.25545275
  31.47884941   7.05161047  18.22467041   6.83366632   0.65482277]",24.7174263,0,2.0,"[  11.93988991    5.17088223    8.37960052   10.85771751   10.3054266
  291.50985718  502.40896606  332.70956421  205.60978699  458.17721558]"
6,"[   0.50106102   37.2355423    25.05835152   37.2185173   101.33609009
  171.90150452  149.2086792   497.47494507  488.60250854  171.24790955]","[  0.89020836   1.06780636   1.39064813   0.25545275  31.47884941
   7.05161047  18.22467041   6.83366632   0.65482277   3.68561435]",24.5872745514,0,2.0,"[   5.17088223    8.37960052   10.85771751   10.3054266   291.50985718
  502.40896606  332.70956421  205.60978699  458.17721558  503.81997681]"
7,"[  37.2355423    25.05835152   37.2185173   101.33609009  171.90150452
  149.2086792   497.47494507  488.60250854  171.24790955   77.41666412]","[  1.06780636   1.39064813   0.25545275  31.47884941   7.05161047
  18.22467041   6.83366632   0.65482277   3.68561435  18.34654045]",24.4404888153,0,2.0,"[   8.37960052   10.85771751   10.3054266   291.50985718  502.40896606
  332.70956421  205.60978699  458.17721558  503.81997681  372.08111572]"
8,"[  25.05835152   37.2185173   101.33609009  171.90150452  149.2086792
  497.47494507  488.60250854  171.24790955   77.41666412  855.40484619]","[  1.39064813   0.25545275  31.47884941   7.05161047  18.22467041
   6.83366632   0.65482277   3.68561435  18.34654045   6.10266542]",24.2816009521,0,2.0,"[  10.85771751   10.3054266   291.50985718  502.40896606  332.70956421
  205.60978699  458.17721558  503.81997681  372.08111572  456.27706909]"
9,"[  37.2185173   101.33609009  171.90150452  149.2086792   497.47494507
  488.60250854  171.24790955   77.41666412  855.40484619  220.72918701]","[  0.25545275  31.47884941   7.05161047  18.22467041   6.83366632
   0.65482277   3.68561435  18.34654045   6.10266542   2.49898028]",24.1161708832,0,2.0,"[  10.3054266   291.50985718  502.40896606  332.70956421  205.60978699
  458.17721558  503.81997681  372.08111572  456.27706909  278.10083008]"
