,activation_0,activation_1,activation_2,activation_3,dist,id,vel
0,"[ 95.48151398  29.73335648  43.11061859   0.46431357  10.04443264
   0.74776578   9.32248402  36.50183105  16.79711723  39.9525032 ]","[ 19.53792953   2.37718105  27.02929497   2.94540501   5.73481321
   1.00716853   0.2864953    8.23456478   4.77852201   5.40844774]","[ 19.51891327   4.8257637   55.23047256  16.00720215   8.07928562
   0.69979596   2.20273042  22.96973419   9.45084381  12.34765625]","[  5.7825036   14.5385313   45.09564972  50.87735367   8.48458004
   7.72420263  15.09867287  22.23197556  42.01103973  43.18536758]",24.9697666168,0,2.0
1,"[  29.73335648   43.11061859    0.46431357   10.04443264    0.74776578
    9.32248402   36.50183105   16.79711723   39.9525032   447.85162354]","[  2.37718105  27.02929497   2.94540501   5.73481321   1.00716853
   0.2864953    8.23456478   4.77852201   5.40844774  22.91934586]","[  4.8257637   55.23047256  16.00720215   8.07928562   0.69979596
   2.20273042  22.96973419   9.45084381  12.34765625  86.94519043]","[  14.5385313    45.09564972   50.87735367    8.48458004    7.72420263
   15.09867287   22.23197556   42.01103973   43.18536758  327.43994141]",24.9660377502,0,2.0
2,"[  43.11061859    0.46431357   10.04443264    0.74776578    9.32248402
   36.50183105   16.79711723   39.9525032   447.85162354   73.85025024]","[ 27.02929497   2.94540501   5.73481321   1.00716853   0.2864953
   8.23456478   4.77852201   5.40844774  22.91934586  22.51296425]","[ 55.23047256  16.00720215   8.07928562   0.69979596   2.20273042
  22.96973419   9.45084381  12.34765625  86.94519043  80.27113342]","[  45.09564972   50.87735367    8.48458004    7.72420263   15.09867287
   22.23197556   42.01103973   43.18536758  327.43994141  196.8416748 ]",24.9466381073,0,2.0
3,"[   0.46431357   10.04443264    0.74776578    9.32248402   36.50183105
   16.79711723   39.9525032   447.85162354   73.85025024  418.6729126 ]","[  2.94540501   5.73481321   1.00716853   0.2864953    8.23456478
   4.77852201   5.40844774  22.91934586  22.51296425  52.21860504]","[ 16.00720215   8.07928562   0.69979596   2.20273042  22.96973419
   9.45084381  12.34765625  86.94519043  80.27113342  34.1843071 ]","[  50.87735367    8.48458004    7.72420263   15.09867287   22.23197556
   42.01103973   43.18536758  327.43994141  196.8416748   434.84439087]",24.8390693665,0,2.0
4,"[  10.04443264    0.74776578    9.32248402   36.50183105   16.79711723
   39.9525032   447.85162354   73.85025024  418.6729126   447.02825928]","[  5.73481321   1.00716853   0.2864953    8.23456478   4.77852201
   5.40844774  22.91934586  22.51296425  52.21860504  71.52185059]","[  8.07928562   0.69979596   2.20273042  22.96973419   9.45084381
  12.34765625  86.94519043  80.27113342  34.1843071   25.60421371]","[   8.48458004    7.72420263   15.09867287   22.23197556   42.01103973
   43.18536758  327.43994141  196.8416748   434.84439087  649.06317139]",24.7484359741,0,2.0
5,"[   0.74776578    9.32248402   36.50183105   16.79711723   39.9525032
  447.85162354   73.85025024  418.6729126   447.02825928   74.34514618]","[  1.00716853   0.2864953    8.23456478   4.77852201   5.40844774
  22.91934586  22.51296425  52.21860504  71.52185059  19.01161003]","[  0.69979596   2.20273042  22.96973419   9.45084381  12.34765625
  86.94519043  80.27113342  34.1843071   25.60421371  47.10094452]","[   7.72420263   15.09867287   22.23197556   42.01103973   43.18536758
  327.43994141  196.8416748   434.84439087  649.06317139   17.87411118]",24.6226596832,0,2.0
6,"[   9.32248402   36.50183105   16.79711723   39.9525032   447.85162354
   73.85025024  418.6729126   447.02825928   74.34514618  460.94424438]","[  0.2864953    8.23456478   4.77852201   5.40844774  22.91934586
  22.51296425  52.21860504  71.52185059  19.01161003  75.88805389]","[   2.20273042   22.96973419    9.45084381   12.34765625   86.94519043
   80.27113342   34.1843071    25.60421371   47.10094452  127.59886169]","[  15.09867287   22.23197556   42.01103973   43.18536758  327.43994141
  196.8416748   434.84439087  649.06317139   17.87411118  356.8218689 ]",24.4770145416,0,2.0
7,"[  36.50183105   16.79711723   39.9525032   447.85162354   73.85025024
  418.6729126   447.02825928   74.34514618  460.94424438  302.08865356]","[  8.23456478   4.77852201   5.40844774  22.91934586  22.51296425
  52.21860504  71.52185059  19.01161003  75.88805389  13.79278278]","[  22.96973419    9.45084381   12.34765625   86.94519043   80.27113342
   34.1843071    25.60421371   47.10094452  127.59886169   52.47882462]","[  22.23197556   42.01103973   43.18536758  327.43994141  196.8416748
  434.84439087  649.06317139   17.87411118  356.8218689   338.13867188]",24.3197288513,0,2.0
8,"[  16.79711723   39.9525032   447.85162354   73.85025024  418.6729126
  447.02825928   74.34514618  460.94424438  302.08865356  318.15057373]","[  4.77852201   5.40844774  22.91934586  22.51296425  52.21860504
  71.52185059  19.01161003  75.88805389  13.79278278  16.92263603]","[   9.45084381   12.34765625   86.94519043   80.27113342   34.1843071
   25.60421371   47.10094452  127.59886169   52.47882462   82.24848175]","[  42.01103973   43.18536758  327.43994141  196.8416748   434.84439087
  649.06317139   17.87411118  356.8218689   338.13867188  477.06164551]",23.9641094208,0,2.0
9,"[  39.9525032   447.85162354   73.85025024  418.6729126   447.02825928
   74.34514618  460.94424438  302.08865356  318.15057373  157.10113525]","[  5.40844774  22.91934586  22.51296425  52.21860504  71.52185059
  19.01161003  75.88805389  13.79278278  16.92263603  29.79276276]","[  12.34765625   86.94519043   80.27113342   34.1843071    25.60421371
   47.10094452  127.59886169   52.47882462   82.24848175   71.05464935]","[  43.18536758  327.43994141  196.8416748   434.84439087  649.06317139
   17.87411118  356.8218689   338.13867188  477.06164551  326.91757202]",23.8082504272,0,2.0
