,activation_0,activation_1,activation_2,activation_3,dist,id,vel
0,"[ 71.71092224  10.10203457   2.73248339  31.82014275  42.86940384
  31.36676025   9.09326363  58.99982071  93.46733093   4.29925013]","[  1.70771992   0.25559086   2.46927071   1.07323956   3.05371714
   2.27879238  50.23261261   2.87337351  25.31725121   3.13628387]","[  0.50722808   0.8043437    4.19775772   2.91251516   3.80122161
   2.7967422   50.40208054   4.43777895  32.04869843   2.17563605]","[ 21.97755623  24.09293175  49.32068253  21.02831459  41.89878082
  33.37158966  51.65032959  66.91725922  47.44196701   3.1314106 ]",24.9651927948,0,2.0
1,"[  10.10203457    2.73248339   31.82014275   42.86940384   31.36676025
    9.09326363   58.99982071   93.46733093    4.29925013  527.12103271]","[  0.25559086   2.46927071   1.07323956   3.05371714   2.27879238
  50.23261261   2.87337351  25.31725121   3.13628387   3.77953386]","[  0.8043437    4.19775772   2.91251516   3.80122161   2.7967422
  50.40208054   4.43777895  32.04869843   2.17563605  31.89158821]","[  24.09293175   49.32068253   21.02831459   41.89878082   33.37158966
   51.65032959   66.91725922   47.44196701    3.1314106   199.29135132]",24.9581928253,0,2.0
2,"[   2.73248339   31.82014275   42.86940384   31.36676025    9.09326363
   58.99982071   93.46733093    4.29925013  527.12103271   56.51922607]","[  2.46927071   1.07323956   3.05371714   2.27879238  50.23261261
   2.87337351  25.31725121   3.13628387   3.77953386   8.85625076]","[  4.19775772   2.91251516   3.80122161   2.7967422   50.40208054
   4.43777895  32.04869843   2.17563605  31.89158821  11.35164261]","[  49.32068253   21.02831459   41.89878082   33.37158966   51.65032959
   66.91725922   47.44196701    3.1314106   199.29135132  162.96588135]",24.9371433258,0,2.0
3,"[  31.82014275   42.86940384   31.36676025    9.09326363   58.99982071
   93.46733093    4.29925013  527.12103271   56.51922607  362.98406982]","[   1.07323956    3.05371714    2.27879238   50.23261261    2.87337351
   25.31725121    3.13628387    3.77953386    8.85625076  126.39226532]","[  2.91251516   3.80122161   2.7967422   50.40208054   4.43777895
  32.04869843   2.17563605  31.89158821  11.35164261  89.20604706]","[  21.02831459   41.89878082   33.37158966   51.65032959   66.91725922
   47.44196701    3.1314106   199.29135132  162.96588135  335.19195557]",24.8951148987,0,2.0
4,"[  42.86940384   31.36676025    9.09326363   58.99982071   93.46733093
    4.29925013  527.12103271   56.51922607  362.98406982  791.25256348]","[   3.05371714    2.27879238   50.23261261    2.87337351   25.31725121
    3.13628387    3.77953386    8.85625076  126.39226532   13.86010933]","[  3.80122161   2.7967422   50.40208054   4.43777895  32.04869843
   2.17563605  31.89158821  11.35164261  89.20604706  38.32466507]","[   41.89878082    33.37158966    51.65032959    66.91725922    47.44196701
     3.1314106    199.29135132   162.96588135   335.19195557  1150.35998535]",24.8166236877,0,2.0
5,"[  31.36676025    9.09326363   58.99982071   93.46733093    4.29925013
  527.12103271   56.51922607  362.98406982  791.25256348   81.16467285]","[   2.27879238   50.23261261    2.87337351   25.31725121    3.13628387
    3.77953386    8.85625076  126.39226532   13.86010933   91.62057495]","[   2.7967422    50.40208054    4.43777895   32.04869843    2.17563605
   31.89158821   11.35164261   89.20604706   38.32466507  122.47444916]","[   33.37158966    51.65032959    66.91725922    47.44196701     3.1314106
   199.29135132   162.96588135   335.19195557  1150.35998535   487.1958313 ]",24.7077388763,0,2.0
6,"[   9.09326363   58.99982071   93.46733093    4.29925013  527.12103271
   56.51922607  362.98406982  791.25256348   81.16467285  310.93676758]","[  50.23261261    2.87337351   25.31725121    3.13628387    3.77953386
    8.85625076  126.39226532   13.86010933   91.62057495   67.11743927]","[  50.40208054    4.43777895   32.04869843    2.17563605   31.89158821
   11.35164261   89.20604706   38.32466507  122.47444916   70.48456573]","[   51.65032959    66.91725922    47.44196701     3.1314106    199.29135132
   162.96588135   335.19195557  1150.35998535   487.1958313    223.40301514]",24.5743103027,0,2.0
7,"[  58.99982071   93.46733093    4.29925013  527.12103271   56.51922607
  362.98406982  791.25256348   81.16467285  310.93676758  317.87191772]","[   2.87337351   25.31725121    3.13628387    3.77953386    8.85625076
  126.39226532   13.86010933   91.62057495   67.11743927    2.09380031]","[   4.43777895   32.04869843    2.17563605   31.89158821   11.35164261
   89.20604706   38.32466507  122.47444916   70.48456573   29.58791733]","[   66.91725922    47.44196701     3.1314106    199.29135132   162.96588135
   335.19195557  1150.35998535   487.1958313    223.40301514   589.69232178]",24.4244709015,0,2.0
8,"[  93.46733093    4.29925013  527.12103271   56.51922607  362.98406982
  791.25256348   81.16467285  310.93676758  317.87191772  339.03112793]","[  25.31725121    3.13628387    3.77953386    8.85625076  126.39226532
   13.86010933   91.62057495   67.11743927    2.09380031  100.68209076]","[  32.04869843    2.17563605   31.89158821   11.35164261   89.20604706
   38.32466507  122.47444916   70.48456573   29.58791733  100.47180176]","[   47.44196701     3.1314106    199.29135132   162.96588135   335.19195557
  1150.35998535   487.1958313    223.40301514   589.69232178   304.55108643]",24.2652702332,0,2.0
9,"[   4.29925013  527.12103271   56.51922607  362.98406982  791.25256348
   81.16467285  310.93676758  317.87191772  339.03112793  247.97969055]","[   3.13628387    3.77953386    8.85625076  126.39226532   13.86010933
   91.62057495   67.11743927    2.09380031  100.68209076   44.18078232]","[   2.17563605   31.89158821   11.35164261   89.20604706   38.32466507
  122.47444916   70.48456573   29.58791733  100.47180176   69.36258698]","[    3.1314106    199.29135132   162.96588135   335.19195557  1150.35998535
   487.1958313    223.40301514   589.69232178   304.55108643   295.82275391]",24.0998954773,0,2.0
10,"[ 527.12103271   56.51922607  362.98406982  791.25256348   81.16467285
  310.93676758  317.87191772  339.03112793  247.97969055   10.71424675]","[   3.77953386    8.85625076  126.39226532   13.86010933   91.62057495
   67.11743927    2.09380031  100.68209076   44.18078232   95.79380798]","[  31.89158821   11.35164261   89.20604706   38.32466507  122.47444916
   70.48456573   29.58791733  100.47180176   69.36258698  103.36297607]","[  199.29135132   162.96588135   335.19195557  1150.35998535   487.1958313
   223.40301514   589.69232178   304.55108643   295.82275391   342.19143677]",23.9266395569,0,2.0
11,"[  56.51922607  362.98406982  791.25256348   81.16467285  310.93676758
  317.87191772  339.03112793  247.97969055   10.71424675   96.5631485 ]","[   8.85625076  126.39226532   13.86010933   91.62057495   67.11743927
    2.09380031  100.68209076   44.18078232   95.79380798   39.46379852]","[  11.35164261   89.20604706   38.32466507  122.47444916   70.48456573
   29.58791733  100.47180176   69.36258698  103.36297607   28.3454361 ]","[  162.96588135   335.19195557  1150.35998535   487.1958313    223.40301514
   589.69232178   304.55108643   295.82275391   342.19143677   229.5700531 ]",23.7496852875,0,2.0
12,"[ 362.98406982  791.25256348   81.16467285  310.93676758  317.87191772
  339.03112793  247.97969055   10.71424675   96.5631485    28.28965569]","[  1.26392265e+02   1.38601093e+01   9.16205750e+01   6.71174393e+01
   2.09380031e+00   1.00682091e+02   4.41807823e+01   9.57938080e+01
   3.94637985e+01   1.15987666e-01]","[  89.20604706   38.32466507  122.47444916   70.48456573   29.58791733
  100.47180176   69.36258698  103.36297607   28.3454361     8.51046371]","[  335.19195557  1150.35998535   487.1958313    223.40301514   589.69232178
   304.55108643   295.82275391   342.19143677   229.5700531    203.27775574]",23.5656070709,0,2.0
13,"[ 791.25256348   81.16467285  310.93676758  317.87191772  339.03112793
  247.97969055   10.71424675   96.5631485    28.28965569   75.65270233]","[  13.86010933   91.62057495   67.11743927    2.09380031  100.68209076
   44.18078232   95.79380798   39.46379852    0.11598767   23.92809105]","[  38.32466507  122.47444916   70.48456573   29.58791733  100.47180176
   69.36258698  103.36297607   28.3454361     8.51046371   33.94776535]","[ 1150.35998535   487.1958313    223.40301514   589.69232178   304.55108643
   295.82275391   342.19143677   229.5700531    203.27775574   311.39373779]",23.3793449402,0,2.0
14,"[  81.16467285  310.93676758  317.87191772  339.03112793  247.97969055
   10.71424675   96.5631485    28.28965569   75.65270233   82.55145264]","[  91.62057495   67.11743927    2.09380031  100.68209076   44.18078232
   95.79380798   39.46379852    0.11598767   23.92809105   10.6730442 ]","[ 122.47444916   70.48456573   29.58791733  100.47180176   69.36258698
  103.36297607   28.3454361     8.51046371   33.94776535    3.42598534]","[ 487.1958313   223.40301514  589.69232178  304.55108643  295.82275391
  342.19143677  229.5700531   203.27775574  311.39373779  363.65112305]",23.1886749268,0,2.0
15,"[ 310.93676758  317.87191772  339.03112793  247.97969055   10.71424675
   96.5631485    28.28965569   75.65270233   82.55145264   60.67387772]","[  67.11743927    2.09380031  100.68209076   44.18078232   95.79380798
   39.46379852    0.11598767   23.92809105   10.6730442    10.36442471]","[  70.48456573   29.58791733  100.47180176   69.36258698  103.36297607
   28.3454361     8.51046371   33.94776535    3.42598534   21.56380844]","[ 223.40301514  589.69232178  304.55108643  295.82275391  342.19143677
  229.5700531   203.27775574  311.39373779  363.65112305  282.14019775]",22.996263504,0,2.0
16,"[ 317.87191772  339.03112793  247.97969055   10.71424675   96.5631485
   28.28965569   75.65270233   82.55145264   60.67387772   68.49104309]","[   2.09380031  100.68209076   44.18078232   95.79380798   39.46379852
    0.11598767   23.92809105   10.6730442    10.36442471    1.60788035]","[  29.58791733  100.47180176   69.36258698  103.36297607   28.3454361
    8.51046371   33.94776535    3.42598534   21.56380844   15.05489826]","[ 589.69232178  304.55108643  295.82275391  342.19143677  229.5700531
  203.27775574  311.39373779  363.65112305  282.14019775  405.57211304]",22.8006744385,0,2.0
17,"[ 339.03112793  247.97969055   10.71424675   96.5631485    28.28965569
   75.65270233   82.55145264   60.67387772   68.49104309  189.80369568]","[ 100.68209076   44.18078232   95.79380798   39.46379852    0.11598767
   23.92809105   10.6730442    10.36442471    1.60788035    0.88821459]","[ 100.47180176   69.36258698  103.36297607   28.3454361     8.51046371
   33.94776535    3.42598534   21.56380844   15.05489826    4.3272438 ]","[ 304.55108643  295.82275391  342.19143677  229.5700531   203.27775574
  311.39373779  363.65112305  282.14019775  405.57211304  184.81800842]",22.6036071777,0,2.0
18,"[ 247.97969055   10.71424675   96.5631485    28.28965569   75.65270233
   82.55145264   60.67387772   68.49104309  189.80369568  179.12329102]","[ 44.18078232  95.79380798  39.46379852   0.11598767  23.92809105
  10.6730442   10.36442471   1.60788035   0.88821459   0.81859821]","[  69.36258698  103.36297607   28.3454361     8.51046371   33.94776535
    3.42598534   21.56380844   15.05489826    4.3272438     1.23569691]","[ 295.82275391  342.19143677  229.5700531   203.27775574  311.39373779
  363.65112305  282.14019775  405.57211304  184.81800842   25.80751991]",22.4039230347,0,2.0
19,"[  10.71424675   96.5631485    28.28965569   75.65270233   82.55145264
   60.67387772   68.49104309  189.80369568  179.12329102  122.40189362]","[ 95.79380798  39.46379852   0.11598767  23.92809105  10.6730442
  10.36442471   1.60788035   0.88821459   0.81859821  15.52300167]","[ 103.36297607   28.3454361     8.51046371   33.94776535    3.42598534
   21.56380844   15.05489826    4.3272438     1.23569691   29.22602272]","[ 342.19143677  229.5700531   203.27775574  311.39373779  363.65112305
  282.14019775  405.57211304  184.81800842   25.80751991  202.36090088]",22.2028656006,0,2.0
20,"[  96.5631485    28.28965569   75.65270233   82.55145264   60.67387772
   68.49104309  189.80369568  179.12329102  122.40189362  206.22518921]","[ 39.46379852   0.11598767  23.92809105  10.6730442   10.36442471
   1.60788035   0.88821459   0.81859821  15.52300167  21.77867126]","[ 28.3454361    8.51046371  33.94776535   3.42598534  21.56380844
  15.05489826   4.3272438    1.23569691  29.22602272  36.34069061]","[ 229.5700531   203.27775574  311.39373779  363.65112305  282.14019775
  405.57211304  184.81800842   25.80751991  202.36090088  252.81700134]",22.0016403198,0,2.0
21,"[  28.28965569   75.65270233   82.55145264   60.67387772   68.49104309
  189.80369568  179.12329102  122.40189362  206.22518921   59.35322952]","[  0.11598767  23.92809105  10.6730442   10.36442471   1.60788035
   0.88821459   0.81859821  15.52300167  21.77867126  13.86803913]","[  8.51046371  33.94776535   3.42598534  21.56380844  15.05489826
   4.3272438    1.23569691  29.22602272  36.34069061  19.14232254]","[ 203.27775574  311.39373779  363.65112305  282.14019775  405.57211304
  184.81800842   25.80751991  202.36090088  252.81700134  311.6557312 ]",21.8002471924,0,2.0
22,"[  75.65270233   82.55145264   60.67387772   68.49104309  189.80369568
  179.12329102  122.40189362  206.22518921   59.35322952  136.52119446]","[ 23.92809105  10.6730442   10.36442471   1.60788035   0.88821459
   0.81859821  15.52300167  21.77867126  13.86803913  30.29384804]","[ 33.94776535   3.42598534  21.56380844  15.05489826   4.3272438
   1.23569691  29.22602272  36.34069061  19.14232254  47.07360077]","[ 311.39373779  363.65112305  282.14019775  405.57211304  184.81800842
   25.80751991  202.36090088  252.81700134  311.6557312   236.51856995]",21.5946445465,0,2.0
23,"[  82.55145264   60.67387772   68.49104309  189.80369568  179.12329102
  122.40189362  206.22518921   59.35322952  136.52119446  103.04198456]","[ 10.6730442   10.36442471   1.60788035   0.88821459   0.81859821
  15.52300167  21.77867126  13.86803913  30.29384804   0.07118392]","[  3.42598534  21.56380844  15.05489826   4.3272438    1.23569691
  29.22602272  36.34069061  19.14232254  47.07360077   6.64733076]","[ 363.65112305  282.14019775  405.57211304  184.81800842   25.80751991
  202.36090088  252.81700134  311.6557312   236.51856995  487.2883606 ]",21.3894710541,0,2.0
