,activation_0,activation_1,activation_2,activation_3,dist,id,vel
10,"[ 345.11605835  274.42303467  285.04031372  629.71655273  637.78259277
   37.74655533  289.02920532  391.51446533  385.25390625  120.01504517]","[ 95.31726074  51.12597275  30.17410851  55.9553566    1.52455461
   8.52826405  84.81190491  16.57985497  99.81970978  27.59682655]","[  90.66487885   60.18815994   16.95476913   32.2763176    25.52822304
    1.31737268  108.7554245    34.67303467  159.94796753   34.42489624]","[ 112.0103302   388.80105591  320.92523193   23.11026001  569.81445312
  266.00091553  230.59205627  304.81945801  390.57424927  311.62896729]",23.9617595673,2,2.0
11,"[ 274.42303467  285.04031372  629.71655273  637.78259277   37.74655533
  289.02920532  391.51446533  385.25390625  120.01504517  228.00108337]","[ 51.12597275  30.17410851  55.9553566    1.52455461   8.52826405
  84.81190491  16.57985497  99.81970978  27.59682655  11.241045  ]","[  60.18815994   16.95476913   32.2763176    25.52822304    1.31737268
  108.7554245    34.67303467  159.94796753   34.42489624   23.72481155]","[ 388.80105591  320.92523193   23.11026001  569.81445312  266.00091553
  230.59205627  304.81945801  390.57424927  311.62896729  235.40188599]",23.8432292938,2,2.0
12,"[ 285.04031372  629.71655273  637.78259277   37.74655533  289.02920532
  391.51446533  385.25390625  120.01504517  228.00108337   87.19463348]","[ 30.17410851  55.9553566    1.52455461   8.52826405  84.81190491
  16.57985497  99.81970978  27.59682655  11.241045     0.39852685]","[  16.95476913   32.2763176    25.52822304    1.31737268  108.7554245
   34.67303467  159.94796753   34.42489624   23.72481155   11.55916023]","[ 320.92523193   23.11026001  569.81445312  266.00091553  230.59205627
  304.81945801  390.57424927  311.62896729  235.40188599  295.24911499]",23.6629295349,2,2.0
13,"[ 629.71655273  637.78259277   37.74655533  289.02920532  391.51446533
  385.25390625  120.01504517  228.00108337   87.19463348    9.04499817]","[ 55.9553566    1.52455461   8.52826405  84.81190491  16.57985497
  99.81970978  27.59682655  11.241045     0.39852685  23.92134285]","[  32.2763176    25.52822304    1.31737268  108.7554245    34.67303467
  159.94796753   34.42489624   23.72481155   11.55916023   19.92033386]","[  23.11026001  569.81445312  266.00091553  230.59205627  304.81945801
  390.57424927  311.62896729  235.40188599  295.24911499  232.71942139]",23.420873642,2,2.0
14,"[  6.37782593e+02   3.77465553e+01   2.89029205e+02   3.91514465e+02
   3.85253906e+02   1.20015045e+02   2.28001083e+02   8.71946335e+01
   9.04499817e+00   2.29151249e-02]","[  1.52455461   8.52826405  84.81190491  16.57985497  99.81970978
  27.59682655  11.241045     0.39852685  23.92134285   0.6305232 ]","[  25.52822304    1.31737268  108.7554245    34.67303467  159.94796753
   34.42489624   23.72481155   11.55916023   19.92033386    5.26207352]","[ 569.81445312  266.00091553  230.59205627  304.81945801  390.57424927
  311.62896729  235.40188599  295.24911499  232.71942139  284.50741577]",23.2314796448,2,2.0
15,"[  3.77465553e+01   2.89029205e+02   3.91514465e+02   3.85253906e+02
   1.20015045e+02   2.28001083e+02   8.71946335e+01   9.04499817e+00
   2.29151249e-02   1.62636826e+02]","[  8.52826405  84.81190491  16.57985497  99.81970978  27.59682655
  11.241045     0.39852685  23.92134285   0.6305232    1.09903359]","[   1.31737268  108.7554245    34.67303467  159.94796753   34.42489624
   23.72481155   11.55916023   19.92033386    5.26207352    0.58000511]","[ 266.00091553  230.59205627  304.81945801  390.57424927  311.62896729
  235.40188599  295.24911499  232.71942139  284.50741577   61.60454559]",23.0409393311,2,2.0
16,"[  2.89029205e+02   3.91514465e+02   3.85253906e+02   1.20015045e+02
   2.28001083e+02   8.71946335e+01   9.04499817e+00   2.29151249e-02
   1.62636826e+02   6.52706528e+01]","[ 84.81190491  16.57985497  99.81970978  27.59682655  11.241045
   0.39852685  23.92134285   0.6305232    1.09903359   6.77538061]","[ 108.7554245    34.67303467  159.94796753   34.42489624   23.72481155
   11.55916023   19.92033386    5.26207352    0.58000511   10.03609753]","[ 230.59205627  304.81945801  390.57424927  311.62896729  235.40188599
  295.24911499  232.71942139  284.50741577   61.60454559  197.60017395]",22.8459568024,2,2.0
17,"[  3.91514465e+02   3.85253906e+02   1.20015045e+02   2.28001083e+02
   8.71946335e+01   9.04499817e+00   2.29151249e-02   1.62636826e+02
   6.52706528e+01   5.05130672e+00]","[ 16.57985497  99.81970978  27.59682655  11.241045     0.39852685
  23.92134285   0.6305232    1.09903359   6.77538061   4.52291107]","[  34.67303467  159.94796753   34.42489624   23.72481155   11.55916023
   19.92033386    5.26207352    0.58000511   10.03609753    3.79517889]","[ 304.81945801  390.57424927  311.62896729  235.40188599  295.24911499
  232.71942139  284.50741577   61.60454559  197.60017395  194.16360474]",22.6504459381,2,2.0
18,"[  3.85253906e+02   1.20015045e+02   2.28001083e+02   8.71946335e+01
   9.04499817e+00   2.29151249e-02   1.62636826e+02   6.52706528e+01
   5.05130672e+00   2.42514359e+02]","[ 99.81970978  27.59682655  11.241045     0.39852685  23.92134285
   0.6305232    1.09903359   6.77538061   4.52291107  11.05276871]","[ 159.94796753   34.42489624   23.72481155   11.55916023   19.92033386
    5.26207352    0.58000511   10.03609753    3.79517889    8.90080357]","[ 390.57424927  311.62896729  235.40188599  295.24911499  232.71942139
  284.50741577   61.60454559  197.60017395  194.16360474   90.69915009]",22.4517173767,2,2.0
19,"[  1.20015045e+02   2.28001083e+02   8.71946335e+01   9.04499817e+00
   2.29151249e-02   1.62636826e+02   6.52706528e+01   5.05130672e+00
   2.42514359e+02   3.00508842e+01]","[ 27.59682655  11.241045     0.39852685  23.92134285   0.6305232
   1.09903359   6.77538061   4.52291107  11.05276871   8.07072163]","[ 34.42489624  23.72481155  11.55916023  19.92033386   5.26207352
   0.58000511  10.03609753   3.79517889   8.90080357  18.45249176]","[ 311.62896729  235.40188599  295.24911499  232.71942139  284.50741577
   61.60454559  197.60017395  194.16360474   90.69915009    2.11850262]",22.2526760101,2,2.0
