time,optic_flow,activation,distance,velocity
3.695e+11,"[[[ -5.43681971e-08   2.14324970e-07]
  [  4.27932108e-08   2.03017649e-07]
  [ -5.31390043e-08   9.44646104e-08]
  ..., 
  [ -9.38678397e-07   2.19867111e-08]
  [ -9.52443600e-07   2.19985345e-08]
  [ -9.19769832e-07   3.67260107e-08]]

 [[  3.04564253e-07   5.98114411e-07]
  [  3.83434411e-07   5.77596211e-07]
  [  2.19398373e-07   3.47350010e-07]
  ..., 
  [ -1.05604897e-06   1.04279586e-07]
  [ -1.07685526e-06   1.32183089e-07]
  [ -1.03857167e-06   1.78671172e-07]]

 [[  3.03895774e-07   7.59109525e-07]
  [  4.58253538e-07   7.15607712e-07]
  [  3.63188605e-07   3.70789479e-07]
  ..., 
  [ -1.10471115e-06   3.07371835e-08]
  [ -1.14391673e-06   6.90788724e-08]
  [ -1.12446799e-06   1.21447329e-07]]

 ..., 
 [[  1.19497683e-02  -5.75687103e-02]
  [  2.16528028e-02  -8.03207904e-02]
  [  5.10974638e-02  -1.13238722e-01]
  ..., 
  [  1.86089948e-02  -2.16715466e-02]
  [  4.16326635e-02  -5.82604902e-03]
  [  3.16902623e-02  -4.18340927e-03]]

 [[  7.35029811e-03  -5.33562265e-02]
  [  1.59733109e-02  -7.54309595e-02]
  [  3.74196507e-02  -1.04838327e-01]
  ..., 
  [  2.61042304e-02  -1.28683364e-02]
  [  3.96211669e-02  -7.70851877e-03]
  [  2.68354136e-02  -6.50148187e-03]]

 [[  3.75314453e-03  -4.36479263e-02]
  [  1.05733871e-02  -6.05069585e-02]
  [  2.10778248e-02  -8.68469924e-02]
  ..., 
  [  2.24270411e-02  -5.38002234e-03]
  [  3.33945043e-02  -2.04697438e-03]
  [  1.91519409e-02  -1.59486104e-03]]]",0.0155860234821,30.1171001809,0.0770541876554
3.696e+11,"[[[  1.19292827e-06  -8.73350928e-07]
  [  1.74615855e-06  -1.06324569e-06]
  [  2.00302384e-06  -1.19610786e-06]
  ..., 
  [ -1.33513720e-06  -3.43937842e-07]
  [ -1.21402456e-06  -2.27197390e-07]
  [ -1.04306855e-06  -1.22193484e-07]]

 [[  1.45517481e-06  -1.63601544e-06]
  [  2.13019098e-06  -2.10079497e-06]
  [  2.67808059e-06  -2.48744118e-06]
  ..., 
  [ -1.92882771e-06  -5.92945014e-07]
  [ -1.76146659e-06  -4.82961525e-07]
  [ -1.50168330e-06  -3.77208465e-07]]

 [[  1.54354382e-06  -2.24370433e-06]
  [  2.24953078e-06  -2.88823594e-06]
  [  3.06274501e-06  -3.47762193e-06]
  ..., 
  [ -2.55431246e-06  -6.05602452e-07]
  [ -2.31162880e-06  -4.66200532e-07]
  [ -1.89803075e-06  -3.21139282e-07]]

 ..., 
 [[  4.83421773e-01  -6.73970878e-01]
  [  6.43860161e-01  -9.36020553e-01]
  [  7.53326833e-01  -1.14645851e+00]
  ..., 
  [ -6.02961421e-01  -7.86209822e-01]
  [ -4.23701555e-01  -5.56011975e-01]
  [ -2.77223110e-01  -3.51488799e-01]]

 [[  4.27234888e-01  -5.87614059e-01]
  [  5.31441808e-01  -7.72692502e-01]
  [  5.93603492e-01  -9.09226239e-01]
  ..., 
  [ -3.99534583e-01  -5.35849988e-01]
  [ -2.61405379e-01  -3.46136004e-01]
  [ -1.56682387e-01  -1.91941425e-01]]

 [[  3.43874782e-01  -4.73567665e-01]
  [  4.11103934e-01  -6.09042883e-01]
  [  4.62621510e-01  -7.25072563e-01]
  ..., 
  [ -2.13927433e-01  -3.24799299e-01]
  [ -1.45059764e-01  -2.15523198e-01]
  [ -8.44527707e-02  -1.13571510e-01]]]",-0.490110997963,30.1065766502,0.159436792135
3.697e+11,"[[[ -2.70521554e-07   7.36378638e-07]
  [ -3.94538262e-07   9.58487135e-07]
  [ -2.18698219e-07   1.26830469e-06]
  ..., 
  [ -9.27885367e-07   9.24041501e-07]
  [ -7.34742798e-07   9.11836651e-07]
  [ -6.56687007e-07   9.21069613e-07]]

 [[ -4.93732841e-07   9.78262847e-07]
  [ -6.91207902e-07   1.27813382e-06]
  [ -6.68573477e-07   1.61495257e-06]
  ..., 
  [ -1.01554008e-06   1.33322442e-06]
  [ -8.84372298e-07   1.33720596e-06]
  [ -8.29655221e-07   1.34890843e-06]]

 [[ -6.90479055e-07   1.13723138e-06]
  [ -1.06025607e-06   1.49533537e-06]
  [ -1.36080178e-06   1.84058388e-06]
  ..., 
  [ -1.27217936e-06   1.51761651e-06]
  [ -1.19099707e-06   1.51130075e-06]
  [ -1.12719135e-06   1.49853065e-06]]

 ..., 
 [[ -8.17824721e-01   1.39864337e+00]
  [ -1.00711036e+00   1.78314650e+00]
  [ -1.36008537e+00   2.33909607e+00]
  ..., 
  [  4.92023915e-01   1.01931942e+00]
  [  2.94536442e-01   6.47933245e-01]
  [  2.04022869e-01   4.36969966e-01]]

 [[ -6.33869708e-01   1.15668225e+00]
  [ -7.98675001e-01   1.48661911e+00]
  [ -1.12141764e+00   2.01003408e+00]
  ..., 
  [  2.83886105e-01   7.46374786e-01]
  [  1.22453079e-01   4.13107157e-01]
  [  8.05906281e-02   2.62382448e-01]]

 [[ -2.95980066e-01   6.00383043e-01]
  [ -4.42091882e-01   8.74138594e-01]
  [ -7.06211686e-01   1.34381473e+00]
  ..., 
  [  1.84142694e-01   5.53634465e-01]
  [  5.10724187e-02   2.73719013e-01]
  [  2.79909223e-02   1.60245955e-01]]]",0.249091877207,30.0833890379,0.319243639708
3.698e+11,"[[[ -4.40232753e-07   1.10707515e-06]
  [ -6.23062760e-07   1.44152750e-06]
  [ -1.19966649e-06   1.66608174e-06]
  ..., 
  [  3.03672067e-07   2.32534887e-07]
  [  2.86047538e-07   2.45435359e-07]
  [  2.22407493e-07   2.69634057e-07]]

 [[ -1.61120582e-07   1.57737065e-06]
  [ -1.90250361e-07   2.15038563e-06]
  [ -7.27012434e-07   2.63571269e-06]
  ..., 
  [  1.41337404e-08   3.84911459e-07]
  [  4.76094497e-09   4.00943208e-07]
  [ -6.65345326e-08   4.32450690e-07]]

 [[  1.99626669e-07   2.04815365e-06]
  [  3.39329404e-07   2.97177235e-06]
  [ -6.91725788e-08   3.79154585e-06]
  ..., 
  [ -2.23780916e-07   6.19407388e-07]
  [ -2.52342659e-07   6.44390525e-07]
  [ -3.38735219e-07   6.88930243e-07]]

 ..., 
 [[ -1.70889735e+00   2.49080539e+00]
  [ -2.06209016e+00   2.99220228e+00]
  [ -2.27938509e+00   3.26756167e+00]
  ..., 
  [  2.83397019e-01   4.25485462e-01]
  [  1.69951349e-01   2.55420774e-01]
  [  9.81569439e-02   1.50599733e-01]]

 [[ -1.57092857e+00   2.27382302e+00]
  [ -1.89227700e+00   2.74846244e+00]
  [ -2.11004281e+00   3.03889108e+00]
  ..., 
  [  1.92522645e-01   3.10412496e-01]
  [  1.04792364e-01   1.73219025e-01]
  [  5.38487174e-02   9.20771062e-02]]

 [[ -1.20309889e+00   1.75346553e+00]
  [ -1.47405219e+00   2.18570733e+00]
  [ -1.69116294e+00   2.48519135e+00]
  ..., 
  [  1.35227174e-01   2.35455915e-01]
  [  7.59227127e-02   1.33328393e-01]
  [  3.69276218e-02   6.63989708e-02]]]",0.322103263645,30.0429376123,0.497400045395
3.699e+11,"[[[ -2.48399829e-07   8.81839583e-07]
  [ -4.18290966e-07   8.51677271e-07]
  [ -6.68401697e-07   8.66394601e-07]
  ..., 
  [ -1.32954040e-06   2.91852416e-07]
  [ -1.26257794e-06   2.75234527e-07]
  [ -1.11338545e-06   2.92312507e-07]]

 [[ -4.36274377e-07   1.79173662e-06]
  [ -8.05212323e-07   1.85846682e-06]
  [ -1.30456056e-06   1.96935662e-06]
  ..., 
  [ -1.54092925e-06   4.87674924e-07]
  [ -1.39361214e-06   5.06422680e-07]
  [ -1.24822043e-06   5.67394977e-07]]

 [[ -2.71734166e-07   2.57974739e-06]
  [ -7.57755572e-07   2.86545674e-06]
  [ -1.46416005e-06   3.32716741e-06]
  ..., 
  [ -1.80766040e-06   4.69116031e-07]
  [ -1.59597528e-06   4.88351247e-07]
  [ -1.43052387e-06   5.43493400e-07]]

 ..., 
 [[ -9.06527862e-02   1.16722107e-01]
  [ -1.53524369e-01   1.82728529e-01]
  [ -3.11088383e-01   3.40172917e-01]
  ..., 
  [  1.13804603e+00   9.40536261e-01]
  [  7.24294662e-01   6.00976706e-01]
  [  4.23216373e-01   3.41451436e-01]]

 [[ -6.13753237e-02   8.51479247e-02]
  [ -9.57755968e-02   1.22928262e-01]
  [ -1.88401043e-01   2.18219250e-01]
  ..., 
  [  8.64321887e-01   7.32179105e-01]
  [  5.18646538e-01   4.46930647e-01]
  [  2.93299764e-01   2.48521596e-01]]

 [[ -3.79006043e-02   5.13423719e-02]
  [ -5.06054088e-02   6.48154467e-02]
  [ -9.78593826e-02   1.10497370e-01]
  ..., 
  [  6.55582726e-01   5.64737678e-01]
  [  3.57507944e-01   3.15742850e-01]
  [  1.78814411e-01   1.54646173e-01]]]",0.240096705892,29.9879421009,0.640694320202
3.7e+11,"[[[  3.81941248e-07  -1.21116557e-08]
  [  3.13793720e-07  -1.38795500e-08]
  [  3.84622410e-07   2.19319425e-08]
  ..., 
  [ -2.43315753e-06   3.10236805e-06]
  [ -1.75966466e-06   2.21896448e-06]
  [ -1.71628585e-06   1.77896629e-06]]

 [[  4.59632588e-07   4.28038014e-08]
  [  3.31404692e-07   2.43594602e-08]
  [  4.36229357e-07   8.06846217e-08]
  ..., 
  [ -2.59686544e-06   3.41804730e-06]
  [ -2.00664363e-06   2.59557169e-06]
  [ -1.92036077e-06   2.18874811e-06]]

 [[  3.90577725e-07   2.56108962e-07]
  [  2.22592405e-07   2.69883856e-07]
  [  3.72815066e-07   3.92068131e-07]
  ..., 
  [ -2.73404589e-06   3.34709239e-06]
  [ -2.25179861e-06   2.57953229e-06]
  [ -2.10681287e-06   2.14812712e-06]]

 ..., 
 [[ -1.39434710e-01   1.63256854e-01]
  [ -1.82935297e-01   2.44636104e-01]
  [ -2.33441100e-01   3.16187292e-01]
  ..., 
  [  6.94646597e-01   2.95132607e-01]
  [  5.22319674e-01   2.44050398e-01]
  [  3.66922349e-01   1.86435968e-01]]

 [[ -9.56507251e-02   1.20469213e-01]
  [ -1.30317748e-01   1.83697984e-01]
  [ -1.68696269e-01   2.38900051e-01]
  ..., 
  [  5.69068789e-01   2.45438561e-01]
  [  3.99147272e-01   1.93503380e-01]
  [  2.53602386e-01   1.37931332e-01]]

 [[ -3.97695825e-02   5.49953356e-02]
  [ -5.68901449e-02   8.71392861e-02]
  [ -7.67180696e-02   1.16652898e-01]
  ..., 
  [  4.58534598e-01   2.05030531e-01]
  [  3.06937248e-01   1.55528367e-01]
  [  1.76402122e-01   1.03180200e-01]]]",0.0830518348968,29.9202182485,0.745221495628
3.701e+11,"[[[  3.94449017e-07  -4.02389418e-07]
  [  6.55920871e-07  -5.14024009e-07]
  [  8.72678811e-07  -6.46845706e-07]
  ..., 
  [ -9.27548967e-07   3.37941856e-07]
  [ -1.17500838e-06   2.74014127e-07]
  [ -1.36658548e-06   2.21862194e-07]]

 [[  5.67825793e-07  -6.28905639e-07]
  [  9.46284445e-07  -7.72560156e-07]
  [  1.19104402e-06  -9.56815029e-07]
  ..., 
  [ -7.55364454e-07   5.83804820e-07]
  [ -1.16794456e-06   5.34858373e-07]
  [ -1.38100813e-06   5.08473249e-07]]

 [[  8.60046953e-07  -9.10346216e-07]
  [  1.42006513e-06  -1.14284796e-06]
  [  1.76401488e-06  -1.47980870e-06]
  ..., 
  [ -6.44694751e-07   6.57573480e-07]
  [ -1.16156957e-06   6.08901132e-07]
  [ -1.38737482e-06   5.73734724e-07]]

 ..., 
 [[ -2.46476278e-01   3.34658138e-02]
  [ -3.17510426e-01   4.91945110e-02]
  [ -3.90214473e-01   6.42505661e-02]
  ..., 
  [  3.74091387e-01   2.26147398e-01]
  [  3.11210692e-01   1.83590159e-01]
  [  2.47756571e-01   1.34784922e-01]]

 [[ -1.23983748e-01   2.56011914e-02]
  [ -1.88978180e-01   4.18879166e-02]
  [ -2.50753701e-01   5.74546419e-02]
  ..., 
  [  2.63164341e-01   1.82558551e-01]
  [  2.06364304e-01   1.42577529e-01]
  [  1.61911383e-01   1.02139659e-01]]

 [[ -9.14552212e-02   1.69954002e-02]
  [ -1.43305764e-01   2.89272275e-02]
  [ -1.77028611e-01   3.82443629e-02]
  ..., 
  [  2.06670612e-01   1.61893919e-01]
  [  1.64254203e-01   1.29813075e-01]
  [  1.31513789e-01   9.66680720e-02]]]",0.0924518491512,29.8442213853,0.810948550701
3.702e+11,"[[[  4.54399071e-07  -3.07463239e-07]
  [  4.42337580e-07  -2.92642540e-07]
  [  5.64780066e-07  -2.36644127e-07]
  ..., 
  [ -1.38316432e-06  -1.14836247e-07]
  [ -1.09905125e-06  -6.95762381e-08]
  [ -6.50451625e-07  -2.10086313e-08]]

 [[  8.27881593e-07  -5.89708350e-07]
  [  8.37087896e-07  -6.91929131e-07]
  [  1.07518099e-06  -6.69038798e-07]
  ..., 
  [ -1.24100643e-06  -2.39442244e-07]
  [ -1.00047839e-06  -2.07377980e-07]
  [ -6.32019919e-07  -1.59920162e-07]]

 [[  9.26051314e-07  -7.70176143e-07]
  [  8.93965591e-07  -9.98493533e-07]
  [  1.21917412e-06  -1.06858340e-06]
  ..., 
  [ -1.25540760e-06  -1.51529065e-07]
  [ -1.05375818e-06  -9.37220790e-08]
  [ -7.55244741e-07  -2.69341704e-08]]

 ..., 
 [[ -1.62257940e-01   2.73046866e-02]
  [ -2.98090428e-01   4.48346548e-02]
  [ -4.53185678e-01   6.86099306e-02]
  ..., 
  [  3.34241867e-01   1.45918369e-01]
  [  3.11799198e-01   1.30726442e-01]
  [  2.69838810e-01   1.11395620e-01]]

 [[ -8.39431882e-02   1.36107747e-02]
  [ -1.60013884e-01   1.94022395e-02]
  [ -2.59568006e-01   3.27721946e-02]
  ..., 
  [  2.54805237e-01   1.22727886e-01]
  [  2.31072739e-01   1.05752982e-01]
  [  2.00550616e-01   9.01754275e-02]]

 [[ -4.24153283e-02   8.31709430e-03]
  [ -7.41723403e-02   1.22767305e-02]
  [ -1.31767258e-01   2.38676164e-02]
  ..., 
  [  1.78430781e-01   9.44798514e-02]
  [  1.55787796e-01   7.94868469e-02]
  [  1.35524392e-01   6.80936277e-02]]]",0.122237073497,29.7625094684,0.854100167751
3.703e+11,"[[[  1.42747103e-06  -5.06708830e-07]
  [  2.28752788e-06  -5.77730987e-07]
  [  2.70164514e-06  -6.86686121e-07]
  ..., 
  [ -2.05304991e-06   4.46547688e-07]
  [ -1.67258145e-06   3.88391442e-07]
  [ -1.41326530e-06   3.68464043e-07]]

 [[  1.68118845e-06  -9.61152182e-07]
  [  2.90428034e-06  -1.22736913e-06]
  [  3.53960422e-06  -1.44779472e-06]
  ..., 
  [ -2.20140259e-06   6.65471816e-07]
  [ -1.82536508e-06   6.21534184e-07]
  [ -1.53693577e-06   6.18463332e-07]]

 [[  1.59851629e-06  -1.54220731e-06]
  [  2.94475058e-06  -2.19364870e-06]
  [  3.74294473e-06  -2.61645459e-06]
  ..., 
  [ -2.30423598e-06   7.44472572e-07]
  [ -1.94140625e-06   6.82231359e-07]
  [ -1.62523554e-06   6.67769257e-07]]

 ..., 
 [[ -3.50126505e-01   8.36513117e-02]
  [ -4.60124105e-01   9.96122286e-02]
  [ -5.54061294e-01   1.07451633e-01]
  ..., 
  [  4.14183348e-01   2.71204799e-01]
  [  3.06419939e-01   1.83979526e-01]
  [  2.02541798e-01   1.14299595e-01]]

 [[ -2.15428665e-01   6.56857565e-02]
  [ -2.87269831e-01   8.17438513e-02]
  [ -3.50092888e-01   9.32517275e-02]
  ..., 
  [  2.96324700e-01   1.95005178e-01]
  [  2.20307544e-01   1.32774457e-01]
  [  1.48818210e-01   8.35759863e-02]]

 [[ -1.16433114e-01   4.56510261e-02]
  [ -1.57703832e-01   6.11522980e-02]
  [ -2.08308920e-01   7.56472424e-02]
  ..., 
  [  2.13454813e-01   1.38785109e-01]
  [  1.65226862e-01   9.90428403e-02]
  [  1.11858770e-01   6.29856959e-02]]]",0.120052054035,29.6773304761,0.882959365845
3.704e+11,"[[[  3.60000847e-08   1.28790347e-07]
  [ -1.22373834e-07   1.20919808e-07]
  [ -4.15502655e-08   1.85808233e-07]
  ..., 
  [ -1.29904413e-06   5.27414095e-08]
  [ -1.60976606e-06   1.05005881e-07]
  [ -1.18299374e-06   1.52324347e-07]]

 [[  3.07733700e-07   8.78703617e-08]
  [  2.96160749e-07   1.00360758e-07]
  [  5.67419931e-07   2.52591036e-07]
  ..., 
  [ -1.23393204e-06   1.30863370e-07]
  [ -1.59583658e-06   2.05054505e-07]
  [ -1.15064176e-06   2.72026767e-07]]

 [[  4.37173981e-07   5.94955019e-08]
  [  5.16659156e-07   1.30705260e-07]
  [  8.94591381e-07   4.05644386e-07]
  ..., 
  [ -9.48216268e-07   3.37753733e-07]
  [ -1.35675884e-06   4.43786973e-07]
  [ -9.24401604e-07   5.44734405e-07]]

 ..., 
 [[ -2.05866411e-01   1.45832583e-01]
  [ -3.15646172e-01   2.51897991e-01]
  [ -3.85739893e-01   3.39814097e-01]
  ..., 
  [  2.61760920e-01   9.90540683e-02]
  [  1.87749296e-01   6.44626245e-02]
  [  1.40442267e-01   4.37571444e-02]]

 [[ -1.38241932e-01   1.03230029e-01]
  [ -2.22116143e-01   1.86648339e-01]
  [ -2.70934194e-01   2.49684498e-01]
  ..., 
  [  1.75940767e-01   6.44156337e-02]
  [  1.21061690e-01   3.95322107e-02]
  [  8.68479237e-02   2.56647225e-02]]

 [[ -6.87673688e-02   4.36219536e-02]
  [ -1.22632630e-01   9.67856944e-02]
  [ -1.68921798e-01   1.50605306e-01]
  ..., 
  [  1.14360683e-01   4.19584326e-02]
  [  7.58561492e-02   2.51782984e-02]
  [  5.17831743e-02   1.58179253e-02]]]",0.0885860493464,29.5890632952,0.90741443634
