time,optic_flow,activation,optic_flow_cn45,activation_cn45,optic_flow_c45,distance,activation_c45,velocity,activation_gradient
5.674e+11,"[[[  1.52415481e-07   1.24080501e-07]
  [  2.84835039e-07   1.96587550e-07]
  [  4.16568014e-07   2.60992522e-07]
  ..., 
  [  3.12020688e-07  -1.26190969e-07]
  [ -2.01368465e-07  -1.12378700e-07]
  [ -2.91724405e-07  -7.30485752e-08]]

 [[  2.01812341e-07   2.38459592e-07]
  [  3.59238499e-07   3.36842419e-07]
  [  6.62048706e-07   3.77011531e-07]
  ..., 
  [  1.98720983e-07  -2.72827691e-07]
  [ -3.86541387e-07  -2.53049478e-07]
  [ -4.56229600e-07  -2.24915624e-07]]

 [[  4.61386634e-07   4.01382351e-07]
  [  5.32673596e-07   4.95872712e-07]
  [  8.82876179e-07   4.78841230e-07]
  ..., 
  [  1.27233095e-08  -1.47428764e-07]
  [ -6.18651654e-07  -1.35956640e-07]
  [ -6.56557972e-07  -7.96881068e-08]]

 ..., 
 [[ -1.19776567e-02   3.15065756e-02]
  [ -1.99670140e-02   4.78844270e-02]
  [ -3.76836881e-02   7.23222494e-02]
  ..., 
  [ -3.99333052e-02  -8.58383533e-03]
  [ -3.44720185e-02   3.53579363e-03]
  [ -2.44375728e-02   6.47816854e-03]]

 [[ -5.84468013e-03   3.49371694e-02]
  [ -1.37800639e-02   5.30281849e-02]
  [ -2.36068573e-02   7.32774138e-02]
  ..., 
  [ -2.34619658e-02  -4.54402016e-03]
  [ -2.14103013e-02   5.11859916e-03]
  [ -1.68225244e-02   5.96181024e-03]]

 [[ -4.83469898e-03   2.03072987e-02]
  [ -1.07692555e-02   3.16899158e-02]
  [ -1.59142744e-02   4.53415141e-02]
  ..., 
  [ -7.06594484e-03  -7.61041278e-03]
  [ -7.36856926e-03  -1.18231191e-03]
  [ -6.50566723e-03   9.44914471e-04]]]",-0.0153693188687,,,,25.2908290354,,0.0135715743527,-0.586344280939
5.675e+11,"[[[  1.92603764e-08  -5.29391173e-07]
  [ -2.87393419e-07  -6.35686888e-07]
  [ -1.65096338e-07  -7.71517477e-07]
  ..., 
  [ -1.32453158e-06  -2.02495229e-07]
  [ -1.21663368e-06  -5.99154006e-08]
  [ -1.13879025e-06   8.71740156e-08]]

 [[ -4.62178136e-08  -9.58044325e-07]
  [ -4.05782146e-07  -1.32862840e-06]
  [ -3.79361012e-07  -1.81620555e-06]
  ..., 
  [ -1.53046130e-06  -3.13899363e-07]
  [ -1.42347460e-06  -1.22875306e-07]
  [ -1.35720029e-06   6.39903703e-08]]

 [[ -2.52743803e-07  -1.56866236e-06]
  [ -7.00682449e-07  -2.11001225e-06]
  [ -7.45643774e-07  -2.79700680e-06]
  ..., 
  [ -1.74550303e-06  -3.72653290e-07]
  [ -1.60135164e-06  -1.69343579e-07]
  [ -1.53593317e-06   2.90404891e-08]]

 ..., 
 [[  2.23783344e-01  -2.84670591e-01]
  [  4.03374314e-01  -4.71390873e-01]
  [  7.01520622e-01  -8.47933292e-01]
  ..., 
  [ -9.16650236e-01  -1.08429062e+00]
  [ -6.47921979e-01  -7.90798724e-01]
  [ -2.20956832e-01  -3.13757628e-01]]

 [[  1.60087556e-01  -2.15898767e-01]
  [  3.05940926e-01  -3.73656064e-01]
  [  5.24435818e-01  -6.61362648e-01]
  ..., 
  [ -4.88354921e-01  -5.10229707e-01]
  [ -3.14865381e-01  -3.43682915e-01]
  [ -1.04933694e-01  -1.42287895e-01]]

 [[  1.38040319e-01  -1.81939617e-01]
  [  2.66826451e-01  -3.18242222e-01]
  [  4.36136365e-01  -5.44326603e-01]
  ..., 
  [ -2.40360171e-01  -2.36346975e-01]
  [ -1.42053127e-01  -1.48814902e-01]
  [ -5.37697785e-02  -6.99915066e-02]]]",-0.601713599808,,,,25.2819479802,,0.0827742516994,0.103893326293
5.676e+11,"[[[ -3.54807753e-07   4.13966575e-07]
  [ -6.71145813e-07   5.51709661e-07]
  [ -1.53971598e-06   8.16350223e-07]
  ..., 
  [  3.23863929e-07   5.56863142e-07]
  [  3.25873344e-07   6.30581781e-07]
  [  1.39231446e-07   6.74245825e-07]]

 [[ -2.21370556e-07   5.74807075e-07]
  [ -5.48599360e-07   7.79931099e-07]
  [ -1.42782471e-06   1.10118890e-06]
  ..., 
  [  6.43369106e-07   7.39530776e-07]
  [  6.76760749e-07   8.30475642e-07]
  [  4.53298412e-07   8.86096359e-07]]

 [[ -4.33096403e-08   7.94949074e-07]
  [ -3.24979794e-07   1.04667811e-06]
  [ -1.14298291e-06   1.41413057e-06]
  ..., 
  [  8.51254981e-07   9.09035862e-07]
  [  8.77361288e-07   1.01568276e-06]
  [  6.13641134e-07   1.07186406e-06]]

 ..., 
 [[  3.79694477e-02   1.18779078e-01]
  [ -4.54900786e-03   2.07017809e-01]
  [ -9.04421285e-02   3.42646420e-01]
  ..., 
  [  3.46203893e-01   8.79117548e-01]
  [  2.64524043e-01   6.65956974e-01]
  [  2.04260334e-01   4.69753206e-01]]

 [[  4.65544984e-02   9.14360881e-02]
  [  1.43777169e-02   1.54045239e-01]
  [ -6.27518594e-02   2.61639684e-01]
  ..., 
  [  3.33972245e-01   8.00657094e-01]
  [  2.46493936e-01   5.93877316e-01]
  [  1.88903302e-01   4.17389750e-01]]

 [[  2.34991666e-02   8.26042071e-02]
  [  5.04003698e-03   1.21131726e-01]
  [ -4.63796072e-02   1.98365957e-01]
  ..., 
  [  2.56697804e-01   6.40813112e-01]
  [  1.73515648e-01   4.34596658e-01]
  [  1.30646199e-01   2.92290121e-01]]]",0.192417333718,,,,25.2633993171,,0.224537119269,0.553263683407
5.677e+11,"[[[ -5.42554176e-07   1.10246992e-06]
  [ -1.23908421e-06   1.38110420e-06]
  [ -2.10118969e-06   1.68774523e-06]
  ..., 
  [ -1.43186264e-06   3.60855154e-07]
  [ -1.53843382e-06   3.75504328e-07]
  [ -1.18575429e-06   4.20830588e-07]]

 [[ -7.98454835e-07   1.36467463e-06]
  [ -1.56962301e-06   1.75712182e-06]
  [ -2.66698817e-06   2.18329137e-06]
  ..., 
  [ -1.45145589e-06   6.80186361e-07]
  [ -1.67094709e-06   7.13784686e-07]
  [ -1.32343348e-06   8.02474574e-07]]

 [[ -1.07991332e-06   1.59929664e-06]
  [ -1.98030239e-06   2.09704467e-06]
  [ -3.40384099e-06   2.62058711e-06]
  ..., 
  [ -1.57198360e-06   8.79228992e-07]
  [ -1.88030572e-06   9.05018965e-07]
  [ -1.55027237e-06   1.00008697e-06]]

 ..., 
 [[ -7.18934685e-02   2.05371052e-01]
  [ -1.66539550e-01   3.45903039e-01]
  [ -2.98992872e-01   5.38070738e-01]
  ..., 
  [  6.67548418e-01   7.74779201e-01]
  [  5.51339388e-01   6.30389988e-01]
  [  3.94049287e-01   4.61990207e-01]]

 [[ -4.47642431e-02   1.39639840e-01]
  [ -1.12622015e-01   2.36496195e-01]
  [ -2.09129781e-01   3.77490491e-01]
  ..., 
  [  4.46892083e-01   5.92587769e-01]
  [  3.54171455e-01   4.64702040e-01]
  [  2.25027099e-01   3.20832133e-01]]

 [[ -1.96171906e-02   6.81428090e-02]
  [ -6.54511079e-02   1.37260914e-01]
  [ -1.44056603e-01   2.47109160e-01]
  ..., 
  [  2.75607109e-01   4.20359701e-01]
  [  2.18553811e-01   3.25810403e-01]
  [  1.30365551e-01   2.20857024e-01]]]",0.504813767006,,,,25.2265682213,,0.413388460875,0.103568713859
5.678e+11,"[[[ -1.10747499e-06   1.08023994e-06]
  [ -1.62071569e-06   1.27140049e-06]
  [ -2.18533546e-06   1.42746694e-06]
  ..., 
  [  1.53021578e-08   2.51802931e-07]
  [ -1.91613680e-07   2.60342347e-07]
  [ -1.81836000e-07   3.13413068e-07]]

 [[ -1.15590433e-06   2.11671500e-06]
  [ -1.86197758e-06   2.80420863e-06]
  [ -2.67740234e-06   3.36405924e-06]
  ..., 
  [ -5.06196152e-08   2.59572971e-07]
  [ -2.91833800e-07   2.77611122e-07]
  [ -3.01394351e-07   3.62262341e-07]]

 [[ -9.48962622e-07   3.21642392e-06]
  [ -1.62288563e-06   4.45373234e-06]
  [ -2.44001512e-06   5.37405322e-06]
  ..., 
  [ -1.17772110e-07   2.73684748e-07]
  [ -4.01817772e-07   2.95847201e-07]
  [ -4.54756446e-07   3.97258219e-07]]

 ..., 
 [[ -1.21215992e-01   1.33721739e-01]
  [ -2.84824371e-01   3.14058691e-01]
  [ -4.49253142e-01   5.56067050e-01]
  ..., 
  [  1.20502949e+00   1.06735551e+00]
  [  1.00172210e+00   8.81579578e-01]
  [  5.83437085e-01   5.32152772e-01]]

 [[ -9.78235230e-02   1.08196035e-01]
  [ -2.30488807e-01   2.53730357e-01]
  [ -3.66265327e-01   4.50415313e-01]
  ..., 
  [  5.59576154e-01   5.31514883e-01]
  [  3.97471577e-01   3.72628987e-01]
  [  1.97391391e-01   1.96797296e-01]]

 [[ -6.89020604e-02   7.20665008e-02]
  [ -1.72136173e-01   1.83666989e-01]
  [ -2.78364241e-01   3.35775644e-01]
  ..., 
  [  1.81605130e-01   1.97846875e-01]
  [  1.13632895e-01   1.30884275e-01]
  [  5.74727170e-02   7.72547871e-02]]]",0.399554761437,,,,25.1725217665,,0.576953172684,-0.159479694098
5.679e+11,"[[[ -4.46047039e-08   2.83319594e-07]
  [ -9.17707652e-08   3.25125683e-07]
  [ -1.85089576e-07   3.92114146e-07]
  ..., 
  [ -1.60830461e-06   1.29251771e-06]
  [ -1.75558591e-06   1.11539066e-06]
  [ -1.60901948e-06   8.72842861e-07]]

 [[ -3.42654296e-08   4.81931352e-07]
  [ -5.53669146e-08   5.58795591e-07]
  [ -1.49670910e-07   6.40173482e-07]
  ..., 
  [ -2.14670695e-06   1.44672435e-06]
  [ -2.21746450e-06   1.21961739e-06]
  [ -1.96712767e-06   9.38667995e-07]]

 [[ -1.09366241e-08   8.46673174e-07]
  [ -5.80142512e-08   1.10742621e-06]
  [ -1.66254949e-07   1.37388099e-06]
  ..., 
  [ -2.52901305e-06   1.64869800e-06]
  [ -2.56233284e-06   1.41712803e-06]
  [ -2.24153473e-06   1.14995453e-06]]

 ..., 
 [[ -7.63244987e-01   4.12214905e-01]
  [ -9.98459220e-01   5.73037148e-01]
  [ -1.25246584e+00   7.71185458e-01]
  ..., 
  [  1.04733527e+00   6.35861456e-01]
  [  8.85254025e-01   5.32612443e-01]
  [  6.83769107e-01   4.18268323e-01]]

 [[ -4.74695802e-01   2.79811352e-01]
  [ -6.51305079e-01   4.12813962e-01]
  [ -8.94541383e-01   6.05173528e-01]
  ..., 
  [  8.50660622e-01   5.47112584e-01]
  [  7.00460792e-01   4.51565921e-01]
  [  4.93833244e-01   3.34455073e-01]]

 [[ -2.49388635e-01   1.54766098e-01]
  [ -3.77481312e-01   2.56282538e-01]
  [ -5.20496607e-01   3.85776043e-01]
  ..., 
  [  6.82302296e-01   4.55930650e-01]
  [  5.69464803e-01   3.82596225e-01]
  [  4.09872591e-01   2.88905382e-01]]]",0.185854378811,,,,25.103123101,,0.702377915382,-0.138771695251
5.68e+11,"[[[  4.58247840e-08  -1.44214363e-09]
  [  8.14269825e-08  -1.63233835e-08]
  [  1.54647836e-07  -4.37818422e-08]
  ..., 
  [ -2.85993178e-06   2.57014534e-07]
  [ -2.31477384e-06   2.85446646e-07]
  [ -1.86538932e-06   3.11940340e-07]]

 [[  4.98783699e-08   3.61778107e-10]
  [  9.30826616e-08  -1.82731483e-08]
  [  1.64292359e-07  -5.79915778e-08]
  ..., 
  [ -2.98956570e-06   1.84036409e-07]
  [ -2.49264235e-06   2.21608943e-07]
  [ -2.04625826e-06   2.48521644e-07]]

 [[  5.17138332e-08   2.91349389e-09]
  [  9.56452624e-08  -1.61533578e-08]
  [  1.59054864e-07  -5.43401235e-08]
  ..., 
  [ -3.31437855e-06   4.46399504e-08]
  [ -2.85930446e-06   9.03434767e-08]
  [ -2.40430245e-06   1.04674520e-07]]

 ..., 
 [[ -3.81143898e-01   2.33270660e-01]
  [ -4.93057907e-01   3.04335892e-01]
  [ -5.76262474e-01   3.45865965e-01]
  ..., 
  [  6.64509535e-01   3.02821279e-01]
  [  5.44787824e-01   2.35785544e-01]
  [  4.15139705e-01   1.63092911e-01]]

 [[ -2.91502833e-01   1.80911854e-01]
  [ -3.86322320e-01   2.41780117e-01]
  [ -4.68905240e-01   2.86076695e-01]
  ..., 
  [  4.33967382e-01   2.05529749e-01]
  [  3.17373127e-01   1.41679168e-01]
  [  2.01281801e-01   7.67782852e-02]]

 [[ -1.55123547e-01   8.19663554e-02]
  [ -2.19242677e-01   1.14725217e-01]
  [ -2.79570609e-01   1.44585282e-01]
  ..., 
  [  2.81334996e-01   1.49379179e-01]
  [  1.84398547e-01   9.55334753e-02]
  [  1.00633465e-01   4.55992036e-02]]]",0.122011370934,,,,25.0234281613,,0.789972126484,-0.0280271794902
5.681e+11,"[[[  3.92773586e-07   3.07547268e-08]
  [  6.43423391e-07   9.43902805e-08]
  [  9.10286531e-07   1.72642373e-07]
  ..., 
  [ -5.97965823e-07   2.52739483e-07]
  [ -5.41570955e-07   2.82548541e-07]
  [ -5.87719853e-07   3.42194539e-07]]

 [[  6.31081775e-07  -1.05028377e-07]
  [  9.35153821e-07  -6.66082345e-09]
  [  1.21794415e-06   1.01507098e-07]
  ..., 
  [ -8.58748081e-07   2.32681316e-07]
  [ -7.15891360e-07   2.34274097e-07]
  [ -7.50016454e-07   2.62244527e-07]]

 [[  1.19717686e-06  -3.79919470e-07]
  [  1.72033810e-06  -3.02257035e-07]
  [  2.17347610e-06  -1.88939623e-07]
  ..., 
  [ -9.28362397e-07   4.49037643e-08]
  [ -8.33632271e-07   5.46917249e-08]
  [ -8.81107724e-07   5.56210047e-08]]

 ..., 
 [[ -1.61956921e-01   2.12653782e-02]
  [ -2.21894935e-01   3.87522466e-02]
  [ -3.49062383e-01   7.25740045e-02]
  ..., 
  [  7.90932357e-01   1.80568218e-01]
  [  6.14595652e-01   1.25684291e-01]
  [  4.99040633e-01   9.04770792e-02]]

 [[ -1.39577299e-01   1.79921780e-02]
  [ -1.87083393e-01   3.24670672e-02]
  [ -2.78322279e-01   6.10721894e-02]
  ..., 
  [  5.39744079e-01   1.23811282e-01]
  [  3.82209301e-01   7.70307556e-02]
  [  2.99076766e-01   4.93269451e-02]]

 [[ -8.30857828e-02   1.56507380e-02]
  [ -1.14561491e-01   2.76336148e-02]
  [ -1.75678372e-01   5.08764610e-02]
  ..., 
  [  3.97257566e-01   9.80451778e-02]
  [  2.49636561e-01   5.49158007e-02]
  [  1.76506639e-01   3.13540362e-02]]]",0.12980001983,,,,24.938357296,,0.840669512749,0.0452852762848
5.682e+11,"[[[  5.27294048e-07  -1.82372915e-07]
  [  5.45158571e-07  -2.16023025e-07]
  [  6.05590060e-07  -2.54784851e-07]
  ..., 
  [ -1.70057228e-06   2.68399560e-07]
  [ -1.80781706e-06   3.48094773e-07]
  [ -1.58255739e-06   4.14658302e-07]]

 [[  4.37996761e-07  -2.53117634e-07]
  [  3.81027746e-07  -3.43793118e-07]
  [  3.46135181e-07  -4.44446613e-07]
  ..., 
  [ -1.84667215e-06   2.50928821e-07]
  [ -2.00507816e-06   3.76999878e-07]
  [ -1.74621437e-06   4.78206914e-07]]

 [[  1.25841495e-07  -4.84879081e-07]
  [ -6.61915607e-08  -6.95926531e-07]
  [ -2.03848785e-07  -9.39934921e-07]
  ..., 
  [ -2.20904758e-06   2.74272736e-07]
  [ -2.29611032e-06   4.13331463e-07]
  [ -1.98722455e-06   5.37118694e-07]]

 ..., 
 [[ -1.29776642e-01   5.70703298e-02]
  [ -2.65063614e-01   1.23028405e-01]
  [ -5.09544969e-01   2.49443114e-01]
  ..., 
  [  6.07341826e-01   1.92409903e-01]
  [  4.36588675e-01   1.33153379e-01]
  [  3.01242024e-01   8.73545706e-02]]

 [[ -1.15449905e-01   4.84689362e-02]
  [ -2.17435926e-01   9.19692218e-02]
  [ -4.12377536e-01   1.86811015e-01]
  ..., 
  [  4.16604966e-01   1.44746616e-01]
  [  2.79097497e-01   9.29861516e-02]
  [  1.72830328e-01   5.60112037e-02]]

 [[ -9.62572247e-02   3.48069333e-02]
  [ -1.78261191e-01   6.64945394e-02]
  [ -3.50413948e-01   1.51848361e-01]
  ..., 
  [  3.28847110e-01   1.20027490e-01]
  [  2.23085701e-01   7.81887174e-02]
  [  1.39117658e-01   4.66910228e-02]]]",0.212581923503,,,,24.8501982047,,0.876019239426,0.011703122803
5.683e+11,"[[[  1.59956372e-07  -1.42267984e-08]
  [  3.76960344e-07  -4.03398062e-08]
  [  6.21959373e-07  -1.16587898e-07]
  ..., 
  [ -6.54938049e-07   1.84296255e-07]
  [ -7.29628937e-07   1.87900824e-07]
  [ -9.30954400e-07   2.08844526e-07]]

 [[  4.78610616e-07  -1.34911247e-07]
  [  8.64166452e-07  -1.53712335e-07]
  [  1.20868776e-06  -2.05290320e-07]
  ..., 
  [ -6.94271478e-07   4.70379689e-07]
  [ -8.06323271e-07   5.38112999e-07]
  [ -1.04050184e-06   6.22177595e-07]]

 [[  6.14251178e-07  -1.52275220e-07]
  [  1.16302056e-06  -1.22469558e-07]
  [  1.56192266e-06  -7.87734464e-08]
  ..., 
  [ -6.30482361e-07   6.28701116e-07]
  [ -7.94120808e-07   7.45416628e-07]
  [ -1.07298354e-06   8.68026461e-07]]

 ..., 
 [[ -5.31927645e-01   2.14889750e-01]
  [ -8.23826790e-01   3.38379264e-01]
  [ -1.14124680e+00   4.86645609e-01]
  ..., 
  [  5.34594893e-01   2.44886011e-01]
  [  4.37273264e-01   1.92040652e-01]
  [  2.92424738e-01   1.26256481e-01]]

 [[ -3.58942807e-01   1.53159171e-01]
  [ -6.15985572e-01   2.65886873e-01]
  [ -9.47711766e-01   4.26878691e-01]
  ..., 
  [  4.20420676e-01   1.92090139e-01]
  [  3.45332384e-01   1.48220882e-01]
  [  2.08864436e-01   8.71726200e-02]]

 [[ -2.37154737e-01   1.17591180e-01]
  [ -4.68205810e-01   2.25259706e-01]
  [ -7.91771233e-01   3.86473030e-01]
  ..., 
  [  3.19799811e-01   1.55011356e-01]
  [  2.51059860e-01   1.15083568e-01]
  [  1.36798039e-01   6.17483258e-02]]]",0.153206265436,,,,24.7565618812,,0.904571294785,-0.0358346535341
