,activation,distance,fov_x,velocity
871,0.117898672528,13.07,90,1.0
872,0.153141767409,12.97,90,1.0
873,0.139377247072,12.86,90,1.0
874,0.156764637265,12.76,90,1.0
875,0.148729525266,12.66,90,1.0
876,0.152165306578,12.55,90,1.0
877,0.143764228464,12.45,90,1.0
878,0.135686753253,12.35,90,1.0
879,0.151461242402,12.25,90,1.0
880,0.145787460506,12.14,90,1.0
881,0.136869717386,12.04,90,1.0
882,0.152931448396,11.93,90,1.0
883,0.129489881123,11.83,90,1.0
884,0.156793365885,11.73,90,1.0
885,0.145636228403,11.62,90,1.0
886,0.173825275694,11.52,90,1.0
887,0.152602191274,11.41,90,0.99
888,0.162442635133,11.31,90,0.99
889,0.164156419207,11.21,90,1.0
890,0.138075761749,11.11,90,1.0
891,0.309744974787,10.9,90,1.0
892,0.143960103674,10.8,90,1.0
893,0.170347072232,10.7,90,1.0
894,0.14299185019,10.59,90,1.0
895,0.147501604708,10.49,90,1.0
896,0.137435664174,10.39,90,1.0
897,0.144010448048,10.28,90,1.0
898,0.155996656447,10.18,90,1.0
899,0.122288747851,10.08,90,0.99
900,0.114629931991,9.97,90,1.0
901,0.160688036181,9.87,90,1.0
902,0.133568990159,9.77,90,1.0
903,0.289280720655,9.57,90,1.0
904,0.136567520511,9.46,90,1.0
905,0.14143420132,9.36,90,1.0
906,0.166316170299,9.26,90,1.0
907,0.137586889869,9.15,90,1.0
908,0.113094971166,9.05,90,1.0
909,0.144514028862,8.95,90,1.0
910,0.118309582291,8.84,90,1.0
911,0.140331370382,8.74,90,1.0
912,0.168875652577,8.64,90,1.0
913,0.125703052889,8.53,90,1.0
914,0.135544513503,8.43,90,1.0
915,0.145818949697,8.33,90,1.0
916,0.155123611552,8.23,90,1.0
917,0.128703426548,8.12,90,1.0
918,0.169752802464,8.02,90,1.0
919,0.154437166513,7.92,90,1.0
920,0.145084187982,7.81,90,1.0
921,0.142951605115,7.71,90,1.0
922,0.156192187895,7.61,90,1.0
923,0.145304340091,7.5,90,1.0
924,0.137109929015,7.4,90,1.01
925,0.130229048815,7.3,90,1.0
926,0.145999352467,7.2,90,1.01
927,0.138244830606,7.09,90,1.0
928,0.137547950205,6.99,90,1.0
929,0.145465513724,6.89,90,1.0
930,0.146472247542,6.78,90,1.0
931,0.132720987304,6.68,90,1.0
932,0.130188931675,6.58,90,1.0
933,0.139644443776,6.48,90,1.0
934,0.142571144073,6.37,90,1.0
935,0.11237688058,6.27,90,1.0
936,0.144371944298,6.17,90,1.0
