time,optic_flow_cn45,decision_c45,decision_cn45,activation,activation_c45,optic_flow,activation_cn45,distance,optic_flow_c45,decision,velocity,activation_gradient
0.0,,,,,,,,,,,,
8.648e+11,,0.0,,-0.00144908666569,0.00420873595106,,,25.2765685019,,,-0.0498956888914,
8.649e+11,,0.0,0.0,-0.225210374404,-0.139738965866,"[[[ -7.99318585e-08   2.27673311e-07]
  [  1.72080178e-07   3.65474250e-07]
  [  2.63993087e-07   5.85967086e-07]
  ..., 
  [ -1.83000154e-07  -4.17097368e-07]
  [  2.66320740e-07  -2.24676540e-07]
  [  2.89048074e-07  -1.18404628e-07]]

 [[ -3.35255201e-08  -4.56204745e-08]
  [  8.24170399e-07   2.71445035e-08]
  [  1.27409646e-06   1.93773801e-07]
  ..., 
  [ -4.96207406e-07  -6.96159873e-07]
  [  1.02326084e-07  -4.13303610e-07]
  [  2.10118316e-07  -2.42132103e-07]]

 [[  1.16209911e-07  -1.80737800e-07]
  [  1.27615908e-06  -2.03192286e-07]
  [  2.00170757e-06  -1.52573563e-07]
  ..., 
  [ -4.77790877e-07  -1.24727956e-06]
  [  2.24094165e-07  -7.62631089e-07]
  [  3.65279504e-07  -4.70348112e-07]]

 ..., 
 [[ -1.62074430e-04  -4.50319320e-01]
  [  7.03602098e-04  -8.97556841e-01]
  [  2.93027144e-02  -1.53400850e+00]
  ..., 
  [ -2.32241854e-01  -2.37205982e+00]
  [ -2.50794560e-01  -1.96294200e+00]
  [ -1.90185010e-01  -1.16774535e+00]]

 [[  4.53450857e-03  -4.12019491e-01]
  [  6.63148472e-03  -8.19371343e-01]
  [  3.05376556e-02  -1.30831242e+00]
  ..., 
  [ -2.20078051e-01  -1.90524375e+00]
  [ -2.28292823e-01  -1.59919536e+00]
  [ -1.69585690e-01  -9.57477391e-01]]

 [[  3.95870954e-03  -3.24232668e-01]
  [  8.45591258e-03  -5.93280613e-01]
  [  3.90520692e-02  -8.96578133e-01]
  ..., 
  [ -1.83254480e-01  -1.40156925e+00]
  [ -1.58307821e-01  -1.14728832e+00]
  [ -1.03628173e-01  -5.81916511e-01]]]",0.00420873595106,25.2748459313,,0.0,0.0119515517727,-0.328029719372
8.65e+11,,0.0,0.0,-0.657508525409,2.32083036617,"[[[ -4.08244574e-07   5.19651273e-08]
  [ -6.58868714e-07  -4.26455244e-08]
  [ -1.20559355e-06  -1.33588017e-07]
  ..., 
  [ -1.19441336e-06   2.56398067e-07]
  [ -1.15558282e-06   1.39166971e-07]
  [ -8.19595812e-07   4.96965065e-08]]

 [[ -4.03852738e-07   4.69190304e-08]
  [ -8.82983898e-07  -3.80525513e-08]
  [ -1.65675067e-06  -1.66856168e-07]
  ..., 
  [ -1.66846905e-06   5.20909427e-10]
  [ -1.55502335e-06  -5.88153846e-08]
  [ -9.41475491e-07  -4.07323917e-08]]

 [[ -1.94146295e-07  -4.86615050e-08]
  [ -8.02192176e-07  -1.40857253e-07]
  [ -1.71005831e-06  -3.22684770e-07]
  ..., 
  [ -2.08437336e-06   5.65601539e-08]
  [ -1.80992993e-06  -2.03613055e-08]
  [ -1.07168853e-06   1.92017779e-08]]

 ..., 
 [[ -3.03565115e-01  -2.10728979e+00]
  [ -3.79064679e-01  -2.28924656e+00]
  [ -5.80811262e-01  -2.73400521e+00]
  ..., 
  [ -2.14380693e+00  -8.15668225e-01]
  [ -1.50707507e+00  -6.11616671e-01]
  [ -1.05865157e+00  -3.54855418e-01]]

 [[ -2.77463704e-01  -1.93521619e+00]
  [ -3.36140484e-01  -2.07684469e+00]
  [ -4.68739659e-01  -2.42390990e+00]
  ..., 
  [ -1.71507037e+00  -6.13803327e-01]
  [ -1.10076022e+00  -4.32040721e-01]
  [ -7.89503813e-01  -2.75918871e-01]]

 [[ -2.29612768e-01  -1.43127894e+00]
  [ -2.72917718e-01  -1.55243194e+00]
  [ -3.82851779e-01  -1.82978833e+00]
  ..., 
  [ -1.35871315e+00  -4.53420132e-01]
  [ -8.89053881e-01  -2.95361727e-01]
  [ -6.11921906e-01  -1.81726053e-01]]]",-0.139738965866,25.2668538087,,0.0,0.080708347261,0.00639081805758
8.651e+11,,0.0,0.0,-0.212428738288,0.394253595731,"[[[ -4.72389985e-07   2.29729693e-07]
  [ -8.67867698e-07   2.70883021e-07]
  [ -1.05722893e-06   2.38016653e-07]
  ..., 
  [  5.93653873e-08   3.89512451e-07]
  [  7.19202191e-08   3.00960863e-07]
  [  9.72102754e-08   1.71301238e-07]]

 [[ -5.75254262e-07   1.96979173e-07]
  [ -1.03746743e-06   2.11778399e-07]
  [ -1.27312899e-06   1.72551992e-07]
  ..., 
  [  4.12134881e-07   5.71217413e-07]
  [  4.86467968e-07   4.06640908e-07]
  [  4.54363146e-07   2.23600566e-07]]

 [[ -6.59457953e-07   1.32028333e-07]
  [ -1.15787600e-06   1.34186877e-07]
  [ -1.42977319e-06   7.66589849e-08]
  ..., 
  [  7.75129081e-07   6.74985245e-07]
  [  6.44426450e-07   4.42702628e-07]
  [  5.15836007e-07   2.16567557e-07]]

 ..., 
 [[  2.21725643e-01   7.17947781e-02]
  [  4.48014945e-01   1.36897966e-01]
  [  7.28517294e-01   2.29416519e-01]
  ..., 
  [ -3.73948479e+00  -5.19874692e-02]
  [ -2.84643435e+00  -1.18952943e-02]
  [ -1.43983126e+00   2.21242625e-02]]

 [[  7.55731314e-02   3.83906737e-02]
  [  2.39355147e-01   9.88779068e-02]
  [  4.69615310e-01   1.80041194e-01]
  ..., 
  [ -3.17576909e+00  -8.30916967e-03]
  [ -2.45273256e+00   2.66599581e-02]
  [ -1.25524306e+00   4.38398011e-02]]

 [[  2.37242207e-02   2.16729734e-02]
  [  1.02453224e-01   6.26123846e-02]
  [  2.37349093e-01   1.29099309e-01]
  ..., 
  [ -2.42644811e+00  -1.72267873e-02]
  [ -1.87419796e+00   2.22508833e-02]
  [ -1.00464511e+00   4.47915010e-02]]]",2.32083036617,25.2471716318,,0.0,0.222544804215,0.412340618184
8.652e+11,,0.0,0.0,0.16717271096,1.25839030327,"[[[  4.96985422e-07  -6.42035161e-07]
  [  8.27888925e-07  -8.17789669e-07]
  [  9.73849296e-07  -1.27020905e-06]
  ..., 
  [  2.40776870e-07  -3.11206747e-07]
  [  1.41621513e-07  -2.44457794e-07]
  [  4.17509973e-08  -1.68897188e-07]]

 [[  5.24384006e-07  -5.67089558e-07]
  [  9.86358259e-07  -7.33557044e-07]
  [  1.59085266e-06  -1.14452359e-06]
  ..., 
  [  7.37675236e-07  -8.88767829e-07]
  [  2.74732059e-07  -5.66471101e-07]
  [ -7.58767129e-08  -3.19097893e-07]]

 [[  8.74185275e-07  -6.13370673e-07]
  [  1.74510501e-06  -7.44946419e-07]
  [  2.91846618e-06  -9.74226054e-07]
  ..., 
  [  1.58168689e-06  -1.74584841e-06]
  [  6.27674069e-07  -1.02582101e-06]
  [ -8.72271144e-08  -4.89868455e-07]]

 ..., 
 [[ -4.21442568e-01   1.72183776e+00]
  [ -8.55514944e-01   2.93681741e+00]
  [ -1.16583693e+00   4.25670052e+00]
  ..., 
  [ -4.17800575e-01   5.05412817e-01]
  [ -2.32665628e-01   2.72576869e-01]
  [ -1.09129697e-01   1.45554051e-01]]

 [[ -3.85266960e-01   1.19327176e+00]
  [ -6.82578325e-01   2.10483742e+00]
  [ -8.98642600e-01   3.14195395e+00]
  ..., 
  [ -3.29444289e-01   3.52346361e-01]
  [ -1.72620475e-01   1.92161471e-01]
  [ -7.35482946e-02   9.27701443e-02]]

 [[ -4.20316100e-01   8.50993335e-01]
  [ -6.80114448e-01   1.49661398e+00]
  [ -8.85165155e-01   2.18447900e+00]
  ..., 
  [ -1.97662070e-01   1.97752073e-01]
  [ -1.02176584e-01   1.07582740e-01]
  [ -4.48188893e-02   5.41351549e-02]]]",0.394253595731,25.2070193299,,0.0,0.433339625597,0.314993129696
8.653e+11,,0.0,0.0,0.417557521104,0.338909937732,"[[[  2.12908560e-07   7.50505365e-07]
  [ -2.45298466e-08   1.06086316e-06]
  [ -2.25389527e-07   1.44022272e-06]
  ..., 
  [ -1.47724631e-06  -4.15998500e-07]
  [ -1.30353146e-06  -3.75894274e-07]
  [ -9.63728553e-07  -3.01690733e-07]]

 [[  3.28156631e-07   5.39356108e-07]
  [ -9.62830740e-08   7.29019916e-07]
  [ -5.43501471e-07   1.00722593e-06]
  ..., 
  [ -2.14398733e-06  -5.89336651e-07]
  [ -1.49911273e-06  -6.02559282e-07]
  [ -9.26337805e-07  -5.38674669e-07]]

 [[  4.09118428e-07   5.15077488e-07]
  [ -2.70931064e-08   6.50806840e-07]
  [ -4.98373026e-07   8.83524478e-07]
  ..., 
  [ -3.38223731e-06  -6.54582493e-07]
  [ -2.12352302e-06  -7.15078727e-07]
  [ -1.03236903e-06  -6.62901357e-07]]

 ..., 
 [[  8.65776092e-02   9.86858547e-01]
  [  9.45634395e-02   1.50457525e+00]
  [  1.43159375e-01   2.06406593e+00]
  ..., 
  [  2.08989561e-01   1.59817517e+00]
  [  1.34939119e-01   8.23758781e-01]
  [  7.77807161e-02   3.78598362e-01]]

 [[  9.18751508e-02   8.85915756e-01]
  [  1.07536457e-01   1.33585060e+00]
  [  1.66441247e-01   1.78267610e+00]
  ..., 
  [  1.70400187e-01   1.18417311e+00]
  [  9.85334665e-02   5.35983622e-01]
  [  5.43556586e-02   2.50822693e-01]]

 [[  1.02909990e-01   7.72012293e-01]
  [  1.20306246e-01   1.08649623e+00]
  [  1.73457175e-01   1.42510021e+00]
  ..., 
  [  8.70482177e-02   5.83192706e-01]
  [  5.56085706e-02   2.82197356e-01]
  [  3.35466452e-02   1.52203262e-01]]]",1.25839030327,25.1605995021,,0.0,0.576513707638,-0.0608888859289
8.654e+11,,0.0,0.0,0.0453949391019,0.33140814468,"[[[ -8.13804135e-08   6.86891966e-08]
  [ -5.45157341e-08   7.28017255e-08]
  [ -2.24264923e-07   6.33272634e-08]
  ..., 
  [  2.54809015e-06   1.12583464e-07]
  [  2.02191268e-06   1.19394656e-07]
  [  1.45832325e-06   1.15063735e-07]]

 [[ -2.92123389e-07   7.51729843e-08]
  [ -3.21724173e-07   9.07673865e-08]
  [ -5.72699719e-07   8.50014885e-08]
  ..., 
  [  3.55088355e-06   3.35236479e-07]
  [  2.74008653e-06   3.42323148e-07]
  [  2.06055688e-06   3.34560326e-07]]

 [[ -5.78553397e-07   9.22959629e-08]
  [ -7.99659233e-07   1.43144803e-07]
  [ -1.24689529e-06   1.39196828e-07]
  ..., 
  [  4.19975277e-06   4.12355718e-07]
  [  3.16245792e-06   4.07713372e-07]
  [  2.29632133e-06   3.84114344e-07]]

 ..., 
 [[ -1.17744900e-01   2.13178679e-01]
  [ -1.89485297e-01   2.95738339e-01]
  [ -2.54044324e-01   3.65474850e-01]
  ..., 
  [  1.37049854e-01   2.23259836e-01]
  [  9.77177992e-02   1.73481539e-01]
  [  3.47077884e-02   1.08188733e-01]]

 [[ -4.78363857e-02   1.12426929e-01]
  [ -8.08488131e-02   1.60805881e-01]
  [ -1.25138476e-01   2.08715603e-01]
  ..., 
  [  6.38610572e-02   2.00684831e-01]
  [  5.59085421e-02   1.48788035e-01]
  [  1.89058017e-02   9.25098956e-02]]

 [[ -2.58262064e-02   4.89598513e-02]
  [ -4.04992737e-02   7.14045465e-02]
  [ -6.25909865e-02   9.43695828e-02]
  ..., 
  [  1.54907480e-02   1.89688772e-01]
  [  3.82285342e-02   1.40642211e-01]
  [  1.48109747e-02   9.15829390e-02]]]",0.338909937732,25.0927189798,,0.0,0.697048068047,
8.655e+11,,,0.0,,,,0.33140814468,25.0146625136,,,0.777371823788,-0.103090892062
8.656e+11,,0.0,,-0.160786845023,-0.419485994857,"[[[  6.53130826e-07  -2.06330824e-07]
  [  1.16574131e-06  -3.19281099e-07]
  [  1.42274735e-06  -3.87872660e-07]
  ..., 
  [ -5.34596893e-07  -3.68105795e-08]
  [ -2.77348306e-07   2.63158229e-09]
  [ -7.73333824e-08   2.49483652e-08]]

 [[  1.19534320e-06  -4.36567859e-07]
  [  1.95028747e-06  -8.00454302e-07]
  [  2.37133054e-06  -1.10772589e-06]
  ..., 
  [ -3.90447440e-07  -4.60442031e-08]
  [ -2.07022495e-07   1.11670655e-08]
  [ -6.69648372e-08   3.86237033e-08]]

 [[  1.08616462e-06  -5.02226897e-07]
  [  1.75480386e-06  -9.57464181e-07]
  [  2.07230983e-06  -1.36097549e-06]
  ..., 
  [ -5.90035938e-07  -3.35587629e-07]
  [ -3.39403101e-07  -1.85125600e-07]
  [ -1.39452396e-07  -5.58615483e-08]]

 ..., 
 [[ -8.71620253e-02  -6.85125947e-01]
  [ -1.24260060e-01  -9.24190700e-01]
  [ -1.85910806e-01  -1.17297864e+00]
  ..., 
  [ -1.01074390e-01  -1.14287233e+00]
  [ -1.29606992e-01  -9.18545187e-01]
  [ -5.61579987e-02  -5.35136640e-01]]

 [[ -3.90268639e-02  -2.78477669e-01]
  [ -6.44696057e-02  -4.21089828e-01]
  [ -1.12767287e-01  -6.00528836e-01]
  ..., 
  [ -9.45974886e-03  -1.06114984e+00]
  [ -5.33315688e-02  -8.21574628e-01]
  [ -2.54287012e-02  -4.71984923e-01]]

 [[ -1.05677377e-02  -7.86660165e-02]
  [ -2.23537870e-02  -1.37260407e-01]
  [ -5.16839437e-02  -2.23207578e-01]
  ..., 
  [  5.21247685e-02  -1.00095916e+00]
  [ -2.44708583e-02  -7.53823459e-01]
  [ -2.41958071e-02  -4.45674121e-01]]]",,24.9297267442,,0.0,0.827054619789,
