time,distance,velocity
369652000000,29.9808517243,0.0368794463575
369684000000,29.9809272964,0.0402074605227
369716000000,29.9832932751,0.180609300733
369752000000,29.9885620634,0.239927947521
369784000000,29.9937156937,0.265224158764
369816000000,29.989972637,0.343726813793
369852000000,29.9827210288,0.369082093239
369884000000,29.9692233653,0.433707565069
369912000000,29.9548350554,0.568078935146
369952000000,29.9381844832,0.722892820835
369984000000,29.9059356897,0.964560985565
370016000000,29.8733528673,1.13300168514
370052000000,29.8417524553,1.24983358383
370084000000,29.7914044772,1.39819717407
370116000000,29.7465201431,1.51931381226
370152000000,29.7041993307,1.62284743786
370184000000,29.6384142884,1.76598751545
370216000000,29.5816059301,1.86813724041
370252000000,29.5301487805,1.94177043438
370284000000,29.4545734974,2.02620410919
370316000000,29.3914646625,2.07997322083
370352000000,29.3350218885,2.12240123749
370384000000,29.251885652,2.17748832703
370416000000,29.1835273137,2.21702742577
370452000000,29.1228026531,2.24895405769
370484000000,29.0367394812,2.28501725197
370516000000,28.9663375232,2.31040334702
370552000000,28.9042016198,2.33150243759
370584000000,28.8138048065,2.35873794556
370616000000,28.7403059189,2.37928080559
370652000000,28.6755084419,2.40016841888
370684000000,28.583294213,2.42223978043
370716000000,28.5088362399,2.43702197075
370752000000,28.4434256196,2.45064973831
370784000000,28.3486584974,2.46873378754
370816000000,28.2718859161,2.48412418365
370852000000,28.2043939479,2.49836444855
370884000000,28.1080601906,2.51505017281
370916000000,28.030374309,2.52757763863
370952000000,27.9621805153,2.54071116447
370984000000,27.8634627779,2.56077122688
371016000000,27.783591128,2.57305645943
371052000000,27.7134840623,2.5839214325
371084000000,27.6123124317,2.5996029377
371116000000,27.5306441012,2.61083650589
371152000000,27.45896726,2.6209924221
371184000000,27.3556423407,2.63777422905
371216000000,27.2722626874,2.65152740479
371284000000,27.0972625211,2.67228674889
371316000000,27.0140642512,2.68284440041
371352000000,26.941113044,2.69051671028
371380000000,26.8359986417,2.70218968391
371412000000,26.7512189849,2.71301984787
371452000000,26.6773829515,2.72149658203
371484000000,26.572408368,2.73044300079
371512000000,26.4876955888,2.73764562607
371552000000,26.4135016528,2.74402761459
371584000000,26.3066099638,2.75440979004
371616000000,26.2204246915,2.7627363205
371652000000,26.1452057497,2.77108335495
371684000000,26.0377555903,2.78037285805
371716000000,25.9511309679,2.78677129745
371752000000,25.8752416111,2.79414749146
371784000000,25.7659938185,2.80442857742
371816000000,25.6779488085,2.81221318245
371852000000,25.6007892214,2.81896734238
371884000000,25.4909570873,2.82813477516
371916000000,25.4024350237,2.83509087563
371952000000,25.3249142646,2.84020137787
371984000000,25.2134418154,2.84938263893
372016000000,25.1236874762,2.85846114159
372052000000,25.045003868,2.86421561241
372084000000,24.9328416576,2.87107086182
372116000000,24.842811325,2.87656855583
372152000000,24.7639608577,2.88005542755
372184000000,24.6506649361,2.88869309425
372216000000,24.5595041486,2.89551472664
372252000000,24.4796134375,2.90043592453
372284000000,24.3649437504,2.90729784966
372316000000,24.2727661722,2.91329503059
372352000000,24.1919653988,2.91901803017
372384000000,24.0760571958,2.92371964455
372416000000,23.983007289,2.92928361893
372452000000,23.9023742203,2.93347191811
372484000000,23.786645463,2.93656015396
372516000000,23.6937351321,2.94111704826
372548000000,23.6122934191,2.94623279572
372584000000,23.4954386655,2.95280098915
372616000000,23.4016224113,2.95609974861
372652000000,23.3198595215,2.96053886414
372684000000,23.2028824041,2.96471786499
372716000000,23.1089536504,2.96913647652
372752000000,23.0266653212,2.97205853462
372784000000,22.9087132377,2.9768538475
372816000000,22.8140206972,2.9817905426
372852000000,22.7314269681,2.98292160034
372884000000,22.6139732382,2.98700857162
372916000000,22.5196212814,2.99050188065
372952000000,22.4369883753,2.99401402473
372984000000,22.318479367,2.99947428703
373016000000,22.2233225597,3.00269651413
373052000000,22.1399757141,3.00580120087
373084000000,22.0215302616,3.0088789463
373116000000,21.9264217152,3.01225447655
373152000000,21.8431415452,3.01547336578
373184000000,21.7236962514,3.020860672
373216000000,21.6278056969,3.02455806732
373252000000,21.5076615496,3.0302233696
373284000000,21.4242157503,3.03246545792
373316000000,21.3283932372,3.0358877182
373352000000,21.2445018661,3.03834080696
373384000000,21.1242256394,3.042501688
373416000000,21.0276736188,3.04618620872
373448000000,20.9430997792,3.05046200752
373484000000,20.8226191047,3.0526304245
373516000000,20.7261478695,3.0525970459
373552000000,20.641761288,3.05276727676
373584000000,20.5208487569,3.05567669868
373616000000,20.4238420973,3.05836415291
373652000000,20.3389233585,3.06011915207
373684000000,20.2173133702,3.06210899353
373716000000,20.1198002316,3.06503844261
373752000000,20.0344161507,3.06596255302
373784000000,19.9122093448,3.0685634613
373816000000,19.8142553539,3.07140231133
373852000000,19.729388805,3.07029533386
373884000000,19.6084285824,3.07061362267
373916000000,19.5113609113,3.07245874405
373952000000,19.4263927721,3.07392072678
373984000000,19.3046692971,3.07514166832
374016000000,19.2070852006,3.07575201988
374052000000,19.1220936086,3.07509160042
374084000000,19.0013635229,3.07377362251
374116000000,18.9045043605,3.07387733459
374152000000,18.8197810798,3.0752260685
374184000000,18.6983334143,3.07673788071
374216000000,18.6008783584,3.07915973663
374252000000,18.515811093,3.0806415081
374284000000,18.3945235665,3.08158397675
374316000000,18.297188593,3.08240246773
374352000000,18.2120484728,3.08348560333
374384000000,18.0900634978,3.08515763283
374416000000,17.9922072554,3.08837842941
374484000000,17.7846497771,3.0922806263
374512000000,17.6868720817,3.09397220612
374552000000,17.6013038059,3.09646558762
374584000000,17.4787344327,3.09733843803
374616000000,17.380417228,3.09942436218
374652000000,17.2943676622,3.10018515587
374684000000,17.1720041547,3.10068392754
374716000000,17.0740548634,3.10303902626
374752000000,16.988337863,3.1033270359
374784000000,16.8656022456,3.10359215736
374812000000,16.7672313778,3.10329198837
374852000000,16.6811210659,3.10508012772
374884000000,16.5578249787,3.10610032082
374916000000,16.4590198995,3.10669994354
374952000000,16.372528208,3.10885357857
374984000000,16.2487380972,3.10956859589
375016000000,16.1495904782,3.10910558701
375052000000,16.0637939239,3.10804700851
375084000000,15.9409290067,3.10937047005
375116000000,15.8423739978,3.11045527458
375152000000,15.7561268608,3.11237478256
375184000000,15.6327017839,3.11048841476
375216000000,15.5337971048,3.11143302917
375252000000,15.4478715816,3.11206364632
375284000000,15.3252643713,3.11056375504
375316000000,15.226949354,3.11037945747
375348000000,15.1409795663,3.11007404327
375384000000,15.0178548933,3.11276865005
375416000000,14.9191889493,3.10948586464
375452000000,14.8332335336,3.10896348953
375484000000,14.7109922383,3.10876560211
375516000000,14.6129456092,3.1069662571
375552000000,14.5272092788,3.10867333412
375584000000,14.4043563846,3.10961127281
375616000000,14.3058383216,3.11081314087
375652000000,14.2196452629,3.10972428322
375684000000,14.0970898054,3.10912203789
375752000000,13.9128108045,3.11011385918
375784000000,13.789788997,3.10844039917
375816000000,13.6911544962,3.10950469971
375852000000,13.6048497684,3.1098382473
375884000000,13.482065644,3.10895347595
375916000000,13.3837998862,3.10988926888
375952000000,13.2608708014,3.10908436775
375984000000,13.1747813245,3.11107325554
376016000000,13.0761209807,3.11038708687
376052000000,12.9898038804,3.11098003387
376084000000,12.8666170178,3.1108789444
376116000000,12.7679625515,3.1104888916
376152000000,12.6816725892,3.11120462418
376184000000,12.5581669645,3.11119890213
376216000000,12.4592368666,3.11038804054
376252000000,12.3726961473,3.11000919342
376284000000,12.2488799303,3.11170005798
376316000000,12.1497141484,3.11142158508
376352000000,12.0629336656,3.11308526993
376384000000,11.9388440064,3.11126232147
376416000000,11.8394974353,3.11163473129
376452000000,11.7527900485,3.10945343971
376484000000,11.628996325,3.108304739
376516000000,11.5298792755,3.10930585861
376552000000,11.4431130722,3.11010599136
376584000000,11.3190564036,3.11068725586
376616000000,11.2197554682,3.11015033722
376652000000,11.1329541975,3.11007666588
376684000000,11.0091986839,3.10872793198
376716000000,10.9101279398,3.10812854767
376752000000,10.8234427745,3.10835814476
376784000000,10.6995148335,3.1067647934
376816000000,10.6003289732,3.10709834099
376852000000,10.5136084215,3.10667920113
376884000000,10.3898781589,3.10601687431
376916000000,10.2908414062,3.10456609726
376948000000,10.2042112769,3.10431075096
376984000000,10.0804586852,3.10132694244
377016000000,9.98139652217,3.10168886185
377052000000,9.89471960592,3.10103058815
377080000000,9.77105550853,3.09938120842
377116000000,9.67212478594,3.0982606411
377152000000,9.54845958097,3.09760260582
377184000000,9.46188716106,3.09882616997
377216000000,9.36291409803,3.09655380249
377252000000,9.27630516044,3.09704947472
377284000000,9.15242653803,3.09784626961
377316000000,9.05328527468,3.09686970711
377352000000,8.96655992228,3.09635877609
377384000000,8.84266085355,3.096804142
377416000000,8.7435453068,3.09497666359
377452000000,8.65683043107,3.09419441223
377484000000,8.5329501884,3.09411478043
377516000000,8.43385603918,3.09326171875
377552000000,8.34713542322,3.09418678284
377584000000,8.22326738243,3.09264421463
377616000000,8.12414491619,3.09394645691
377652000000,8.03734631851,3.09328842163
377684000000,7.91338810671,3.09249949455
377716000000,7.81426078771,3.09093356133
377752000000,7.72751845413,3.09101605415
377784000000,7.60360200626,3.0912873745
377816000000,7.5045115516,3.09061074257
377852000000,7.41769678565,3.09085988998
377884000000,7.29365280296,3.0918443203
377916000000,7.19442560146,3.09195590019
377952000000,7.10760035096,3.09123063087
377984000000,6.983582042,3.09151530266
378012000000,6.88439702439,3.09173035622
378052000000,6.79757437073,3.08966422081
378084000000,6.67354542488,3.08797383308
378116000000,6.57438134461,3.08810520172
378152000000,6.48758676903,3.08823251724
378184000000,6.36360630594,3.08969449997
378216000000,6.26443239289,3.08955359459
378252000000,6.17764161358,3.08860635757
378284000000,6.05343869322,3.08753156662
378316000000,5.95418367762,3.08626484871
378352000000,5.86732767773,3.08533763885
378384000000,5.74339075361,3.08398962021
378416000000,5.6443108153,3.08410453796
378452000000,5.55760494475,3.08306717873
378484000000,5.43400094738,3.08229923248
378516000000,5.33519237581,3.08193087578
378552000000,5.2487439513,3.08096218109
378584000000,5.12530187403,3.08041191101
378616000000,5.02655084534,3.08086752892
378652000000,4.94013045027,3.08002948761
378684000000,4.81659373522,3.07923579216
378716000000,4.71779846548,3.07832551003
378752000000,4.63135236563,3.07869243622
378784000000,4.50791562253,3.07828474045
378816000000,4.40922433186,3.0763657093
378852000000,4.32287111464,3.07615828514
378884000000,4.19949801958,3.07778501511
378916000000,4.10082459884,3.07644534111
378952000000,4.01451265923,3.07488822937
379012000000,3.79275216627,3.072742939
379052000000,3.70635373649,3.07097148895
379084000000,3.58292397228,3.0692346096
379116000000,3.48428437222,3.06973099709
379152000000,3.39793622713,3.0692460537
379184000000,3.27469684989,3.06887674332
379216000000,3.17616309754,3.06755232811
379252000000,3.08991098214,3.06728363037
379284000000,2.9667355075,3.06504178047
379316000000,2.86828436745,3.06413125992
379352000000,2.7821358531,3.06312322617
379384000000,2.65918415939,3.06205177307
379416000000,2.56087455456,3.06299424171
379452000000,2.4747223383,3.06246852875
379484000000,2.35146892031,3.06205010414
379516000000,2.25297594833,3.06150746346
379552000000,2.16679102284,3.0603017807
379584000000,2.04380160935,3.05946421623
379612000000,1.9454965608,3.05971264839
379652000000,1.85944761739,3.06019020081
379684000000,1.73597270468,3.05947995186
379716000000,1.63735050346,3.05905508995
379784000000,1.42785531719,3.05893850327
379816000000,1.32938025109,3.0597217083
379852000000,1.2431859587,3.05943775177
379884000000,1.11975308237,3.05856919289
379916000000,1.02104944889,3.05807876587
379952000000,0.934646368042,3.05873656273
379984000000,0.811360724513,3.05898141861
380016000000,0.712855613551,3.05867218971
380052000000,0.62664391475,3.05812811852
380084000000,0.503632019161,3.05651021004
