,activation_0,dist,id,vel
45,"[  75.15747833  262.91888428  480.32171631  400.36593628  240.43934631
  107.77082825   43.65621185   85.84301758   28.88935471  266.94793701]",15.9491624832,0,2.0
46,"[ 262.91888428  480.32171631  400.36593628  240.43934631  107.77082825
   43.65621185   85.84301758   28.88935471  266.94793701  245.17315674]",15.7409257889,0,2.0
47,"[ 480.32171631  400.36593628  240.43934631  107.77082825   43.65621185
   85.84301758   28.88935471  266.94793701  245.17315674  102.05005646]",15.5338945389,0,2.0
48,"[ 400.36593628  240.43934631  107.77082825   43.65621185   85.84301758
   28.88935471  266.94793701  245.17315674  102.05005646  255.65795898]",15.3252868652,0,2.0
49,"[ 240.43934631  107.77082825   43.65621185   85.84301758   28.88935471
  266.94793701  245.17315674  102.05005646  255.65795898  883.49798584]",15.1176939011,0,2.0
50,"[ 107.77082825   43.65621185   85.84301758   28.88935471  266.94793701
  245.17315674  102.05005646  255.65795898  883.49798584  135.47515869]",14.9088497162,0,2.0
51,"[  43.65621185   85.84301758   28.88935471  266.94793701  245.17315674
  102.05005646  255.65795898  883.49798584  135.47515869    4.3127017 ]",14.7013635635,0,2.0
52,"[  85.84301758   28.88935471  266.94793701  245.17315674  102.05005646
  255.65795898  883.49798584  135.47515869    4.3127017   390.63619995]",14.4951524734,0,2.0
53,"[  28.88935471  266.94793701  245.17315674  102.05005646  255.65795898
  883.49798584  135.47515869    4.3127017   390.63619995   13.68738079]",14.2891578674,0,2.0
54,"[ 266.94793701  245.17315674  102.05005646  255.65795898  883.49798584
  135.47515869    4.3127017   390.63619995   13.68738079  717.43341064]",14.0814151764,0,2.0
55,"[ 245.17315674  102.05005646  255.65795898  883.49798584  135.47515869
    4.3127017   390.63619995   13.68738079  717.43341064   12.2516489 ]",13.8745651245,0,2.0
56,"[ 102.05005646  255.65795898  883.49798584  135.47515869    4.3127017
  390.63619995   13.68738079  717.43341064   12.2516489   265.68328857]",13.6658496857,0,2.0
57,"[ 255.65795898  883.49798584  135.47515869    4.3127017   390.63619995
   13.68738079  717.43341064   12.2516489   265.68328857   50.2953949 ]",13.4584312439,0,2.0
58,"[ 883.49798584  135.47515869    4.3127017   390.63619995   13.68738079
  717.43341064   12.2516489   265.68328857   50.2953949   180.19332886]",13.2496423721,0,2.0
59,"[ 135.47515869    4.3127017   390.63619995   13.68738079  717.43341064
   12.2516489   265.68328857   50.2953949   180.19332886  262.55828857]",13.0424489975,0,2.0
60,"[   4.3127017   390.63619995   13.68738079  717.43341064   12.2516489
  265.68328857   50.2953949   180.19332886  262.55828857  331.05834961]",12.8332796097,0,2.0
61,"[ 390.63619995   13.68738079  717.43341064   12.2516489   265.68328857
   50.2953949   180.19332886  262.55828857  331.05834961  421.24249268]",12.626121521,0,2.0
62,"[  13.68738079  717.43341064   12.2516489   265.68328857   50.2953949
  180.19332886  262.55828857  331.05834961  421.24249268   22.94441986]",12.4174337387,0,2.0
63,"[ 717.43341064   12.2516489   265.68328857   50.2953949   180.19332886
  262.55828857  331.05834961  421.24249268   22.94441986  261.91784668]",12.2102746964,0,2.0
64,"[  12.2516489   265.68328857   50.2953949   180.19332886  262.55828857
  331.05834961  421.24249268   22.94441986  261.91784668  613.73614502]",12.0010728836,0,2.0
65,"[ 265.68328857   50.2953949   180.19332886  262.55828857  331.05834961
  421.24249268   22.94441986  261.91784668  613.73614502  104.29238129]",11.7930326462,0,2.0
66,"[  50.2953949   180.19332886  262.55828857  331.05834961  421.24249268
   22.94441986  261.91784668  613.73614502  104.29238129   88.17002106]",11.38048172,0,2.0
67,"[ 180.19332886  262.55828857  331.05834961  421.24249268   22.94441986
  261.91784668  613.73614502  104.29238129   88.17002106  408.67297363]",11.1714525223,0,2.0
68,"[ 262.55828857  331.05834961  421.24249268   22.94441986  261.91784668
  613.73614502  104.29238129   88.17002106  408.67297363  526.08898926]",10.9637317657,0,2.0
69,"[ 331.05834961  421.24249268   22.94441986  261.91784668  613.73614502
  104.29238129   88.17002106  408.67297363  526.08898926  658.58996582]",10.7533121109,0,2.0
70,"[ 421.24249268   22.94441986  261.91784668  613.73614502  104.29238129
   88.17002106  408.67297363  526.08898926  658.58996582  150.84477234]",10.5451498032,0,2.0
71,"[  22.94441986  261.91784668  613.73614502  104.29238129   88.17002106
  408.67297363  526.08898926  658.58996582  150.84477234  553.36895752]",10.3341426849,0,2.0
72,"[ 261.91784668  613.73614502  104.29238129   88.17002106  408.67297363
  526.08898926  658.58996582  150.84477234  553.36895752  426.38619995]",10.1258468628,0,2.0
73,"[ 613.73614502  104.29238129   88.17002106  408.67297363  526.08898926
  658.58996582  150.84477234  553.36895752  426.38619995  768.2444458 ]",9.91568088531,0,2.0
74,"[ 104.29238129   88.17002106  408.67297363  526.08898926  658.58996582
  150.84477234  553.36895752  426.38619995  768.2444458   348.73770142]",9.707654953,0,2.0
75,"[  88.17002106  408.67297363  526.08898926  658.58996582  150.84477234
  553.36895752  426.38619995  768.2444458   348.73770142  231.65603638]",9.49690914154,0,2.0
76,"[ 408.67297363  526.08898926  658.58996582  150.84477234  553.36895752
  426.38619995  768.2444458   348.73770142  231.65603638  681.23522949]",9.28832817078,0,2.0
77,"[ 526.08898926  658.58996582  150.84477234  553.36895752  426.38619995
  768.2444458   348.73770142  231.65603638  681.23522949  558.3114624 ]",9.08190059662,0,2.0
78,"[ 658.58996582  150.84477234  553.36895752  426.38619995  768.2444458
  348.73770142  231.65603638  681.23522949  558.3114624   338.9425354 ]",8.87574863434,0,2.0
79,"[ 150.84477234  553.36895752  426.38619995  768.2444458   348.73770142
  231.65603638  681.23522949  558.3114624   338.9425354   453.87017822]",8.66648292542,0,2.0
80,"[  553.36895752   426.38619995   768.2444458    348.73770142   231.65603638
   681.23522949   558.3114624    338.9425354    453.87017822  1117.0098877 ]",8.45877361298,0,2.0
81,"[  426.38619995   768.2444458    348.73770142   231.65603638   681.23522949
   558.3114624    338.9425354    453.87017822  1117.0098877    528.65667725]",8.24728679657,0,2.0
82,"[  768.2444458    348.73770142   231.65603638   681.23522949   558.3114624
   338.9425354    453.87017822  1117.0098877    528.65667725   937.49603271]",8.0376958847,0,2.0
83,"[  348.73770142   231.65603638   681.23522949   558.3114624    338.9425354
   453.87017822  1117.0098877    528.65667725   937.49603271  1386.82897949]",7.82520914078,0,2.0
84,"[  231.65603638   681.23522949   558.3114624    338.9425354    453.87017822
  1117.0098877    528.65667725   937.49603271  1386.82897949   922.4085083 ]",7.61535453796,0,2.0
85,"[  681.23522949   558.3114624    338.9425354    453.87017822  1117.0098877
   528.65667725   937.49603271  1386.82897949   922.4085083    875.27764893]",7.40218925476,0,2.0
86,"[  558.3114624    338.9425354    453.87017822  1117.0098877    528.65667725
   937.49603271  1386.82897949   922.4085083    875.27764893   832.67962646]",7.19219207764,0,2.0
87,"[  338.9425354    453.87017822  1117.0098877    528.65667725   937.49603271
  1386.82897949   922.4085083    875.27764893   832.67962646   929.7598877 ]",6.98062610626,0,2.0
88,"[  453.87017822  1117.0098877    528.65667725   937.49603271  1386.82897949
   922.4085083    875.27764893   832.67962646   929.7598877   1162.22351074]",6.77139949799,0,2.0
89,"[ 1117.0098877    528.65667725   937.49603271  1386.82897949   922.4085083
   875.27764893   832.67962646   929.7598877   1162.22351074  2205.1184082 ]",6.35202550888,0,2.0
90,"[  528.65667725   937.49603271  1386.82897949   922.4085083    875.27764893
   832.67962646   929.7598877   1162.22351074  2205.1184082   1027.15576172]",6.14533281326,0,2.0
91,"[  937.49603271  1386.82897949   922.4085083    875.27764893   832.67962646
   929.7598877   1162.22351074  2205.1184082   1027.15576172  1164.14929199]",5.93932151794,0,2.0
92,"[ 1386.82897949   922.4085083    875.27764893   832.67962646   929.7598877
  1162.22351074  2205.1184082   1027.15576172  1164.14929199  1161.50415039]",5.70622253418,0,2.0
93,"[  922.4085083    875.27764893   832.67962646   929.7598877   1162.22351074
  2205.1184082   1027.15576172  1164.14929199  1161.50415039  1596.28686523]",5.52424383163,0,2.0
94,"[  875.27764893   832.67962646   929.7598877   1162.22351074  2205.1184082
  1027.15576172  1164.14929199  1161.50415039  1596.28686523  1194.15722656]",5.31508922577,0,2.0
95,"[  832.67962646   929.7598877   1162.22351074  2205.1184082   1027.15576172
  1164.14929199  1161.50415039  1596.28686523  1194.15722656  1788.05273438]",5.10840988159,0,2.0
96,"[  929.7598877   1162.22351074  2205.1184082   1027.15576172  1164.14929199
  1161.50415039  1596.28686523  1194.15722656  1788.05273438  1525.29406738]",4.8987402916,0,2.0
97,"[ 1162.22351074  2205.1184082   1027.15576172  1164.14929199  1161.50415039
  1596.28686523  1194.15722656  1788.05273438  1525.29406738  1655.48022461]",4.69162940979,0,2.0
98,"[ 2205.1184082   1027.15576172  1164.14929199  1161.50415039  1596.28686523
  1194.15722656  1788.05273438  1525.29406738  1655.48022461  1572.12756348]",4.48241233826,0,2.0
99,"[ 1027.15576172  1164.14929199  1161.50415039  1596.28686523  1194.15722656
  1788.05273438  1525.29406738  1655.48022461  1572.12756348  2165.4128418 ]",4.27515411377,0,2.0
100,"[ 1164.14929199  1161.50415039  1596.28686523  1194.15722656  1788.05273438
  1525.29406738  1655.48022461  1572.12756348  2165.4128418   1859.63720703]",4.06543874741,0,2.0
101,"[ 1161.50415039  1596.28686523  1194.15722656  1788.05273438  1525.29406738
  1655.48022461  1572.12756348  2165.4128418   1859.63720703  2096.57788086]",3.8578209877,0,2.0
102,"[ 1596.28686523  1194.15722656  1788.05273438  1525.29406738  1655.48022461
  1572.12756348  2165.4128418   1859.63720703  2096.57788086  2100.8034668 ]",3.65237855911,0,2.0
103,"[ 1194.15722656  1788.05273438  1525.29406738  1655.48022461  1572.12756348
  2165.4128418   1859.63720703  2096.57788086  2100.8034668   2242.15283203]",3.44738292694,0,2.0
104,"[ 1788.05273438  1525.29406738  1655.48022461  1572.12756348  2165.4128418
  1859.63720703  2096.57788086  2100.8034668   2242.15283203  2746.73388672]",3.23951363564,0,2.0
105,"[ 1525.29406738  1655.48022461  1572.12756348  2165.4128418   1859.63720703
  2096.57788086  2100.8034668   2242.15283203  2746.73388672  2596.83251953]",3.03334999084,0,2.0
106,"[ 1655.48022461  1572.12756348  2165.4128418   1859.63720703  2096.57788086
  2100.8034668   2242.15283203  2746.73388672  2596.83251953  2690.14526367]",2.82485580444,0,2.0
107,"[ 1572.12756348  2165.4128418   1859.63720703  2096.57788086  2100.8034668
  2242.15283203  2746.73388672  2596.83251953  2690.14526367  2852.5871582 ]",2.61822605133,0,2.0
108,"[ 2165.4128418   1859.63720703  2096.57788086  2100.8034668   2242.15283203
  2746.73388672  2596.83251953  2690.14526367  2852.5871582   2874.31835938]",2.40931487083,0,2.0
109,"[ 1859.63720703  2096.57788086  2100.8034668   2242.15283203  2746.73388672
  2596.83251953  2690.14526367  2852.5871582   2874.31835938  2916.73852539]",2.20300769806,0,2.0
110,"[ 2096.57788086  2100.8034668   2242.15283203  2746.73388672  2596.83251953
  2690.14526367  2852.5871582   2874.31835938  2916.73852539  3802.29321289]",1.99405121803,0,2.0
