,activation_0,activation_1,activation_2,dist,id,vel
17,"[ 4798.37451172  5406.9375      5406.9375      5406.9375      5819.83007812
  5819.83007812  5770.75878906  5770.75878906  5770.75878906  5289.86474609]","[ 55.97758102  42.20346069  42.20346069  42.20346069   3.53855848
   3.53855848   3.0788784    3.0788784    3.0788784   39.70976257]","[ 2574.94506836  2097.76660156  2097.76660156  2097.76660156  2197.6394043
  2197.6394043   2165.57592773  2165.57592773  2165.57592773  2311.79711914]",16.545129776,1,2.0
18,"[ 5406.9375      5406.9375      5406.9375      5819.83007812  5819.83007812
  5770.75878906  5770.75878906  5770.75878906  5289.86474609  5289.86474609]","[ 42.20346069  42.20346069  42.20346069   3.53855848   3.53855848
   3.0788784    3.0788784    3.0788784   39.70976257  39.70976257]","[ 2097.76660156  2097.76660156  2097.76660156  2197.6394043   2197.6394043
  2165.57592773  2165.57592773  2165.57592773  2311.79711914  2311.79711914]",16.4863777161,1,2.0
19,"[ 5406.9375      5406.9375      5819.83007812  5819.83007812  5770.75878906
  5770.75878906  5770.75878906  5289.86474609  5289.86474609  5289.86474609]","[ 42.20346069  42.20346069   3.53855848   3.53855848   3.0788784
   3.0788784    3.0788784   39.70976257  39.70976257  39.70976257]","[ 2097.76660156  2097.76660156  2197.6394043   2197.6394043   2165.57592773
  2165.57592773  2165.57592773  2311.79711914  2311.79711914  2311.79711914]",16.4027347565,1,2.0
20,"[ 5406.9375      5819.83007812  5819.83007812  5770.75878906  5770.75878906
  5770.75878906  5289.86474609  5289.86474609  5289.86474609  5987.54003906]","[ 42.20346069   3.53855848   3.53855848   3.0788784    3.0788784
   3.0788784   39.70976257  39.70976257  39.70976257  62.26676178]","[ 2097.76660156  2197.6394043   2197.6394043   2165.57592773  2165.57592773
  2165.57592773  2311.79711914  2311.79711914  2311.79711914  3580.30444336]",16.2760028839,1,2.0
21,"[ 5819.83007812  5819.83007812  5770.75878906  5770.75878906  5770.75878906
  5289.86474609  5289.86474609  5289.86474609  5987.54003906  5987.54003906]","[  3.53855848   3.53855848   3.0788784    3.0788784    3.0788784
  39.70976257  39.70976257  39.70976257  62.26676178  62.26676178]","[ 2197.6394043   2197.6394043   2165.57592773  2165.57592773  2165.57592773
  2311.79711914  2311.79711914  2311.79711914  3580.30444336  3580.30444336]",16.1916656494,1,2.0
22,"[ 5819.83007812  5770.75878906  5770.75878906  5770.75878906  5289.86474609
  5289.86474609  5289.86474609  5987.54003906  5987.54003906  6282.37060547]","[  3.53855848   3.0788784    3.0788784    3.0788784   39.70976257
  39.70976257  39.70976257  62.26676178  62.26676178  88.84555817]","[ 2197.6394043   2165.57592773  2165.57592773  2165.57592773  2311.79711914
  2311.79711914  2311.79711914  3580.30444336  3580.30444336  4046.57275391]",16.1244735718,1,2.0
23,"[ 5770.75878906  5770.75878906  5770.75878906  5289.86474609  5289.86474609
  5289.86474609  5987.54003906  5987.54003906  6282.37060547  6282.37060547]","[  3.0788784    3.0788784    3.0788784   39.70976257  39.70976257
  39.70976257  62.26676178  62.26676178  88.84555817  88.84555817]","[ 2165.57592773  2165.57592773  2165.57592773  2311.79711914  2311.79711914
  2311.79711914  3580.30444336  3580.30444336  4046.57275391  4046.57275391]",16.0656642914,1,2.0
24,"[ 5770.75878906  5770.75878906  5289.86474609  5289.86474609  5289.86474609
  5987.54003906  5987.54003906  6282.37060547  6282.37060547  6282.37060547]","[  3.0788784    3.0788784   39.70976257  39.70976257  39.70976257
  62.26676178  62.26676178  88.84555817  88.84555817  88.84555817]","[ 2165.57592773  2165.57592773  2311.79711914  2311.79711914  2311.79711914
  3580.30444336  3580.30444336  4046.57275391  4046.57275391  4046.57275391]",15.9818925858,1,2.0
25,"[ 5770.75878906  5289.86474609  5289.86474609  5289.86474609  5987.54003906
  5987.54003906  6282.37060547  6282.37060547  6282.37060547  6282.37060547]","[  3.0788784   39.70976257  39.70976257  39.70976257  62.26676178
  62.26676178  88.84555817  88.84555817  88.84555817  88.84555817]","[ 2165.57592773  2311.79711914  2311.79711914  2311.79711914  3580.30444336
  3580.30444336  4046.57275391  4046.57275391  4046.57275391  4046.57275391]",15.9146986008,1,2.0
26,"[ 5289.86474609  5289.86474609  5289.86474609  5987.54003906  5987.54003906
  6282.37060547  6282.37060547  6282.37060547  6282.37060547  6282.37060547]","[ 39.70976257  39.70976257  39.70976257  62.26676178  62.26676178
  88.84555817  88.84555817  88.84555817  88.84555817  88.84555817]","[ 2311.79711914  2311.79711914  2311.79711914  3580.30444336  3580.30444336
  4046.57275391  4046.57275391  4046.57275391  4046.57275391  4046.57275391]",15.8551864624,1,2.0
27,"[ 5289.86474609  5289.86474609  5987.54003906  5987.54003906  6282.37060547
  6282.37060547  6282.37060547  6282.37060547  6282.37060547  6282.37060547]","[ 39.70976257  39.70976257  62.26676178  62.26676178  88.84555817
  88.84555817  88.84555817  88.84555817  88.84555817  88.84555817]","[ 2311.79711914  2311.79711914  3580.30444336  3580.30444336  4046.57275391
  4046.57275391  4046.57275391  4046.57275391  4046.57275391  4046.57275391]",15.7705640793,1,2.0
28,"[  5289.86474609   5987.54003906   5987.54003906   6282.37060547
   6282.37060547   6282.37060547   6282.37060547   6282.37060547
   6282.37060547  12560.515625  ]","[ 39.70976257  62.26676178  62.26676178  88.84555817  88.84555817
  88.84555817  88.84555817  88.84555817  88.84555817  29.2820797 ]","[ 2311.79711914  3580.30444336  3580.30444336  4046.57275391  4046.57275391
  4046.57275391  4046.57275391  4046.57275391  4046.57275391  2274.37451172]",15.7031526566,1,2.0
29,"[  5987.54003906   5987.54003906   6282.37060547   6282.37060547
   6282.37060547   6282.37060547   6282.37060547   6282.37060547
  12560.515625    12560.515625  ]","[ 62.26676178  62.26676178  88.84555817  88.84555817  88.84555817
  88.84555817  88.84555817  88.84555817  29.2820797   29.2820797 ]","[ 3580.30444336  3580.30444336  4046.57275391  4046.57275391  4046.57275391
  4046.57275391  4046.57275391  4046.57275391  2274.37451172  2274.37451172]",15.644162178,1,2.0
30,"[  5987.54003906   6282.37060547   6282.37060547   6282.37060547
   6282.37060547   6282.37060547   6282.37060547  12560.515625
  12560.515625    12560.515625  ]","[ 62.26676178  88.84555817  88.84555817  88.84555817  88.84555817
  88.84555817  88.84555817  29.2820797   29.2820797   29.2820797 ]","[ 3580.30444336  4046.57275391  4046.57275391  4046.57275391  4046.57275391
  4046.57275391  4046.57275391  2274.37451172  2274.37451172  2274.37451172]",15.5602121353,1,2.0
31,"[  6282.37060547   6282.37060547   6282.37060547   6282.37060547
   6282.37060547   6282.37060547  12560.515625    12560.515625
  12560.515625     6658.92675781]","[ 88.84555817  88.84555817  88.84555817  88.84555817  88.84555817
  88.84555817  29.2820797   29.2820797   29.2820797   28.16515732]","[ 4046.57275391  4046.57275391  4046.57275391  4046.57275391  4046.57275391
  4046.57275391  2274.37451172  2274.37451172  2274.37451172  2312.54150391]",15.4932022095,1,2.0
32,"[  6282.37060547   6282.37060547   6282.37060547   6282.37060547
   6282.37060547  12560.515625    12560.515625    12560.515625
   6658.92675781   6658.92675781]","[ 88.84555817  88.84555817  88.84555817  88.84555817  88.84555817
  29.2820797   29.2820797   29.2820797   28.16515732  28.16515732]","[ 4046.57275391  4046.57275391  4046.57275391  4046.57275391  4046.57275391
  2274.37451172  2274.37451172  2274.37451172  2312.54150391  2312.54150391]",15.4335155487,1,2.0
33,"[  6282.37060547   6282.37060547   6282.37060547   6282.37060547
  12560.515625    12560.515625    12560.515625     6658.92675781
   6658.92675781   6658.92675781]","[ 88.84555817  88.84555817  88.84555817  88.84555817  29.2820797
  29.2820797   29.2820797   28.16515732  28.16515732  28.16515732]","[ 4046.57275391  4046.57275391  4046.57275391  4046.57275391  2274.37451172
  2274.37451172  2274.37451172  2312.54150391  2312.54150391  2312.54150391]",15.3486824036,1,2.0
34,"[  6282.37060547   6282.37060547   6282.37060547  12560.515625
  12560.515625    12560.515625     6658.92675781   6658.92675781
   6658.92675781   6970.88232422]","[ 88.84555817  88.84555817  88.84555817  29.2820797   29.2820797
  29.2820797   28.16515732  28.16515732  28.16515732  54.00021362]","[ 4046.57275391  4046.57275391  4046.57275391  2274.37451172  2274.37451172
  2274.37451172  2312.54150391  2312.54150391  2312.54150391  3085.82324219]",15.2219371796,1,2.0
35,"[  6282.37060547   6282.37060547  12560.515625    12560.515625
  12560.515625     6658.92675781   6658.92675781   6658.92675781
   6970.88232422   6970.88232422]","[ 88.84555817  88.84555817  29.2820797   29.2820797   29.2820797
  28.16515732  28.16515732  28.16515732  54.00021362  54.00021362]","[ 4046.57275391  4046.57275391  2274.37451172  2274.37451172  2274.37451172
  2312.54150391  2312.54150391  2312.54150391  3085.82324219  3085.82324219]",15.1377725601,1,2.0
36,"[  6282.37060547  12560.515625    12560.515625    12560.515625
   6658.92675781   6658.92675781   6658.92675781   6970.88232422
   6970.88232422   7046.39257812]","[ 88.84555817  29.2820797   29.2820797   29.2820797   28.16515732
  28.16515732  28.16515732  54.00021362  54.00021362  42.93674088]","[ 4046.57275391  2274.37451172  2274.37451172  2274.37451172  2312.54150391
  2312.54150391  2312.54150391  3085.82324219  3085.82324219  2693.63305664]",15.0706825256,1,2.0
37,"[ 12560.515625    12560.515625    12560.515625     6658.92675781
   6658.92675781   6658.92675781   6970.88232422   6970.88232422
   7046.39257812   7046.39257812]","[ 29.2820797   29.2820797   29.2820797   28.16515732  28.16515732
  28.16515732  54.00021362  54.00021362  42.93674088  42.93674088]","[ 2274.37451172  2274.37451172  2274.37451172  2312.54150391  2312.54150391
  2312.54150391  3085.82324219  3085.82324219  2693.63305664  2693.63305664]",15.0113554001,1,2.0
38,"[ 12560.515625    12560.515625     6658.92675781   6658.92675781
   6658.92675781   6970.88232422   6970.88232422   7046.39257812
   7046.39257812   7046.39257812]","[ 29.2820797   29.2820797   28.16515732  28.16515732  28.16515732
  54.00021362  54.00021362  42.93674088  42.93674088  42.93674088]","[ 2274.37451172  2274.37451172  2312.54150391  2312.54150391  2312.54150391
  3085.82324219  3085.82324219  2693.63305664  2693.63305664  2693.63305664]",14.9266452789,1,2.0
39,"[ 12560.515625     6658.92675781   6658.92675781   6658.92675781
   6970.88232422   6970.88232422   7046.39257812   7046.39257812
   7046.39257812   6871.58398438]","[ 29.2820797   28.16515732  28.16515732  28.16515732  54.00021362
  54.00021362  42.93674088  42.93674088  42.93674088  61.89635468]","[ 2274.37451172  2312.54150391  2312.54150391  2312.54150391  3085.82324219
  3085.82324219  2693.63305664  2693.63305664  2693.63305664  2292.71948242]",14.859161377,1,2.0
40,"[ 6658.92675781  6658.92675781  6658.92675781  6970.88232422  6970.88232422
  7046.39257812  7046.39257812  7046.39257812  6871.58398438  6871.58398438]","[ 28.16515732  28.16515732  28.16515732  54.00021362  54.00021362
  42.93674088  42.93674088  42.93674088  61.89635468  61.89635468]","[ 2312.54150391  2312.54150391  2312.54150391  3085.82324219  3085.82324219
  2693.63305664  2693.63305664  2693.63305664  2292.71948242  2292.71948242]",14.8001194,1,2.0
41,"[ 6658.92675781  6658.92675781  6970.88232422  6970.88232422  7046.39257812
  7046.39257812  7046.39257812  6871.58398438  6871.58398438  6871.58398438]","[ 28.16515732  28.16515732  54.00021362  54.00021362  42.93674088
  42.93674088  42.93674088  61.89635468  61.89635468  61.89635468]","[ 2312.54150391  2312.54150391  3085.82324219  3085.82324219  2693.63305664
  2693.63305664  2693.63305664  2292.71948242  2292.71948242  2292.71948242]",14.7161941528,1,2.0
42,"[ 6658.92675781  6970.88232422  6970.88232422  7046.39257812  7046.39257812
  7046.39257812  6871.58398438  6871.58398438  6871.58398438  7490.40087891]","[ 28.16515732  54.00021362  54.00021362  42.93674088  42.93674088
  42.93674088  61.89635468  61.89635468  61.89635468  60.76408005]","[ 2312.54150391  3085.82324219  3085.82324219  2693.63305664  2693.63305664
  2693.63305664  2292.71948242  2292.71948242  2292.71948242  2925.69067383]",14.6492910385,1,2.0
43,"[ 6970.88232422  6970.88232422  7046.39257812  7046.39257812  7046.39257812
  6871.58398438  6871.58398438  6871.58398438  7490.40087891  7490.40087891]","[ 54.00021362  54.00021362  42.93674088  42.93674088  42.93674088
  61.89635468  61.89635468  61.89635468  60.76408005  60.76408005]","[ 3085.82324219  3085.82324219  2693.63305664  2693.63305664  2693.63305664
  2292.71948242  2292.71948242  2292.71948242  2925.69067383  2925.69067383]",14.5907430649,1,2.0
44,"[ 6970.88232422  7046.39257812  7046.39257812  7046.39257812  6871.58398438
  6871.58398438  6871.58398438  7490.40087891  7490.40087891  7490.40087891]","[ 54.00021362  42.93674088  42.93674088  42.93674088  61.89635468
  61.89635468  61.89635468  60.76408005  60.76408005  60.76408005]","[ 3085.82324219  2693.63305664  2693.63305664  2693.63305664  2292.71948242
  2292.71948242  2292.71948242  2925.69067383  2925.69067383  2925.69067383]",14.5074014664,1,2.0
45,"[ 7046.39257812  7046.39257812  7046.39257812  6871.58398438  6871.58398438
  6871.58398438  7490.40087891  7490.40087891  7490.40087891  7405.50585938]","[ 42.93674088  42.93674088  42.93674088  61.89635468  61.89635468
  61.89635468  60.76408005  60.76408005  60.76408005  35.89350128]","[ 2693.63305664  2693.63305664  2693.63305664  2292.71948242  2292.71948242
  2292.71948242  2925.69067383  2925.69067383  2925.69067383  2654.69750977]",14.3826847076,1,2.0
46,"[ 7046.39257812  7046.39257812  6871.58398438  6871.58398438  6871.58398438
  7490.40087891  7490.40087891  7490.40087891  7405.50585938  7405.50585938]","[ 42.93674088  42.93674088  61.89635468  61.89635468  61.89635468
  60.76408005  60.76408005  60.76408005  35.89350128  35.89350128]","[ 2693.63305664  2693.63305664  2292.71948242  2292.71948242  2292.71948242
  2925.69067383  2925.69067383  2925.69067383  2654.69750977  2654.69750977]",14.2997770309,1,2.0
47,"[ 7046.39257812  6871.58398438  6871.58398438  6871.58398438  7490.40087891
  7490.40087891  7490.40087891  7405.50585938  7405.50585938  7732.88574219]","[ 42.93674088  61.89635468  61.89635468  61.89635468  60.76408005
  60.76408005  60.76408005  35.89350128  35.89350128  28.22734451]","[ 2693.63305664  2292.71948242  2292.71948242  2292.71948242  2925.69067383
  2925.69067383  2925.69067383  2654.69750977  2654.69750977  2760.49291992]",14.2321863174,1,2.0
48,"[ 6871.58398438  6871.58398438  6871.58398438  7490.40087891  7490.40087891
  7490.40087891  7405.50585938  7405.50585938  7732.88574219  7732.88574219]","[ 61.89635468  61.89635468  61.89635468  60.76408005  60.76408005
  60.76408005  35.89350128  35.89350128  28.22734451  28.22734451]","[ 2292.71948242  2292.71948242  2292.71948242  2925.69067383  2925.69067383
  2925.69067383  2654.69750977  2654.69750977  2760.49291992  2760.49291992]",14.1730079651,1,2.0
