,activation_0,activation_1,activation_2,dist,id,vel
14,"[ 1190.04333496  1190.04333496  1190.04333496  3633.48535156  3633.48535156
   165.43989563   165.43989563   165.43989563   791.80944824   791.80944824]","[  44.47385406   44.47385406   44.47385406   23.7226181    23.7226181
  866.03759766  866.03759766  866.03759766  231.35705566  231.35705566]","[  521.48120117   521.48120117   521.48120117   755.67755127   755.67755127
   114.8680954    114.8680954    114.8680954   3055.15478516  3055.15478516]",24.6888103485,0,2.0
15,"[ 1190.04333496  1190.04333496  3633.48535156  3633.48535156   165.43989563
   165.43989563   165.43989563   791.80944824   791.80944824  3413.08935547]","[  44.47385406   44.47385406   23.7226181    23.7226181   866.03759766
  866.03759766  866.03759766  231.35705566  231.35705566  509.93988037]","[   521.48120117    521.48120117    755.67755127    755.67755127
    114.8680954     114.8680954     114.8680954    3055.15478516
   3055.15478516  14672.08398438]",24.5937156677,0,2.0
16,"[ 1190.04333496  3633.48535156  3633.48535156   165.43989563   165.43989563
   165.43989563   791.80944824   791.80944824  3413.08935547  3413.08935547]","[  44.47385406   23.7226181    23.7226181   866.03759766  866.03759766
  866.03759766  231.35705566  231.35705566  509.93988037  509.93988037]","[   521.48120117    755.67755127    755.67755127    114.8680954
    114.8680954     114.8680954    3055.15478516   3055.15478516
  14672.08398438  14672.08398438]",24.5539875031,0,2.0
17,"[ 3633.48535156  3633.48535156   165.43989563   165.43989563   165.43989563
   791.80944824   791.80944824  3413.08935547  3413.08935547  3413.08935547]","[  23.7226181    23.7226181   866.03759766  866.03759766  866.03759766
  231.35705566  231.35705566  509.93988037  509.93988037  509.93988037]","[   755.67755127    755.67755127    114.8680954     114.8680954
    114.8680954    3055.15478516   3055.15478516  14672.08398438
  14672.08398438  14672.08398438]",24.4953727722,0,2.0
18,"[ 3633.48535156   165.43989563   165.43989563   165.43989563   791.80944824
   791.80944824  3413.08935547  3413.08935547  3413.08935547   538.25939941]","[  23.7226181   866.03759766  866.03759766  866.03759766  231.35705566
  231.35705566  509.93988037  509.93988037  509.93988037  157.6383667 ]","[   755.67755127    114.8680954     114.8680954     114.8680954
   3055.15478516   3055.15478516  14672.08398438  14672.08398438
  14672.08398438   4478.68994141]",24.4466056824,0,2.0
19,"[  165.43989563   165.43989563   165.43989563   791.80944824   791.80944824
  3413.08935547  3413.08935547  3413.08935547   538.25939941   538.25939941]","[ 866.03759766  866.03759766  866.03759766  231.35705566  231.35705566
  509.93988037  509.93988037  509.93988037  157.6383667   157.6383667 ]","[   114.8680954     114.8680954     114.8680954    3055.15478516
   3055.15478516  14672.08398438  14672.08398438  14672.08398438
   4478.68994141   4478.68994141]",24.4026699066,0,2.0
20,"[  165.43989563   165.43989563   791.80944824   791.80944824  3413.08935547
  3413.08935547  3413.08935547   538.25939941   538.25939941   538.25939941]","[ 866.03759766  866.03759766  231.35705566  231.35705566  509.93988037
  509.93988037  509.93988037  157.6383667   157.6383667   157.6383667 ]","[   114.8680954     114.8680954    3055.15478516   3055.15478516
  14672.08398438  14672.08398438  14672.08398438   4478.68994141
   4478.68994141   4478.68994141]",24.3389434814,0,2.0
21,"[  165.43989563   791.80944824   791.80944824  3413.08935547  3413.08935547
  3413.08935547   538.25939941   538.25939941   538.25939941   247.29191589]","[ 866.03759766  231.35705566  231.35705566  509.93988037  509.93988037
  509.93988037  157.6383667   157.6383667   157.6383667   173.07296753]","[   114.8680954    3055.15478516   3055.15478516  14672.08398438
  14672.08398438  14672.08398438   4478.68994141   4478.68994141
   4478.68994141   9808.00976562]",24.2872047424,0,2.0
22,"[  791.80944824   791.80944824  3413.08935547  3413.08935547  3413.08935547
   538.25939941   538.25939941   538.25939941   247.29191589   247.29191589]","[ 231.35705566  231.35705566  509.93988037  509.93988037  509.93988037
  157.6383667   157.6383667   157.6383667   173.07296753  173.07296753]","[  3055.15478516   3055.15478516  14672.08398438  14672.08398438
  14672.08398438   4478.68994141   4478.68994141   4478.68994141
   9808.00976562   9808.00976562]",24.1749267578,0,2.0
23,"[  791.80944824  3413.08935547  3413.08935547  3413.08935547   538.25939941
   538.25939941   538.25939941   247.29191589   247.29191589    46.23675919]","[ 231.35705566  509.93988037  509.93988037  509.93988037  157.6383667
  157.6383667   157.6383667   173.07296753  173.07296753  483.64730835]","[  3055.15478516  14672.08398438  14672.08398438  14672.08398438
   4478.68994141   4478.68994141   4478.68994141   9808.00976562
   9808.00976562    827.99298096]",24.1209907532,0,2.0
24,"[ 3413.08935547  3413.08935547  3413.08935547   538.25939941   538.25939941
   538.25939941   247.29191589   247.29191589    46.23675919    46.23675919]","[ 509.93988037  509.93988037  509.93988037  157.6383667   157.6383667
  157.6383667   173.07296753  173.07296753  483.64730835  483.64730835]","[ 14672.08398438  14672.08398438  14672.08398438   4478.68994141
   4478.68994141   4478.68994141   9808.00976562   9808.00976562
    827.99298096    827.99298096]",24.0725841522,0,2.0
