time,optic_flow,activation,optic_flow_cn45,activation_cn45,optic_flow_c45,distance,activation_c45,velocity
5.663e+11,"[[[  2.46984746e-06  -6.75345973e-07]
  [  2.48977926e-06  -6.75586875e-07]
  [  2.62682602e-06  -6.79295965e-07]
  ..., 
  [  1.75465732e-06  -6.72846113e-07]
  [  2.43827662e-06  -5.77725700e-07]
  [  3.64993866e-06  -5.28014709e-07]]

 [[  4.08404230e-06  -1.07522112e-06]
  [  3.84668783e-06  -1.06321920e-06]
  [  3.82416738e-06  -1.15040802e-06]
  ..., 
  [  1.85923989e-06  -1.00019679e-06]
  [  2.25094982e-06  -8.53860740e-07]
  [  3.49268248e-06  -8.09515711e-07]]

 [[  5.97420785e-06  -1.44820763e-06]
  [  5.59685168e-06  -1.52533278e-06]
  [  5.32339163e-06  -1.64032394e-06]
  ..., 
  [  2.90293656e-06  -1.19880656e-06]
  [  2.85312558e-06  -1.00475347e-06]
  [  3.79201106e-06  -9.87492854e-07]]

 ..., 
 [[ -1.25274971e-01   7.25751892e-02]
  [ -1.92357332e-01   8.34867582e-02]
  [ -1.74004883e-01   1.07132152e-01]
  ..., 
  [  4.25074175e-02  -7.18765482e-02]
  [  4.32846136e-02  -7.15808570e-02]
  [  3.78503278e-02  -6.97274059e-02]]

 [[ -1.11670122e-01   6.50073886e-02]
  [ -1.89032495e-01   6.73585311e-02]
  [ -1.71538129e-01   8.59195217e-02]
  ..., 
  [  6.20233379e-02  -5.75147085e-02]
  [  6.93814680e-02  -5.60634397e-02]
  [  6.55391365e-02  -5.37868291e-02]]

 [[ -1.44622564e-01   1.01329319e-01]
  [ -2.21546531e-01   9.35909897e-02]
  [ -2.01996014e-01   1.03394531e-01]
  ..., 
  [  6.31626099e-02  -6.03021830e-02]
  [  7.25678205e-02  -5.82784079e-02]
  [  6.67730570e-02  -5.64525574e-02]]]",122.149308772,,,,,,
5.664e+11,"[[[  3.36270432e-07   3.72038329e-07]
  [  4.23327407e-07   3.27464903e-07]
  [  3.37160941e-07   3.21017012e-07]
  ..., 
  [  3.74310525e-06  -1.07159951e-06]
  [  5.05550679e-06  -1.08138795e-06]
  [  6.44709007e-06  -1.07658434e-06]]

 [[  6.10696532e-07   5.29439319e-07]
  [  3.66273724e-07   5.28250155e-07]
  [ -1.42152260e-07   5.91180310e-07]
  ..., 
  [  2.98294231e-06  -1.25575320e-06]
  [  4.41778366e-06  -1.27769692e-06]
  [  6.01954889e-06  -1.23676227e-06]]

 [[  8.97003645e-07   4.08838332e-07]
  [  4.74014996e-07   5.18895888e-07]
  [ -5.55493955e-07   7.03739488e-07]
  ..., 
  [  1.58132309e-06  -1.31168429e-06]
  [  3.15857278e-06  -1.32903017e-06]
  [  5.00248871e-06  -1.25924464e-06]]

 ..., 
 [[  9.86291647e-01  -1.66582489e+00]
  [  9.85275507e-01  -1.62413299e+00]
  [  9.48479950e-01  -1.57133055e+00]
  ..., 
  [ -1.45218968e+00  -1.81731761e+00]
  [ -1.50137901e+00  -1.83238387e+00]
  [ -1.50072777e+00  -1.82434785e+00]]

 [[  9.19200778e-01  -1.57039082e+00]
  [  8.99680138e-01  -1.51204777e+00]
  [  8.40183735e-01  -1.45926082e+00]
  ..., 
  [ -1.50095892e+00  -1.83368003e+00]
  [ -1.54110682e+00  -1.84203804e+00]
  [ -1.53083336e+00  -1.82542133e+00]]

 [[  8.00765038e-01  -1.37545466e+00]
  [  7.84778297e-01  -1.35757577e+00]
  [  7.46404111e-01  -1.35036194e+00]
  ..., 
  [ -1.50734770e+00  -1.80124879e+00]
  [ -1.53511107e+00  -1.80659676e+00]
  [ -1.51805043e+00  -1.77992392e+00]]]",-5527.54664198,,,,30.0762584444,,0.0140126906335
5.665e+11,"[[[  6.55064332e-06  -3.37558390e-07]
  [  4.93806920e-06  -4.49111610e-07]
  [  4.10723305e-06  -6.66979190e-07]
  ..., 
  [ -7.42833026e-06  -3.46702336e-06]
  [ -7.98567635e-06  -3.78105915e-06]
  [ -8.37655352e-06  -3.95520874e-06]]

 [[  7.82151437e-06  -5.75142110e-07]
  [  6.35544848e-06  -7.25204075e-07]
  [  5.54889903e-06  -1.03085563e-06]
  ..., 
  [ -7.82976804e-06  -5.16838008e-06]
  [ -8.23367827e-06  -5.34647324e-06]
  [ -8.20231253e-06  -5.47852278e-06]]

 [[  9.13100484e-06  -9.67194637e-07]
  [  7.63588741e-06  -1.18723506e-06]
  [  7.03972910e-06  -1.56965223e-06]
  ..., 
  [ -7.98310248e-06  -5.84063855e-06]
  [ -8.15524345e-06  -5.85700855e-06]
  [ -8.06612479e-06  -5.92912056e-06]]

 ..., 
 [[  3.22287512e+00  -5.14339590e+00]
  [  3.03845453e+00  -5.12491226e+00]
  [  2.98066616e+00  -5.20362759e+00]
  ..., 
  [ -3.03417182e+00  -4.94483137e+00]
  [ -3.02953577e+00  -4.91541338e+00]
  [ -2.94512272e+00  -4.83385706e+00]]

 [[  2.69757771e+00  -4.47021246e+00]
  [  2.62499428e+00  -4.54537153e+00]
  [  2.69562173e+00  -4.75248671e+00]
  ..., 
  [ -3.05107999e+00  -4.86977053e+00]
  [ -3.01097894e+00  -4.81073284e+00]
  [ -2.88288569e+00  -4.68443727e+00]]

 [[  2.30529332e+00  -3.91004395e+00]
  [  2.30057621e+00  -4.06214857e+00]
  [  2.46066523e+00  -4.39303255e+00]
  ..., 
  [ -2.99886370e+00  -4.60658360e+00]
  [ -2.95161033e+00  -4.53831959e+00]
  [ -2.78332353e+00  -4.37408066e+00]]]",-17637.4630346,,,,30.0671511601,,0.081135481596
5.666e+11,"[[[ -6.70760346e-06   3.69398322e-07]
  [ -6.00191470e-06   3.78116965e-07]
  [ -4.90902084e-06   3.81919136e-07]
  ..., 
  [ -3.43016131e-06   3.09049892e-06]
  [ -3.29002546e-06   3.17009381e-06]
  [ -2.97532551e-06   3.07835421e-06]]

 [[ -1.06913276e-05   8.17933085e-07]
  [ -1.05455265e-05   8.54895120e-07]
  [ -9.62468948e-06   8.59008708e-07]
  ..., 
  [ -3.69521786e-06   4.58087425e-06]
  [ -3.48542494e-06   4.62295793e-06]
  [ -2.93837456e-06   4.40842132e-06]]

 [[ -1.56380847e-05   1.65235804e-06]
  [ -1.53955389e-05   1.76886113e-06]
  [ -1.42569543e-05   1.77692311e-06]
  ..., 
  [ -4.28871772e-06   5.55042197e-06]
  [ -4.09004861e-06   5.59081445e-06]
  [ -3.47268474e-06   5.27957354e-06]]

 ..., 
 [[ -1.99196196e+00   3.57999229e+00]
  [ -1.97812307e+00   3.61378503e+00]
  [ -1.85954094e+00   3.60195398e+00]
  ..., 
  [  1.98906887e+00   3.16846991e+00]
  [  2.09557796e+00   3.28543520e+00]
  [  2.17788959e+00   3.44395971e+00]]

 [[ -1.95032656e+00   3.37878203e+00]
  [ -1.93663394e+00   3.39444256e+00]
  [ -1.79297006e+00   3.33845234e+00]
  ..., 
  [  1.82709801e+00   2.92862058e+00]
  [  1.98498726e+00   3.11018276e+00]
  [  2.11096382e+00   3.32744241e+00]]

 [[ -1.68130803e+00   2.82520771e+00]
  [ -1.64904416e+00   2.79154539e+00]
  [ -1.48777473e+00   2.68456960e+00]
  ..., 
  [  1.64015293e+00   2.64459038e+00]
  [  1.84762526e+00   2.90066743e+00]
  [  1.99399269e+00   3.15599585e+00]]]",15352.0252314,,,,30.0479902969,,0.223172426224
5.667e+11,"[[[ -1.00057093e-06   5.11411656e-07]
  [ -8.09348933e-07   4.82892915e-07]
  [ -7.10221457e-07   4.42015789e-07]
  ..., 
  [  9.45033935e-06   5.05680873e-06]
  [  9.16396493e-06   4.65699577e-06]
  [  7.87492809e-06   4.02517708e-06]]

 [[ -2.28390309e-06   8.41627013e-07]
  [ -1.76765491e-06   7.96437746e-07]
  [ -1.51005099e-06   7.12823862e-07]
  ..., 
  [  1.03070643e-05   6.74560943e-06]
  [  1.05302670e-05   6.16227999e-06]
  [  9.43066789e-06   5.33617867e-06]]

 [[ -4.19157413e-06   1.45472393e-06]
  [ -3.40480506e-06   1.36067047e-06]
  [ -3.07110304e-06   1.18694913e-06]
  ..., 
  [  1.04992141e-05   7.37928804e-06]
  [  1.09966595e-05   6.79685445e-06]
  [  1.02564400e-05   5.99018722e-06]]

 ..., 
 [[ -2.73174071e+00   4.34142065e+00]
  [ -2.62658095e+00   4.26964855e+00]
  [ -2.57556105e+00   4.22485399e+00]
  ..., 
  [  2.74947500e+00   3.80591559e+00]
  [  2.75436306e+00   3.76657629e+00]
  [  2.74556041e+00   3.69639397e+00]]

 [[ -2.54785419e+00   4.15551329e+00]
  [ -2.47102141e+00   4.12863302e+00]
  [ -2.43395948e+00   4.10376644e+00]
  ..., 
  [  2.64703035e+00   3.68146873e+00]
  [  2.64100385e+00   3.63250780e+00]
  [  2.61857557e+00   3.54969430e+00]]

 [[ -2.23253322e+00   3.82424736e+00]
  [ -2.14556408e+00   3.78639221e+00]
  [ -2.13950157e+00   3.78052282e+00]
  ..., 
  [  2.30735803e+00   3.26119757e+00]
  [  2.27567911e+00   3.18346953e+00]
  [  2.23403859e+00   3.07824373e+00]]]",16027.2928667,,,,30.0131495606,,0.411575376987
5.668e+11,"[[[  1.69154339e-06  -6.68965640e-07]
  [  2.02417596e-06  -4.80955123e-07]
  [  2.02171009e-06  -3.45055241e-07]
  ..., 
  [  3.84364057e-06   3.92980201e-06]
  [  3.59684691e-06   3.79388143e-06]
  [  2.84077578e-06   3.26439863e-06]]

 [[  2.19841058e-06  -1.03830791e-06]
  [  2.82305336e-06  -8.07786932e-07]
  [  3.12889711e-06  -5.78255595e-07]
  ..., 
  [  5.09086021e-06   7.79372476e-06]
  [  4.46536387e-06   7.52809592e-06]
  [  3.43404804e-06   6.57648752e-06]]

 [[  2.62949516e-06  -1.46535785e-06]
  [  3.46714933e-06  -1.21609628e-06]
  [  3.98967768e-06  -9.65187382e-07]
  ..., 
  [  4.95900804e-06   1.04452311e-05]
  [  4.20483775e-06   1.02657868e-05]
  [  3.09129814e-06   9.54735060e-06]]

 ..., 
 [[ -2.69657397e+00   2.91843629e+00]
  [ -2.62411284e+00   2.79640603e+00]
  [ -2.51750088e+00   2.69038844e+00]
  ..., 
  [  2.73385119e+00   2.70992136e+00]
  [  2.77764201e+00   2.70287538e+00]
  [  2.80530381e+00   2.69350028e+00]]

 [[ -2.59304309e+00   2.77208352e+00]
  [ -2.44342351e+00   2.56363297e+00]
  [ -2.26130867e+00   2.36834073e+00]
  ..., 
  [  2.67521048e+00   2.67066264e+00]
  [  2.69849491e+00   2.65592670e+00]
  [  2.71709824e+00   2.64521170e+00]]

 [[ -2.37239981e+00   2.55577683e+00]
  [ -2.14824367e+00   2.30290961e+00]
  [ -1.94432199e+00   2.12348247e+00]
  ..., 
  [  2.53420854e+00   2.58623838e+00]
  [  2.55121660e+00   2.56553459e+00]
  [  2.57348871e+00   2.55255604e+00]]]",10141.9391178,,,,29.961368167,,0.578130960464
5.669e+11,"[[[  4.05585661e-06  -4.01951411e-07]
  [  4.14374972e-06  -3.65892220e-07]
  [  4.18945046e-06  -4.18506374e-07]
  ..., 
  [  3.07578898e-06  -3.97293945e-07]
  [  3.34888796e-06  -1.88704433e-07]
  [  3.22179835e-06   4.58586769e-08]]

 [[  5.86023634e-06  -8.89284081e-07]
  [  6.01207967e-06  -8.00353519e-07]
  [  6.14089959e-06  -9.03187242e-07]
  ..., 
  [  3.75053332e-06  -7.51211587e-07]
  [  3.73020657e-06  -4.19989988e-07]
  [  3.57527824e-06  -1.26358316e-07]]

 [[  7.10443419e-06  -1.38034682e-06]
  [  6.91454761e-06  -1.27325086e-06]
  [  6.75050751e-06  -1.39062956e-06]
  ..., 
  [  4.02410706e-06  -1.20912978e-06]
  [  3.54136182e-06  -7.64739639e-07]
  [  3.33765570e-06  -4.55786619e-07]]

 ..., 
 [[ -1.85409403e+00   1.33927250e+00]
  [ -1.78728068e+00   1.28774595e+00]
  [ -1.75047016e+00   1.25880611e+00]
  ..., 
  [  1.71618378e+00   1.04166389e+00]
  [  1.68887246e+00   1.03738832e+00]
  [  1.66908169e+00   1.03186882e+00]]

 [[ -1.73596263e+00   1.29854703e+00]
  [ -1.68120289e+00   1.23560750e+00]
  [ -1.65256643e+00   1.19856298e+00]
  ..., 
  [  1.65968919e+00   1.01071346e+00]
  [  1.62606561e+00   1.00488806e+00]
  [  1.59972119e+00   1.00027978e+00]]

 [[ -1.42385983e+00   1.12153494e+00]
  [ -1.40978265e+00   1.06195498e+00]
  [ -1.39601195e+00   1.01626277e+00]
  ..., 
  [  1.57173729e+00   9.90530491e-01]
  [  1.53058517e+00   9.89922762e-01]
  [  1.49865234e+00   9.88862038e-01]]]",4365.64429638,,,,29.8917510231,,0.699552118778
5.67e+11,"[[[ -4.42784631e-06   4.59459670e-07]
  [ -4.46363902e-06   4.39827971e-07]
  [ -4.76573314e-06   4.99460157e-07]
  ..., 
  [ -2.14776492e-06  -2.01587659e-06]
  [ -2.51269466e-06  -2.20654556e-06]
  [ -3.68170095e-06  -2.25100371e-06]]

 [[ -6.35313518e-06   9.48212517e-07]
  [ -6.34899561e-06   8.42677309e-07]
  [ -6.63241008e-06   9.27228768e-07]
  ..., 
  [ -2.19780418e-06  -2.47088110e-06]
  [ -1.96471819e-06  -2.68082044e-06]
  [ -3.51037306e-06  -2.67089467e-06]]

 [[ -7.56169084e-06   1.49188418e-06]
  [ -7.19121999e-06   1.36705091e-06]
  [ -7.12986139e-06   1.44614057e-06]
  ..., 
  [ -1.72240732e-06  -2.61826517e-06]
  [ -1.10518852e-06  -2.83694794e-06]
  [ -2.80203972e-06  -2.84012913e-06]]

 ..., 
 [[ -1.64885759e+00   8.79886627e-01]
  [ -1.72652614e+00   9.23566699e-01]
  [ -1.72251880e+00   9.34445381e-01]
  ..., 
  [  1.27727389e+00   2.67064929e-01]
  [  1.31457829e+00   2.70982265e-01]
  [  1.33428812e+00   2.62641221e-01]]

 [[ -1.59138060e+00   8.50229800e-01]
  [ -1.64122570e+00   8.87528777e-01]
  [ -1.60655141e+00   8.90973270e-01]
  ..., 
  [  1.26790380e+00   2.67527550e-01]
  [  1.31339443e+00   2.75345892e-01]
  [  1.33779609e+00   2.69160807e-01]]

 [[ -1.48454547e+00   7.92657197e-01]
  [ -1.49895072e+00   8.25212717e-01]
  [ -1.44330621e+00   8.17457795e-01]
  ..., 
  [  1.23719811e+00   2.63068259e-01]
  [  1.29859674e+00   2.75968552e-01]
  [  1.33873999e+00   2.71121114e-01]]]",4833.66772824,,,,29.8137419344,,0.781101226807
5.671e+11,"[[[  1.41405394e-06   4.69462016e-08]
  [  1.00760462e-06   5.60318192e-08]
  [  8.48488526e-07   7.85612713e-08]
  ..., 
  [ -1.04475691e-06  -7.57865564e-07]
  [ -2.46154923e-06  -4.90558250e-07]
  [ -2.60148818e-06  -5.17712408e-07]]

 [[  2.67685300e-06  -2.96499287e-08]
  [  2.09897394e-06  -2.67706941e-08]
  [  1.77050356e-06   1.35867317e-08]
  ..., 
  [ -3.26973968e-08  -1.37401082e-06]
  [ -2.75456068e-06  -7.82913617e-07]
  [ -3.24145617e-06  -6.58198303e-07]]

 [[  3.85410567e-06  -8.53253397e-08]
  [  3.15758484e-06  -8.14514820e-08]
  [  2.75729349e-06  -2.20827694e-08]
  ..., 
  [  1.48224979e-06  -1.96732390e-06]
  [ -2.02540991e-06  -1.15285013e-06]
  [ -3.05697495e-06  -8.15999158e-07]]

 ..., 
 [[ -1.36704302e+00   5.69112241e-01]
  [ -1.35937500e+00   5.71877718e-01]
  [ -1.35238540e+00   5.85691214e-01]
  ..., 
  [  1.83753419e+00   7.87170589e-01]
  [  1.86218417e+00   8.01463664e-01]
  [  1.87888384e+00   8.25522125e-01]]

 [[ -1.36297536e+00   5.54758966e-01]
  [ -1.35478079e+00   5.58618188e-01]
  [ -1.34425390e+00   5.73466241e-01]
  ..., 
  [  1.84393382e+00   7.78602958e-01]
  [  1.85250938e+00   7.91283250e-01]
  [  1.85849142e+00   8.13624382e-01]]

 [[ -1.34385526e+00   5.89202166e-01]
  [ -1.31747663e+00   5.87648213e-01]
  [ -1.28649259e+00   5.89382887e-01]
  ..., 
  [  1.80007517e+00   7.37251222e-01]
  [  1.79082358e+00   7.42162645e-01]
  [  1.76896727e+00   7.49941826e-01]]]",4717.1060912,,,,29.7278958695,,0.830709338188
5.672e+11,"[[[ -3.50102277e-06   3.15307517e-07]
  [ -3.11113104e-06   3.04602423e-07]
  [ -2.56045223e-06   2.51283666e-07]
  ..., 
  [ -1.55710018e-06   4.17554077e-07]
  [ -1.83852876e-06   4.83898873e-07]
  [ -3.05865683e-06   5.40263557e-07]]

 [[ -5.38670929e-06   6.84636120e-07]
  [ -4.97289102e-06   7.00979228e-07]
  [ -4.14343822e-06   5.96359712e-07]
  ..., 
  [ -4.37930657e-06   4.51211804e-07]
  [ -4.69370661e-06   4.85702458e-07]
  [ -6.12503891e-06   4.74297508e-07]]

 [[ -6.94061191e-06   1.10349788e-06]
  [ -6.60953492e-06   1.13550652e-06]
  [ -5.96571408e-06   9.69432108e-07]
  ..., 
  [ -6.32090587e-06   4.45525501e-07]
  [ -6.71737644e-06   4.37765607e-07]
  [ -8.14179657e-06   3.61342700e-07]]

 ..., 
 [[ -2.19746161e+00   1.17824996e+00]
  [ -2.14422512e+00   1.14090514e+00]
  [ -2.10848498e+00   1.10860229e+00]
  ..., 
  [  1.79764497e+00   7.78994143e-01]
  [  1.81433022e+00   7.70376563e-01]
  [  1.80401552e+00   7.57782519e-01]]

 [[ -2.14973617e+00   1.14179862e+00]
  [ -2.10068750e+00   1.10579979e+00]
  [ -2.06717539e+00   1.07363331e+00]
  ..., 
  [  1.72262955e+00   7.04668880e-01]
  [  1.73857510e+00   6.99198604e-01]
  [  1.73794985e+00   6.97067857e-01]]

 [[ -2.02941799e+00   1.12029183e+00]
  [ -1.97027099e+00   1.08204877e+00]
  [ -1.93299305e+00   1.04998624e+00]
  ..., 
  [  1.63564515e+00   6.89102471e-01]
  [  1.66272330e+00   6.84663475e-01]
  [  1.67128301e+00   6.82743669e-01]]]",5200.46123867,,,,29.6392294111,,0.86349773407
