,activation,distance,fov_x,velocity
0,0.0706894819477,28.91,60,0.61
1,0.119838235585,28.77,60,0.61
2,0.0601354130894,28.71,60,0.61
3,0.137516112428,28.57,60,0.61
4,0.0517876449069,28.5,60,0.61
5,0.0463461710094,28.43,60,0.62
6,0.0547511793697,28.35,60,0.62
7,0.0595585652331,28.29,60,0.61
8,0.064909713723,28.22,60,0.61
9,0.0562365108629,28.16,60,0.61
10,0.0573105691456,28.09,60,0.61
11,0.0624461787007,28.02,60,0.61
12,0.0516570442109,27.95,60,0.6
13,0.075210154177,27.89,60,0.6
14,0.0625089978656,27.82,60,0.6
15,0.0617324281879,27.75,60,0.6
16,0.0651452196517,27.68,60,0.6
17,0.0589469759523,27.61,60,0.61
18,0.0648410277664,27.54,60,0.61
19,0.0644521033274,27.47,60,0.61
20,0.0599619091819,27.4,60,0.61
21,0.05953991392,27.34,60,0.61
22,0.0633608488231,27.27,60,0.6
23,0.136275705042,27.14,60,0.61
24,0.0681758777775,27.07,60,0.61
25,0.0663091315168,27.0,60,0.61
26,0.046670414688,26.93,60,0.61
27,0.0627108743038,26.86,60,0.61
28,0.0658683904874,26.79,60,0.61
29,0.0629741063088,26.73,60,0.6
30,0.0657197978009,26.66,60,0.6
31,0.0645198930595,26.59,60,0.6
32,0.0653987306753,26.52,60,0.6
33,0.0574380368224,26.46,60,0.6
34,0.0609882120859,26.39,60,0.6
35,0.0634221807613,26.33,60,0.59
36,0.0583412636343,26.26,60,0.59
37,0.0728738517038,26.2,60,0.59
38,0.0605199189913,26.13,60,0.59
39,0.0608461533671,26.06,60,0.6
40,0.0480390959193,25.99,60,0.59
41,0.0625045560152,25.93,60,0.59
42,0.0613431968839,25.86,60,0.59
43,0.0623835636237,25.79,60,0.59
44,0.0638624591518,25.73,60,0.59
45,0.0610786322061,25.66,60,0.59
46,0.0675086749467,25.6,60,0.59
47,0.0656704481223,25.54,60,0.59
48,0.0616375394947,25.47,60,0.59
49,0.0648940779382,25.41,60,0.59
50,0.0655386538257,25.34,60,0.6
51,0.0552228646532,25.27,60,0.6
52,0.0671657489251,25.21,60,0.6
53,0.0532233797086,25.14,60,0.6
54,0.0740705524839,25.07,60,0.6
55,0.0508923239825,25.01,60,0.6
56,0.0552082713212,24.94,60,0.6
57,0.060340257077,24.88,60,0.6
58,0.119260064585,24.75,60,0.59
59,0.124626268982,24.63,60,0.59
60,0.122681316721,24.5,60,0.59
61,0.0648763886582,24.44,60,0.59
62,0.0594713890574,24.37,60,0.59
63,0.0546972384105,24.31,60,0.59
64,0.123600439565,24.19,60,0.59
65,0.0541670736721,24.12,60,0.59
66,0.053473977597,24.06,60,0.59
67,0.0608583280057,24.0,60,0.59
68,0.0568162229831,23.94,60,0.59
69,0.0556858648723,23.87,60,0.59
70,0.123275502303,23.75,60,0.59
