time,optic_flow_cn45,decision_c45,decision_cn45,activation,activation_c45,optic_flow,activation_cn45,distance,optic_flow_c45,decision,velocity
8.66e+11,,,,,,,,24.1086599649,,,2.33123540878
8.661e+11,,,,0.0139749824602,0.35169952317,"[[[ -8.21956405e-08  -1.39236946e-07]
  [  7.16227703e-07  -2.58577899e-07]
  [  1.31492607e-06  -5.35619677e-07]
  ..., 
  [  2.29969771e-07   2.26408318e-07]
  [  2.72108366e-07   1.49723078e-07]
  [  2.30469865e-07   1.20409297e-07]]

 [[ -3.52384092e-07   5.70481156e-08]
  [  5.85360624e-07   5.21853529e-08]
  [  1.35100549e-06  -1.97326372e-07]
  ..., 
  [  1.09399639e-06   1.18521051e-07]
  [  8.55838891e-07   6.08194171e-08]
  [  4.97080464e-07   4.94095538e-08]]

 [[ -6.34543767e-07   9.53994075e-08]
  [  2.69034388e-07   2.26964705e-08]
  [  1.04039327e-06  -3.93926598e-07]
  ..., 
  [  2.21640244e-06   2.29668984e-07]
  [  1.47138610e-06   2.65543267e-08]
  [  7.45425382e-07  -4.22836770e-08]]

 ..., 
 [[ -6.78913772e-01  -1.13904226e+00]
  [ -9.46995199e-01  -1.59877574e+00]
  [ -1.05077851e+00  -1.76664340e+00]
  ..., 
  [  7.26811111e-01  -4.04346734e-01]
  [  5.43347776e-01  -2.93605804e-01]
  [  3.37780863e-01  -1.72438219e-01]]

 [[ -4.95102525e-01  -8.47143769e-01]
  [ -7.37147450e-01  -1.25175905e+00]
  [ -8.51512611e-01  -1.43436980e+00]
  ..., 
  [  4.51187313e-01  -2.28757337e-01]
  [  3.50292474e-01  -1.71811908e-01]
  [  2.31531605e-01  -1.08061254e-01]]

 [[ -2.42441952e-01  -4.00845915e-01]
  [ -3.96847874e-01  -6.48549736e-01]
  [ -5.00703692e-01  -8.16995800e-01]
  ..., 
  [  3.47455382e-01  -1.74404904e-01]
  [  2.69209802e-01  -1.30248785e-01]
  [  1.87257215e-01  -8.53767395e-02]]]",0.35169952317,23.866518182,,0.0,2.39694905281
8.662e+11,,,,,,,,23.6188489026,,,2.45869064331
8.663e+11,,,,0.402659867028,-0.170265547658,"[[[  7.08399057e-07  -2.23549144e-08]
  [  4.60145259e-07  -1.16246454e-07]
  [  2.50908670e-07  -2.70416763e-07]
  ..., 
  [ -1.96463770e-06  -8.12092864e-08]
  [ -1.45006845e-06  -9.69278631e-08]
  [ -7.71173688e-07  -8.16963990e-08]]

 [[  4.82383143e-07  -3.14700657e-07]
  [ -1.91926432e-07  -5.71170915e-07]
  [ -6.82039285e-07  -8.56626741e-07]
  ..., 
  [ -2.81091775e-06  -1.03769032e-07]
  [ -1.92263042e-06  -1.37389122e-07]
  [ -9.77940090e-07  -1.34543953e-07]]

 [[ -1.58072368e-07  -6.44375348e-07]
  [ -1.33730339e-06  -1.04232208e-06]
  [ -2.18015543e-06  -1.46120306e-06]
  ..., 
  [ -4.15244040e-06  -1.35143239e-07]
  [ -2.62272647e-06  -1.51103748e-07]
  [ -1.25763529e-06  -1.46416895e-07]]

 ..., 
 [[ -7.47792602e-01   2.23771304e-01]
  [ -1.01097965e+00   3.19081157e-01]
  [ -1.21315801e+00   4.13137496e-01]
  ..., 
  [  1.17065728e+00   4.53589559e-01]
  [  6.99729264e-01   2.73834378e-01]
  [  3.40910792e-01   1.24526702e-01]]

 [[ -6.47279799e-01   1.82930633e-01]
  [ -9.01596546e-01   2.75329024e-01]
  [ -1.10242522e+00   3.67778450e-01]
  ..., 
  [  8.22115898e-01   3.13804775e-01]
  [  4.95364338e-01   1.97707474e-01]
  [  2.60805905e-01   9.58886817e-02]]

 [[ -5.42711258e-01   1.66034952e-01]
  [ -7.74738729e-01   2.51612127e-01]
  [ -9.61096346e-01   3.33374411e-01]
  ..., 
  [  5.08319557e-01   2.10175723e-01]
  [  2.59996265e-01   1.24555171e-01]
  [  1.52423456e-01   6.84018135e-02]]]",-0.170265547658,23.3639811574,,0.0,2.518856287
8.664e+11,,,,,,,,23.1050192809,,,2.57010245323
8.665e+11,,,,0.446108616775,-0.187804566458,"[[[ -1.47636422e-06   1.35124452e-07]
  [ -2.76692526e-06   1.31343270e-07]
  [ -4.32851175e-06   1.42943662e-07]
  ..., 
  [  9.12143605e-07   9.33120159e-09]
  [  5.97981170e-07   3.29548677e-09]
  [  3.59176653e-07   1.95556216e-09]]

 [[ -2.23333791e-06   2.16728040e-07]
  [ -4.01391981e-06   1.90066046e-07]
  [ -6.62192406e-06   1.97441238e-07]
  ..., 
  [  1.21854896e-06  -5.55501600e-08]
  [  7.82079042e-07  -4.21417674e-08]
  [  4.75038888e-07  -1.99265351e-08]]

 [[ -2.80969107e-06   2.58925866e-07]
  [ -5.02067905e-06   2.53512439e-07]
  [ -8.82884979e-06   3.42826780e-07]
  ..., 
  [  1.76421929e-06  -9.36187874e-08]
  [  1.10145027e-06  -7.61760575e-08]
  [  5.87274542e-07  -4.74461039e-08]]

 ..., 
 [[ -2.47793555e-01   2.61381984e-01]
  [ -3.57525021e-01   3.84038121e-01]
  [ -4.14776266e-01   4.67306167e-01]
  ..., 
  [  2.58432841e+00   1.03115797e+00]
  [  2.25409365e+00   8.84954929e-01]
  [  1.66616023e+00   6.27844036e-01]]

 [[ -1.59502164e-01   1.71095788e-01]
  [ -2.48635352e-01   2.77576089e-01]
  [ -3.03409278e-01   3.57846737e-01]
  ..., 
  [  2.16669416e+00   8.59728694e-01]
  [  1.88292694e+00   7.47008979e-01]
  [  1.41146600e+00   5.39290965e-01]]

 [[ -1.21609561e-01   1.37349382e-01]
  [ -2.01517940e-01   2.36331314e-01]
  [ -2.53013998e-01   3.13655406e-01]
  ..., 
  [  1.55885339e+00   5.87685943e-01]
  [  1.22721517e+00   4.67743874e-01]
  [  8.49657893e-01   3.24561775e-01]]]",-0.187804566458,22.8426684789,,0.0,2.61417007446
8.666e+11,,,,0.203803022157,0.314517132525,"[[[  1.79418453e-06   2.24954793e-08]
  [  3.05484173e-06   3.29042926e-08]
  [  4.61311447e-06   4.81164086e-08]
  ..., 
  [ -2.89639911e-06  -4.95954779e-08]
  [ -1.75291370e-06  -4.71602242e-08]
  [ -1.16080469e-06  -5.77883270e-08]]

 [[  2.86304225e-06  -1.92106437e-08]
  [  4.75786965e-06  -4.19887520e-08]
  [  7.58395436e-06  -6.20891925e-08]
  ..., 
  [ -4.39400765e-06  -8.51615525e-08]
  [ -2.73120895e-06  -6.82445886e-08]
  [ -1.79862525e-06  -8.62374065e-08]]

 [[  3.44635168e-06  -2.74363625e-08]
  [  5.58683769e-06  -1.29809507e-07]
  [  9.69601933e-06  -2.78502739e-07]
  ..., 
  [ -6.41404904e-06  -1.18322781e-07]
  [ -4.24249174e-06  -1.01387847e-07]
  [ -2.64070491e-06  -1.14505880e-07]]

 ..., 
 [[ -7.90436789e-02  -1.26291001e-02]
  [ -1.12414360e-01  -1.57787222e-02]
  [ -1.58108398e-01  -6.34790491e-03]
  ..., 
  [  2.21882677e+00   5.60512960e-01]
  [  1.98011065e+00   5.35979629e-01]
  [  1.46068501e+00   4.42546427e-01]]

 [[ -5.86209446e-02  -6.93451380e-03]
  [ -8.69022757e-02  -1.05305137e-02]
  [ -1.28545001e-01  -3.55325919e-03]
  ..., 
  [  1.96764135e+00   4.83319134e-01]
  [  1.64526069e+00   4.24050301e-01]
  [  1.04471564e+00   2.91343808e-01]]

 [[ -2.88477894e-02  -1.25653239e-03]
  [ -4.93757501e-02  -3.64724407e-03]
  [ -8.57854933e-02   2.74496060e-03]
  ..., 
  [  1.54653120e+00   4.54917550e-01]
  [  1.20410120e+00   3.58564943e-01]
  [  7.06886947e-01   2.24625841e-01]]]",0.314517132525,22.5423778835,,0.0,2.66253590584
8.667e+11,,,,0.194989818755,-0.0119194767594,"[[[ -1.11909469e-06   2.38001988e-07]
  [ -1.70702560e-06   3.21108331e-07]
  [ -2.46638820e-06   3.66110498e-07]
  ..., 
  [  2.75198909e-06  -5.15921386e-08]
  [  1.77670950e-06  -5.19827559e-08]
  [  1.27906435e-06  -6.66071003e-08]]

 [[ -1.47061462e-06   4.81884172e-07]
  [ -2.41117959e-06   6.79023969e-07]
  [ -3.70333919e-06   8.34874470e-07]
  ..., 
  [  3.80089136e-06  -4.52186164e-08]
  [  2.44213970e-06  -6.60720190e-08]
  [  1.65576046e-06  -9.85163382e-08]]

 [[ -1.97423810e-06   5.97072926e-07]
  [ -3.09710913e-06   9.03047919e-07]
  [ -4.97202109e-06   1.27246381e-06]
  ..., 
  [  5.54841063e-06  -1.16221649e-07]
  [  3.64381140e-06  -1.41666092e-07]
  [  2.21750815e-06  -1.52774632e-07]]

 ..., 
 [[ -5.42554408e-02   3.39141563e-02]
  [ -1.15053527e-01   7.24401623e-02]
  [ -2.14038894e-01   1.42790899e-01]
  ..., 
  [  1.18618560e+00   6.21221721e-01]
  [  1.10025954e+00   6.04363382e-01]
  [  1.03989935e+00   5.77746451e-01]]

 [[ -4.90413606e-02   3.15391384e-02]
  [ -9.50864255e-02   6.13257214e-02]
  [ -1.55464903e-01   1.07039563e-01]
  ..., 
  [  1.20081031e+00   5.57750762e-01]
  [  1.11130691e+00   5.34356833e-01]
  [  1.02759004e+00   5.00178754e-01]]

 [[ -3.84712331e-02   2.49984879e-02]
  [ -7.18751103e-02   4.90029976e-02]
  [ -1.14306144e-01   8.29425603e-02]
  ..., 
  [  1.05368292e+00   4.94891852e-01]
  [  9.51935410e-01   4.54095423e-01]
  [  8.66956651e-01   4.12414014e-01]]]",-0.0119194767594,22.3022691024,,0.0,2.69656395912
8.668e+11,,,,0.19653718788,0.0185445384004,"[[[ -3.16396353e-07   2.76705720e-07]
  [ -9.83910354e-07   2.86369783e-07]
  [ -1.98435146e-06   3.15561351e-07]
  ..., 
  [  2.59389367e-06  -1.02197248e-07]
  [  1.30337060e-06  -7.11054398e-08]
  [  6.47561365e-07  -4.99985084e-08]]

 [[ -8.29518228e-07   3.50934414e-07]
  [ -1.76570734e-06   3.14936074e-07]
  [ -3.61288630e-06   2.86890753e-07]
  ..., 
  [  3.71165015e-06  -1.86060703e-07]
  [  1.72307750e-06  -1.48192811e-07]
  [  8.16075328e-07  -1.24852463e-07]]

 [[ -1.31012132e-06   3.51744575e-07]
  [ -2.44727062e-06   1.98363324e-07]
  [ -5.11568260e-06   5.82313753e-08]
  ..., 
  [  5.29319095e-06  -1.82451146e-07]
  [  2.97340102e-06  -1.74075979e-07]
  [  1.64010464e-06  -1.61841456e-07]]

 ..., 
 [[ -7.27923065e-02   2.29192358e-02]
  [ -2.23595724e-01   8.06327686e-02]
  [ -4.35834020e-01   1.73383862e-01]
  ..., 
  [  7.82080412e-01   3.87106150e-01]
  [  6.83463037e-01   3.03582996e-01]
  [  6.00556374e-01   2.20832109e-01]]

 [[ -3.26691642e-02   5.92157338e-03]
  [ -1.17550656e-01   3.26557048e-02]
  [ -2.78551251e-01   9.72293764e-02]
  ..., 
  [  6.41676188e-01   3.20696265e-01]
  [  5.68679512e-01   2.58167297e-01]
  [  5.01392722e-01   1.87198132e-01]]

 [[ -2.16253549e-02   2.60791345e-03]
  [ -6.66254610e-02   1.19099040e-02]
  [ -1.65323630e-01   4.38989848e-02]
  ..., 
  [  5.08408606e-01   2.73772299e-01]
  [  4.50383157e-01   2.22376034e-01]
  [  3.84499878e-01   1.58975750e-01]]]",0.0185445384004,22.0251427054,,0.0,2.73502326012
8.669e+11,,,,0.223323059541,-0.180458735281,"[[[ -1.32399907e-06   1.54441864e-07]
  [ -1.96452402e-06   1.73968857e-07]
  [ -2.57685861e-06   1.52793945e-07]
  ..., 
  [ -2.98769351e-06  -1.55786832e-08]
  [ -1.58660441e-06  -1.91249505e-08]
  [ -9.95564506e-07  -2.16994902e-08]]

 [[ -1.61538992e-06   3.46035108e-07]
  [ -2.63632023e-06   4.37300031e-07]
  [ -3.76018875e-06   5.22949961e-07]
  ..., 
  [ -4.45764590e-06  -3.46980080e-08]
  [ -2.48001766e-06  -4.27263558e-08]
  [ -1.56797046e-06  -4.58942537e-08]]

 [[ -1.96396445e-06   5.04257912e-07]
  [ -3.45583521e-06   7.31864986e-07]
  [ -5.32500326e-06   9.59832619e-07]
  ..., 
  [ -6.67696668e-06  -1.45875960e-08]
  [ -4.14434498e-06  -3.97745659e-08]
  [ -2.53052235e-06  -4.46817658e-08]]

 ..., 
 [[ -2.67446548e-01   1.69392005e-01]
  [ -4.77209806e-01   3.03130150e-01]
  [ -7.23410010e-01   4.40602213e-01]
  ..., 
  [  4.97022361e-01   1.99005574e-01]
  [  3.22035491e-01   1.41593635e-01]
  [  1.72216937e-01   7.13628232e-02]]

 [[ -2.20042869e-01   1.43459260e-01]
  [ -4.19875443e-01   2.71353871e-01]
  [ -6.71965182e-01   4.13046300e-01]
  ..., 
  [  2.76130080e-01   1.38632014e-01]
  [  1.76027104e-01   1.08270444e-01]
  [  1.16531409e-01   5.98322786e-02]]

 [[ -1.73528314e-01   1.20667659e-01]
  [ -3.68627131e-01   2.47190997e-01]
  [ -6.13585532e-01   3.87241423e-01]
  ..., 
  [  1.58598170e-01   7.95385465e-02]
  [  9.27300230e-02   6.01444840e-02]
  [  6.15981594e-02   3.52522545e-02]]]",-0.180458735281,21.7442216034,,0.0,2.76644682884
