time,optic_flow,activation,optic_flow_cn45,activation_cn45,optic_flow_c45,distance,activation_c45,velocity
5.663e+11,"[[[  1.32371383e-06   8.67501171e-07]
  [  1.30633839e-06   8.17620105e-07]
  [  1.13516069e-06   7.02455850e-07]
  ..., 
  [ -5.28896226e-06  -9.76703632e-07]
  [ -5.68954647e-06  -8.79467621e-07]
  [ -5.33667435e-06  -6.47112984e-07]]

 [[  8.92639378e-07   7.77758771e-07]
  [  7.98025667e-07   7.64421543e-07]
  [  7.35999151e-07   6.97559869e-07]
  ..., 
  [ -7.65869845e-06  -1.24703274e-06]
  [ -8.39566928e-06  -1.05155380e-06]
  [ -7.86377404e-06  -6.46606622e-07]]

 [[  6.76364493e-07   4.68276482e-07]
  [  4.92545837e-07   5.53653933e-07]
  [  4.08979702e-07   5.90694640e-07]
  ..., 
  [ -9.40160317e-06  -2.21029109e-06]
  [ -1.05498157e-05  -2.06922027e-06]
  [ -9.98076030e-06  -1.40973918e-06]]

 ..., 
 [[  1.20718226e-01   7.86180943e-02]
  [  1.14778250e-01   7.11514428e-02]
  [  1.04065076e-01   6.52121007e-02]
  ..., 
  [  5.44632524e-02  -5.26414253e-02]
  [  8.11939538e-02  -3.62949707e-02]
  [  9.52005088e-02  -2.17344780e-02]]

 [[  1.32504910e-01   7.81506151e-02]
  [  1.23871744e-01   7.04145581e-02]
  [  1.13045163e-01   6.59953207e-02]
  ..., 
  [  4.52784263e-02  -4.98699732e-02]
  [  7.00138733e-02  -3.47858369e-02]
  [  8.46977830e-02  -2.09118780e-02]]

 [[  1.50166512e-01   5.81800491e-02]
  [  1.41344786e-01   5.24977781e-02]
  [  1.29307255e-01   5.40550537e-02]
  ..., 
  [  3.61544080e-02  -6.80612177e-02]
  [  5.84890619e-02  -5.21340966e-02]
  [  7.23280236e-02  -3.88447307e-02]]]",6.33907969624,,,,,,
5.664e+11,"[[[  1.95181883e-06  -1.64821938e-06]
  [  2.06563982e-06  -1.75781838e-06]
  [  2.11082079e-06  -1.61130686e-06]
  ..., 
  [ -1.09171572e-06  -7.76983256e-07]
  [ -7.41268366e-07  -7.77137302e-07]
  [ -4.95696099e-07  -7.10777783e-07]]

 [[  2.07584685e-06  -2.23220331e-06]
  [  2.37931386e-06  -2.45712204e-06]
  [  2.74751665e-06  -2.34947197e-06]
  ..., 
  [ -1.03831633e-06  -1.38400753e-06]
  [ -7.62324362e-07  -1.40170596e-06]
  [ -5.70950135e-07  -1.26349619e-06]]

 [[  2.06579080e-06  -2.57745592e-06]
  [  2.52551740e-06  -2.90594107e-06]
  [  3.03977458e-06  -2.83100485e-06]
  ..., 
  [ -1.37972529e-06  -2.41847511e-06]
  [ -1.30077956e-06  -2.40411305e-06]
  [ -1.30367584e-06  -2.04617527e-06]]

 ..., 
 [[  2.94618219e-01  -1.85014081e+00]
  [  2.69661963e-01  -1.86717951e+00]
  [  2.66066611e-01  -1.88520634e+00]
  ..., 
  [ -5.36408186e-01  -1.51460540e+00]
  [ -6.14361167e-01  -1.53246093e+00]
  [ -6.25160217e-01  -1.55855584e+00]]

 [[  2.84519434e-01  -1.86369956e+00]
  [  2.60312229e-01  -1.87458098e+00]
  [  2.59160757e-01  -1.88696015e+00]
  ..., 
  [ -5.03379166e-01  -1.47783530e+00]
  [ -5.61702788e-01  -1.50410271e+00]
  [ -5.72769642e-01  -1.53702390e+00]]

 [[  2.84797937e-01  -1.85032368e+00]
  [  2.65898257e-01  -1.85984921e+00]
  [  2.64084637e-01  -1.86958122e+00]
  ..., 
  [ -4.45482731e-01  -1.32058513e+00]
  [ -4.76085901e-01  -1.35405362e+00]
  [ -4.87787753e-01  -1.39752388e+00]]]",-1932.54835114,,,,30.0762584444,,0.0140126906335
5.665e+11,"[[[ -3.03987292e-07  -6.28082034e-07]
  [  9.61772741e-08  -7.20385231e-07]
  [  4.34095881e-07  -7.92616049e-07]
  ..., 
  [  1.85922011e-06   1.22379461e-07]
  [  8.51611389e-07   2.21316981e-07]
  [ -2.23557819e-07   1.54650266e-07]]

 [[ -3.84090981e-07  -1.71214458e-06]
  [  1.29513083e-07  -1.86098805e-06]
  [  5.37589415e-07  -1.91751792e-06]
  ..., 
  [  8.28552345e-07  -2.85220153e-07]
  [  1.34186777e-07  -2.10870027e-07]
  [ -7.31421835e-07  -2.22264831e-07]]

 [[ -4.13665049e-07  -3.04789432e-06]
  [  7.53994129e-08  -3.23537870e-06]
  [  4.95114193e-07  -3.26630970e-06]
  ..., 
  [ -3.66472733e-07  -4.23859461e-07]
  [ -7.36363859e-07  -4.72993065e-07]
  [ -1.21138692e-06  -6.67602194e-07]]

 ..., 
 [[  1.26452470e+00  -5.57677555e+00]
  [  1.24254155e+00  -5.55623484e+00]
  [  1.19236732e+00  -5.54109287e+00]
  ..., 
  [ -5.44064403e-01  -4.74704409e+00]
  [ -4.85233098e-01  -4.67775583e+00]
  [ -5.30048132e-01  -4.75125408e+00]]

 [[  1.28845322e+00  -5.48930120e+00]
  [  1.27240026e+00  -5.46022987e+00]
  [  1.23973083e+00  -5.45065880e+00]
  ..., 
  [ -5.06101012e-01  -4.37989330e+00]
  [ -4.89507407e-01  -4.32435608e+00]
  [ -5.23875892e-01  -4.46480942e+00]]

 [[  1.25776339e+00  -5.30388069e+00]
  [  1.24467289e+00  -5.26622629e+00]
  [  1.23500347e+00  -5.26225948e+00]
  ..., 
  [ -4.31074172e-01  -3.69538260e+00]
  [ -4.31416601e-01  -3.69232750e+00]
  [ -4.42743093e-01  -3.87506318e+00]]]",-5459.29379463,,,,30.0671511601,,0.081135481596
5.666e+11,"[[[  9.21615992e-07   2.32406296e-06]
  [  4.27885681e-07   2.53608073e-06]
  [  4.18214938e-07   2.70612236e-06]
  ..., 
  [ -2.88004844e-06   1.29348803e-06]
  [ -2.01439707e-06   1.05187007e-06]
  [ -8.65675418e-07   8.44409783e-07]]

 [[  1.51872825e-06   3.10929340e-06]
  [  1.09025621e-06   3.35155210e-06]
  [  1.09479686e-06   3.54028771e-06]
  ..., 
  [ -2.99180670e-06   1.09282530e-06]
  [ -2.31479748e-06   9.30043655e-07]
  [ -1.59895728e-06   8.00285818e-07]]

 [[  2.11908082e-06   4.13874204e-06]
  [  1.82966903e-06   4.44879015e-06]
  [  1.86076488e-06   4.65597350e-06]
  ..., 
  [ -2.50725498e-06   8.92244998e-07]
  [ -1.65517349e-06   8.19794764e-07]
  [ -1.53220878e-06   9.12671737e-07]]

 ..., 
 [[ -9.66703594e-01   4.42089367e+00]
  [ -8.74638021e-01   4.48805809e+00]
  [ -7.48998344e-01   4.47606373e+00]
  ..., 
  [  2.13201135e-01   3.67380118e+00]
  [  2.92077571e-01   3.49069214e+00]
  [  3.29434395e-01   3.29682279e+00]]

 [[ -9.68914926e-01   4.33405399e+00]
  [ -8.63968849e-01   4.38967991e+00]
  [ -7.03790367e-01   4.35494757e+00]
  ..., 
  [  1.54573768e-01   3.56641102e+00]
  [  2.56832153e-01   3.33942628e+00]
  [  3.19532365e-01   3.09637499e+00]]

 [[ -9.28193033e-01   4.15907192e+00]
  [ -7.88156152e-01   4.18366575e+00]
  [ -5.93783796e-01   4.12164927e+00]
  ..., 
  [  8.58151838e-02   3.39843559e+00]
  [  1.98285073e-01   3.13363385e+00]
  [  2.60712296e-01   2.79365587e+00]]]",4382.84150945,,,,30.0479902969,,0.223172426224
5.667e+11,"[[[ -1.05041738e-06   3.74548290e-06]
  [ -1.13289195e-06   3.66347058e-06]
  [ -1.36601489e-06   3.44635987e-06]
  ..., 
  [  2.57545298e-06   1.03372145e-07]
  [  2.65801873e-06   3.19075184e-07]
  [  2.62888102e-06   4.67564490e-07]]

 [[ -2.01412013e-06   5.14317344e-06]
  [ -2.21619689e-06   5.29773024e-06]
  [ -2.58693899e-06   5.22521896e-06]
  ..., 
  [  2.75877483e-06   3.27153401e-07]
  [  2.85706733e-06   6.06637343e-07]
  [  2.62671074e-06   7.63080493e-07]]

 [[ -3.38235441e-06   6.66210690e-06]
  [ -3.68184692e-06   7.07079062e-06]
  [ -4.12910458e-06   7.08140897e-06]
  ..., 
  [  2.21441496e-06   4.06519604e-07]
  [  2.37198446e-06   7.80847245e-07]
  [  2.36891310e-06   9.85657948e-07]]

 ..., 
 [[ -1.38968301e+00   4.72242641e+00]
  [ -1.32150543e+00   4.64528179e+00]
  [ -1.21951270e+00   4.64322758e+00]
  ..., 
  [  7.22037911e-01   3.72447085e+00]
  [  7.48332560e-01   3.70745945e+00]
  [  8.18744838e-01   3.73342276e+00]]

 [[ -1.42150199e+00   4.61369038e+00]
  [ -1.34843981e+00   4.51802206e+00]
  [ -1.24643910e+00   4.52198887e+00]
  ..., 
  [  6.38304353e-01   3.49227285e+00]
  [  6.65230155e-01   3.46845102e+00]
  [  7.21577883e-01   3.46988320e+00]]

 [[ -1.41616690e+00   4.37164974e+00]
  [ -1.33364201e+00   4.18533897e+00]
  [ -1.21994221e+00   4.14482546e+00]
  ..., 
  [  5.25708020e-01   3.00968337e+00]
  [  5.34328222e-01   2.91476488e+00]
  [  5.60038507e-01   2.79940200e+00]]]",4401.06346924,,,,30.0131495606,,0.411575376987
5.668e+11,"[[[  3.02671992e-07   1.90118158e-06]
  [  7.98239839e-08   1.86445141e-06]
  [ -1.60905529e-07   1.64566632e-06]
  ..., 
  [  2.91764309e-06   2.82334827e-06]
  [  4.76268451e-06   2.73689170e-06]
  [  5.28200508e-06   3.09953771e-06]]

 [[  2.81708992e-07   2.29097645e-06]
  [  1.35212773e-07   2.38015764e-06]
  [ -1.65111402e-07   2.23132633e-06]
  ..., 
  [  2.77163849e-06   5.08700487e-06]
  [  5.63231924e-06   4.85421970e-06]
  [  6.98447957e-06   5.22487881e-06]]

 [[ -8.48622772e-09   2.92950267e-06]
  [  5.29452784e-08   3.31475826e-06]
  [ -3.58449995e-07   3.32947889e-06]
  ..., 
  [  2.45081469e-06   7.03823616e-06]
  [  5.78265599e-06   6.90050547e-06]
  [  7.59489649e-06   7.32539775e-06]]

 ..., 
 [[ -7.65065908e-01   3.04582381e+00]
  [ -7.82759547e-01   3.05427122e+00]
  [ -7.91306555e-01   3.05509210e+00]
  ..., 
  [  7.71367967e-01   2.50716662e+00]
  [  7.80412614e-01   2.48917770e+00]
  [  7.81669259e-01   2.48857522e+00]]

 [[ -7.64353991e-01   3.05396748e+00]
  [ -7.83812106e-01   3.06644821e+00]
  [ -7.91213393e-01   3.06959486e+00]
  ..., 
  [  7.54178941e-01   2.44560909e+00]
  [  7.53681660e-01   2.42732739e+00]
  [  7.53528655e-01   2.42129564e+00]]

 [[ -7.42365360e-01   3.01837754e+00]
  [ -7.66283333e-01   3.03966928e+00]
  [ -7.72907913e-01   3.05055857e+00]
  ..., 
  [  7.26199746e-01   2.28066468e+00]
  [  7.27042139e-01   2.28698111e+00]
  [  7.22723544e-01   2.27669525e+00]]]",2730.49212261,,,,29.961368167,,0.578130960464
5.669e+11,"[[[  3.33021433e-07   5.25420035e-07]
  [  3.31898605e-07   4.55215940e-07]
  [  4.72441286e-07   4.81158395e-07]
  ..., 
  [ -5.13328632e-06  -3.56926051e-07]
  [ -6.32222327e-06  -2.60701228e-07]
  [ -6.87396005e-06  -3.57254521e-07]]

 [[  6.41884924e-07   5.30895818e-07]
  [  6.24536199e-07   4.67193388e-07]
  [  7.73191516e-07   5.10405528e-07]
  ..., 
  [ -6.80220592e-06  -1.79445897e-06]
  [ -8.69396081e-06  -1.46637456e-06]
  [ -9.85867882e-06  -1.60320735e-06]]

 [[  9.89558771e-07   2.51755608e-07]
  [  9.70027486e-07   2.03118759e-07]
  [  1.22219865e-06   3.44981316e-07]
  ..., 
  [ -7.84890199e-06  -3.07937216e-06]
  [ -9.91032357e-06  -2.66015877e-06]
  [ -1.14400927e-05  -2.81229427e-06]]

 ..., 
 [[ -4.19816792e-01   1.20656669e+00]
  [ -4.11920905e-01   1.21231341e+00]
  [ -3.78700793e-01   1.21310234e+00]
  ..., 
  [  5.19087434e-01   9.36318815e-01]
  [  5.76748729e-01   9.12115216e-01]
  [  6.45677924e-01   8.85672450e-01]]

 [[ -3.93234968e-01   1.19859791e+00]
  [ -3.85018349e-01   1.20462537e+00]
  [ -3.59406799e-01   1.20986724e+00]
  ..., 
  [  5.41125774e-01   9.35172975e-01]
  [  5.89480281e-01   9.10717189e-01]
  [  6.44198716e-01   8.83778811e-01]]

 [[ -3.87111545e-01   1.20293343e+00]
  [ -3.81932586e-01   1.21068740e+00]
  [ -3.60951751e-01   1.21719635e+00]
  ..., 
  [  5.42291224e-01   9.49700773e-01]
  [  5.79493105e-01   9.14040923e-01]
  [  6.17088556e-01   8.73313785e-01]]]",825.265236409,,,,29.8917510231,,0.699552118778
5.67e+11,"[[[ -1.33635865e-06  -2.00620789e-07]
  [ -1.35945186e-06  -1.19271078e-07]
  [ -8.06155697e-07  -2.95609723e-08]
  ..., 
  [ -2.74418312e-06  -9.89252271e-08]
  [ -2.80357881e-06  -1.50343197e-07]
  [ -2.88096453e-06  -2.43076187e-07]]

 [[ -1.76622950e-06  -3.73348769e-07]
  [ -1.92839843e-06  -3.29755466e-07]
  [ -1.34657409e-06  -2.69999077e-07]
  ..., 
  [ -2.54592328e-06  -5.24638665e-07]
  [ -2.96893313e-06  -5.50934033e-07]
  [ -3.06454513e-06  -6.40667281e-07]]

 [[ -1.95788152e-06  -7.54540565e-07]
  [ -2.13765406e-06  -7.61216313e-07]
  [ -1.56172223e-06  -7.93793447e-07]
  ..., 
  [ -1.54897020e-06  -8.35932781e-07]
  [ -2.31555873e-06  -9.19767103e-07]
  [ -2.77232357e-06  -1.04516334e-06]]

 ..., 
 [[ -3.56942087e-01   6.03039980e-01]
  [ -3.52696002e-01   6.06466413e-01]
  [ -3.30874950e-01   6.05797529e-01]
  ..., 
  [  4.94716525e-01   4.70806003e-01]
  [  5.56073427e-01   4.12537009e-01]
  [  5.75082481e-01   3.95532399e-01]]

 [[ -3.48789752e-01   6.00360334e-01]
  [ -3.47829968e-01   6.07408941e-01]
  [ -3.33963215e-01   6.13613486e-01]
  ..., 
  [  5.03180504e-01   4.24516618e-01]
  [  5.50665975e-01   3.66352379e-01]
  [  5.62636256e-01   3.46481144e-01]]

 [[ -3.32539380e-01   5.98742425e-01]
  [ -3.31715137e-01   6.04893267e-01]
  [ -3.21414024e-01   6.09212756e-01]
  ..., 
  [  5.18836915e-01   4.06383663e-01]
  [  5.45674264e-01   3.54265004e-01]
  [  5.56224167e-01   3.32438111e-01]]]",342.229186202,,,,29.8137419344,,0.781101226807
5.671e+11,"[[[  4.08936421e-06   4.79520395e-07]
  [  3.66002337e-06   3.66926741e-07]
  [  2.96863413e-06   2.24957745e-07]
  ..., 
  [ -1.01531998e-06  -8.16078284e-07]
  [ -3.96968431e-08  -6.00925944e-07]
  [ -9.25959910e-07  -4.98548502e-07]]

 [[  5.72516774e-06   6.85317900e-07]
  [  5.12300403e-06   5.45346154e-07]
  [  4.26143197e-06   3.64021361e-07]
  ..., 
  [ -1.04704588e-06  -3.28645058e-07]
  [  6.63938465e-07  -2.30604840e-07]
  [  4.67036791e-08  -2.89476390e-07]]

 [[  6.94648497e-06   9.11032998e-07]
  [  6.08356368e-06   7.81364349e-07]
  [  5.05285789e-06   5.82991902e-07]
  ..., 
  [ -5.58365116e-07   8.68624284e-07]
  [  1.57892885e-06   8.34434729e-07]
  [  1.35285541e-06   4.00533935e-07]]

 ..., 
 [[ -3.83899719e-01   7.64950573e-01]
  [ -3.73396277e-01   7.67146409e-01]
  [ -3.38243484e-01   7.66860664e-01]
  ..., 
  [  5.19032478e-01   5.18606126e-01]
  [  4.80149657e-01   5.12479424e-01]
  [  4.78666872e-01   4.68637347e-01]]

 [[ -4.01901424e-01   7.66437411e-01]
  [ -3.86459976e-01   7.66517460e-01]
  [ -3.51724982e-01   7.63223946e-01]
  ..., 
  [  5.14808714e-01   5.11561930e-01]
  [  4.82476741e-01   5.02132177e-01]
  [  4.74906296e-01   4.52529699e-01]]

 [[ -4.06984866e-01   7.59643018e-01]
  [ -3.88301641e-01   7.58717060e-01]
  [ -3.57235044e-01   7.54940689e-01]
  ..., 
  [  4.85567659e-01   5.01890063e-01]
  [  4.61898208e-01   4.92836684e-01]
  [  4.46640670e-01   4.45662826e-01]]]",623.161137997,,,,29.7278958695,,0.830709338188
5.672e+11,"[[[ -8.90607566e-07  -3.69436066e-07]
  [ -4.79546770e-07  -4.20268776e-07]
  [ -3.73761225e-07  -4.89044055e-07]
  ..., 
  [ -1.63390030e-06   1.53606334e-06]
  [ -4.25864937e-06   1.60551519e-06]
  [ -4.50564903e-06   1.35485197e-06]]

 [[ -2.26517022e-06  -4.60983642e-07]
  [ -1.76559092e-06  -5.09407357e-07]
  [ -1.80122686e-06  -6.17572766e-07]
  ..., 
  [ -2.76986088e-06   1.74105253e-06]
  [ -6.08636674e-06   1.82536667e-06]
  [ -6.83475719e-06   1.62115100e-06]]

 [[ -3.62793207e-06  -5.67353311e-07]
  [ -3.04273181e-06  -6.28064015e-07]
  [ -3.15231500e-06  -7.67377287e-07]
  ..., 
  [ -3.70599059e-06   1.55807243e-06]
  [ -7.44408089e-06   1.52950201e-06]
  [ -8.17835371e-06   1.40720522e-06]]

 ..., 
 [[ -5.08833826e-01   1.13826942e+00]
  [ -5.11835396e-01   1.11897016e+00]
  [ -4.89777982e-01   1.10720575e+00]
  ..., 
  [  5.68151116e-01   8.71853054e-01]
  [  6.02873206e-01   8.21908057e-01]
  [  5.97716093e-01   7.61871397e-01]]

 [[ -5.16168594e-01   1.14342320e+00]
  [ -5.12382805e-01   1.12305295e+00]
  [ -4.95835423e-01   1.11560869e+00]
  ..., 
  [  5.15866101e-01   8.41265738e-01]
  [  5.46118677e-01   7.88428962e-01]
  [  5.25755584e-01   7.15394497e-01]]

 [[ -5.16394079e-01   1.13053918e+00]
  [ -5.07613420e-01   1.11144006e+00]
  [ -4.93648082e-01   1.10417521e+00]
  ..., 
  [  5.07337391e-01   7.86893845e-01]
  [  5.29073000e-01   7.37550974e-01]
  [  5.08901119e-01   6.62400424e-01]]]",747.452536373,,,,29.6392294111,,0.86349773407
