,activation_0,activation_1,activation_2,activation_3,activation_4,dist,id,vel
10,"[ 569.76483154   36.96462631   35.66336823  260.49533081  350.30932617
  133.32771301  251.48658752  230.62493896  208.1627655   142.73934937]","[ 147.71614075   41.55441284   57.27581024  152.45230103  129.92103577
    0.28989646  103.80940247   83.13654327   58.39971924   14.68788528]","[  7.92205477   4.07170916  17.7511673    3.81216693  12.24085999
   5.84808445   2.11266875  12.35937691   3.64704919   2.34425783]","[   1.49538291   77.23871613  259.63275146   85.17347717  221.60990906
   53.95029449  215.72099304  101.98000336  117.24204254   73.32352448]","[  58.46058273    6.59971523  426.88009644  140.58364868  583.75549316
  153.60609436  359.98919678  272.9932251   267.53295898  252.59864807]",23.9271469116,0,2.0
11,"[  36.96462631   35.66336823  260.49533081  350.30932617  133.32771301
  251.48658752  230.62493896  208.1627655   142.73934937  168.4250946 ]","[  41.55441284   57.27581024  152.45230103  129.92103577    0.28989646
  103.80940247   83.13654327   58.39971924   14.68788528   22.94886398]","[  4.07170916  17.7511673    3.81216693  12.24085999   5.84808445
   2.11266875  12.35937691   3.64704919   2.34425783   0.92194217]","[  77.23871613  259.63275146   85.17347717  221.60990906   53.95029449
  215.72099304  101.98000336  117.24204254   73.32352448   41.65027237]","[   6.59971523  426.88009644  140.58364868  583.75549316  153.60609436
  359.98919678  272.9932251   267.53295898  252.59864807  145.91593933]",23.7492084503,0,2.0
12,"[  35.66336823  260.49533081  350.30932617  133.32771301  251.48658752
  230.62493896  208.1627655   142.73934937  168.4250946    99.90246582]","[  57.27581024  152.45230103  129.92103577    0.28989646  103.80940247
   83.13654327   58.39971924   14.68788528   22.94886398   38.28952026]","[ 17.7511673    3.81216693  12.24085999   5.84808445   2.11266875
  12.35937691   3.64704919   2.34425783   0.92194217   0.08866602]","[ 259.63275146   85.17347717  221.60990906   53.95029449  215.72099304
  101.98000336  117.24204254   73.32352448   41.65027237   65.29619598]","[ 426.88009644  140.58364868  583.75549316  153.60609436  359.98919678
  272.9932251   267.53295898  252.59864807  145.91593933  136.60850525]",23.5683174133,0,2.0
13,"[ 260.49533081  350.30932617  133.32771301  251.48658752  230.62493896
  208.1627655   142.73934937  168.4250946    99.90246582   42.38584137]","[ 152.45230103  129.92103577    0.28989646  103.80940247   83.13654327
   58.39971924   14.68788528   22.94886398   38.28952026    9.42598438]","[  3.81216693  12.24085999   5.84808445   2.11266875  12.35937691
   3.64704919   2.34425783   0.92194217   0.08866602   6.15704012]","[  85.17347717  221.60990906   53.95029449  215.72099304  101.98000336
  117.24204254   73.32352448   41.65027237   65.29619598   32.66614151]","[ 140.58364868  583.75549316  153.60609436  359.98919678  272.9932251
  267.53295898  252.59864807  145.91593933  136.60850525  295.73153687]",23.3827705383,0,2.0
14,"[ 350.30932617  133.32771301  251.48658752  230.62493896  208.1627655
  142.73934937  168.4250946    99.90246582   42.38584137   86.18010712]","[ 129.92103577    0.28989646  103.80940247   83.13654327   58.39971924
   14.68788528   22.94886398   38.28952026    9.42598438   63.35013199]","[ 12.24085999   5.84808445   2.11266875  12.35937691   3.64704919
   2.34425783   0.92194217   0.08866602   6.15704012   1.30353463]","[ 221.60990906   53.95029449  215.72099304  101.98000336  117.24204254
   73.32352448   41.65027237   65.29619598   32.66614151   38.68466568]","[ 583.75549316  153.60609436  359.98919678  272.9932251   267.53295898
  252.59864807  145.91593933  136.60850525  295.73153687   47.32132339]",23.0047264099,0,2.0
15,"[ 133.32771301  251.48658752  230.62493896  208.1627655   142.73934937
  168.4250946    99.90246582   42.38584137   86.18010712   60.41757965]","[   0.28989646  103.80940247   83.13654327   58.39971924   14.68788528
   22.94886398   38.28952026    9.42598438   63.35013199    2.1231575 ]","[  5.84808445   2.11266875  12.35937691   3.64704919   2.34425783
   0.92194217   0.08866602   6.15704012   1.30353463   8.39358521]","[  53.95029449  215.72099304  101.98000336  117.24204254   73.32352448
   41.65027237   65.29619598   32.66614151   38.68466568   70.27176666]","[ 153.60609436  359.98919678  272.9932251   267.53295898  252.59864807
  145.91593933  136.60850525  295.73153687   47.32132339  284.18270874]",22.8126583099,0,2.0
16,"[ 251.48658752  230.62493896  208.1627655   142.73934937  168.4250946
   99.90246582   42.38584137   86.18010712   60.41757965   17.96448135]","[ 103.80940247   83.13654327   58.39971924   14.68788528   22.94886398
   38.28952026    9.42598438   63.35013199    2.1231575    26.17346191]","[  2.11266875  12.35937691   3.64704919   2.34425783   0.92194217
   0.08866602   6.15704012   1.30353463   8.39358521   3.91302705]","[ 215.72099304  101.98000336  117.24204254   73.32352448   41.65027237
   65.29619598   32.66614151   38.68466568   70.27176666   49.68507385]","[ 359.98919678  272.9932251   267.53295898  252.59864807  145.91593933
  136.60850525  295.73153687   47.32132339  284.18270874   60.68913651]",22.6184597015,0,2.0
17,"[ 230.62493896  208.1627655   142.73934937  168.4250946    99.90246582
   42.38584137   86.18010712   60.41757965   17.96448135  369.45755005]","[  83.13654327   58.39971924   14.68788528   22.94886398   38.28952026
    9.42598438   63.35013199    2.1231575    26.17346191  113.12888336]","[ 12.35937691   3.64704919   2.34425783   0.92194217   0.08866602
   6.15704012   1.30353463   8.39358521   3.91302705  10.93855953]","[ 101.98000336  117.24204254   73.32352448   41.65027237   65.29619598
   32.66614151   38.68466568   70.27176666   49.68507385    6.24580908]","[ 272.9932251   267.53295898  252.59864807  145.91593933  136.60850525
  295.73153687   47.32132339  284.18270874   60.68913651    7.07908726]",22.4230518341,0,2.0
18,"[ 208.1627655   142.73934937  168.4250946    99.90246582   42.38584137
   86.18010712   60.41757965   17.96448135  369.45755005  312.15933228]","[  58.39971924   14.68788528   22.94886398   38.28952026    9.42598438
   63.35013199    2.1231575    26.17346191  113.12888336  168.49830627]","[  3.64704919   2.34425783   0.92194217   0.08866602   6.15704012
   1.30353463   8.39358521   3.91302705  10.93855953   7.92960358]","[ 117.24204254   73.32352448   41.65027237   65.29619598   32.66614151
   38.68466568   70.27176666   49.68507385    6.24580908   85.51107025]","[ 267.53295898  252.59864807  145.91593933  136.60850525  295.73153687
   47.32132339  284.18270874   60.68913651    7.07908726  321.64260864]",22.0270671844,0,2.0
19,"[ 142.73934937  168.4250946    99.90246582   42.38584137   86.18010712
   60.41757965   17.96448135  369.45755005  312.15933228   10.32289028]","[  14.68788528   22.94886398   38.28952026    9.42598438   63.35013199
    2.1231575    26.17346191  113.12888336  168.49830627    5.63500738]","[  2.34425783   0.92194217   0.08866602   6.15704012   1.30353463
   8.39358521   3.91302705  10.93855953   7.92960358   4.9876523 ]","[ 73.32352448  41.65027237  65.29619598  32.66614151  38.68466568
  70.27176666  49.68507385   6.24580908  85.51107025  48.0970993 ]","[ 252.59864807  145.91593933  136.60850525  295.73153687   47.32132339
  284.18270874   60.68913651    7.07908726  321.64260864  173.74978638]",21.8285770416,0,2.0
