,activation_0,activation_1,activation_2,activation_3,activation_4,dist,id,vel
10,"[ 186.34089661  190.29670715  488.64025879  112.97158051  428.47991943
   23.98668671  364.96176147  275.95358276   92.2778244   180.54518127]","[  46.48054504  154.14324951  153.           57.80789566  115.32566071
    1.74935913   80.32553101   48.08372879   19.76400185   21.79051018]","[  8.00625038   7.90894604  16.03656197   3.6918776   10.843503
   4.14849186   5.48007679   3.98725724   1.3192625    3.60687733]","[  44.35359955  245.53282166  192.03523254   22.01727295   34.35531998
   61.61306763  193.37161255   53.64734268  150.69749451   42.7741394 ]","[ 320.86166382  153.30696106  476.86657715  355.79629517  602.17791748
  195.50205994  445.91860962  303.82199097  367.62103271  221.73226929]",24.0440254211,0,2.0
11,"[ 190.29670715  488.64025879  112.97158051  428.47991943   23.98668671
  364.96176147  275.95358276   92.2778244   180.54518127  101.83654785]","[ 154.14324951  153.           57.80789566  115.32566071    1.74935913
   80.32553101   48.08372879   19.76400185   21.79051018   15.48711205]","[  7.90894604  16.03656197   3.6918776   10.843503     4.14849186
   5.48007679   3.98725724   1.3192625    3.60687733   2.43005347]","[ 245.53282166  192.03523254   22.01727295   34.35531998   61.61306763
  193.37161255   53.64734268  150.69749451   42.7741394    45.38239288]","[ 153.30696106  476.86657715  355.79629517  602.17791748  195.50205994
  445.91860962  303.82199097  367.62103271  221.73226929  164.75434875]",23.8599872589,0,2.0
12,"[ 488.64025879  112.97158051  428.47991943   23.98668671  364.96176147
  275.95358276   92.2778244   180.54518127  101.83654785  279.99865723]","[ 153.           57.80789566  115.32566071    1.74935913   80.32553101
   48.08372879   19.76400185   21.79051018   15.48711205   67.04859161]","[ 16.03656197   3.6918776   10.843503     4.14849186   5.48007679
   3.98725724   1.3192625    3.60687733   2.43005347   7.51016378]","[ 192.03523254   22.01727295   34.35531998   61.61306763  193.37161255
   53.64734268  150.69749451   42.7741394    45.38239288  103.44564056]","[ 476.86657715  355.79629517  602.17791748  195.50205994  445.91860962
  303.82199097  367.62103271  221.73226929  164.75434875  236.14616394]",23.6851997375,0,2.0
13,"[ 112.97158051  428.47991943   23.98668671  364.96176147  275.95358276
   92.2778244   180.54518127  101.83654785  279.99865723   86.18593597]","[  57.80789566  115.32566071    1.74935913   80.32553101   48.08372879
   19.76400185   21.79051018   15.48711205   67.04859161   17.576231  ]","[  3.6918776   10.843503     4.14849186   5.48007679   3.98725724
   1.3192625    3.60687733   2.43005347   7.51016378   1.05860829]","[  22.01727295   34.35531998   61.61306763  193.37161255   53.64734268
  150.69749451   42.7741394    45.38239288  103.44564056   16.89118195]","[ 355.79629517  602.17791748  195.50205994  445.91860962  303.82199097
  367.62103271  221.73226929  164.75434875  236.14616394  152.57188416]",23.5064582825,0,2.0
14,"[ 428.47991943   23.98668671  364.96176147  275.95358276   92.2778244
  180.54518127  101.83654785  279.99865723   86.18593597   26.22801399]","[ 115.32566071    1.74935913   80.32553101   48.08372879   19.76400185
   21.79051018   15.48711205   67.04859161   17.576231      2.99705124]","[ 10.843503     4.14849186   5.48007679   3.98725724   1.3192625
   3.60687733   2.43005347   7.51016378   1.05860829   1.40988493]","[  34.35531998   61.61306763  193.37161255   53.64734268  150.69749451
   42.7741394    45.38239288  103.44564056   16.89118195   18.28625679]","[ 602.17791748  195.50205994  445.91860962  303.82199097  367.62103271
  221.73226929  164.75434875  236.14616394  152.57188416  101.57382202]",23.3243331909,0,2.0
15,"[  23.98668671  364.96176147  275.95358276   92.2778244   180.54518127
  101.83654785  279.99865723   86.18593597   26.22801399   20.55498695]","[  1.74935913  80.32553101  48.08372879  19.76400185  21.79051018
  15.48711205  67.04859161  17.576231     2.99705124  47.3786087 ]","[ 4.14849186  5.48007679  3.98725724  1.3192625   3.60687733  2.43005347
  7.51016378  1.05860829  1.40988493  1.96948397]","[  61.61306763  193.37161255   53.64734268  150.69749451   42.7741394
   45.38239288  103.44564056   16.89118195   18.28625679   25.21950531]","[ 195.50205994  445.91860962  303.82199097  367.62103271  221.73226929
  164.75434875  236.14616394  152.57188416  101.57382202   52.88243484]",23.1544494629,0,2.0
16,"[ 364.96176147  275.95358276   92.2778244   180.54518127  101.83654785
  279.99865723   86.18593597   26.22801399   20.55498695    1.95738637]","[ 80.32553101  48.08372879  19.76400185  21.79051018  15.48711205
  67.04859161  17.576231     2.99705124  47.3786087    8.18848228]","[ 5.48007679  3.98725724  1.3192625   3.60687733  2.43005347  7.51016378
  1.05860829  1.40988493  1.96948397  6.24934244]","[ 193.37161255   53.64734268  150.69749451   42.7741394    45.38239288
  103.44564056   16.89118195   18.28625679   25.21950531  107.703125  ]","[ 445.91860962  303.82199097  367.62103271  221.73226929  164.75434875
  236.14616394  152.57188416  101.57382202   52.88243484  388.49990845]",22.9526309967,0,2.0
17,"[ 275.95358276   92.2778244   180.54518127  101.83654785  279.99865723
   86.18593597   26.22801399   20.55498695    1.95738637   15.87044907]","[ 48.08372879  19.76400185  21.79051018  15.48711205  67.04859161
  17.576231     2.99705124  47.3786087    8.18848228  31.88798332]","[ 3.98725724  1.3192625   3.60687733  2.43005347  7.51016378  1.05860829
  1.40988493  1.96948397  6.24934244  1.44599128]","[  53.64734268  150.69749451   42.7741394    45.38239288  103.44564056
   16.89118195   18.28625679   25.21950531  107.703125     41.9994545 ]","[ 303.82199097  367.62103271  221.73226929  164.75434875  236.14616394
  152.57188416  101.57382202   52.88243484  388.49990845   35.45042419]",22.7630767822,0,2.0
18,"[  92.2778244   180.54518127  101.83654785  279.99865723   86.18593597
   26.22801399   20.55498695    1.95738637   15.87044907  121.18392181]","[ 19.76400185  21.79051018  15.48711205  67.04859161  17.576231
   2.99705124  47.3786087    8.18848228  31.88798332  23.59028435]","[ 1.3192625   3.60687733  2.43005347  7.51016378  1.05860829  1.40988493
  1.96948397  6.24934244  1.44599128  2.38593268]","[ 150.69749451   42.7741394    45.38239288  103.44564056   16.89118195
   18.28625679   25.21950531  107.703125     41.9994545    30.50286293]","[ 367.62103271  221.73226929  164.75434875  236.14616394  152.57188416
  101.57382202   52.88243484  388.49990845   35.45042419   50.10718536]",22.5711841583,0,2.0
19,"[ 180.54518127  101.83654785  279.99865723   86.18593597   26.22801399
   20.55498695    1.95738637   15.87044907  121.18392181   91.90286255]","[ 21.79051018  15.48711205  67.04859161  17.576231     2.99705124
  47.3786087    8.18848228  31.88798332  23.59028435  13.29550457]","[ 3.60687733  2.43005347  7.51016378  1.05860829  1.40988493  1.96948397
  6.24934244  1.44599128  2.38593268  1.93953156]","[  42.7741394    45.38239288  103.44564056   16.89118195   18.28625679
   25.21950531  107.703125     41.9994545    30.50286293   22.02094269]","[ 221.73226929  164.75434875  236.14616394  152.57188416  101.57382202
   52.88243484  388.49990845   35.45042419   50.10718536  251.10998535]",22.3778820038,0,2.0
20,"[ 101.83654785  279.99865723   86.18593597   26.22801399   20.55498695
    1.95738637   15.87044907  121.18392181   91.90286255  136.20402527]","[ 15.48711205  67.04859161  17.576231     2.99705124  47.3786087
   8.18848228  31.88798332  23.59028435  13.29550457  30.01484489]","[ 2.43005347  7.51016378  1.05860829  1.40988493  1.96948397  6.24934244
  1.44599128  2.38593268  1.93953156  4.86660814]","[  45.38239288  103.44564056   16.89118195   18.28625679   25.21950531
  107.703125     41.9994545    30.50286293   22.02094269   67.57126617]","[ 164.75434875  236.14616394  152.57188416  101.57382202   52.88243484
  388.49990845   35.45042419   50.10718536  251.10998535  219.22903442]",22.1984119415,0,2.0
21,"[ 279.99865723   86.18593597   26.22801399   20.55498695    1.95738637
   15.87044907  121.18392181   91.90286255  136.20402527   96.09638977]","[ 67.04859161  17.576231     2.99705124  47.3786087    8.18848228
  31.88798332  23.59028435  13.29550457  30.01484489  21.98806572]","[ 7.51016378  1.05860829  1.40988493  1.96948397  6.24934244  1.44599128
  2.38593268  1.93953156  4.86660814  3.60950661]","[ 103.44564056   16.89118195   18.28625679   25.21950531  107.703125
   41.9994545    30.50286293   22.02094269   67.57126617   23.82976913]","[ 236.14616394  152.57188416  101.57382202   52.88243484  388.49990845
   35.45042419   50.10718536  251.10998535  219.22903442  197.01611328]",21.9862136841,0,2.0
22,"[  86.18593597   26.22801399   20.55498695    1.95738637   15.87044907
  121.18392181   91.90286255  136.20402527   96.09638977  179.88220215]","[ 17.576231     2.99705124  47.3786087    8.18848228  31.88798332
  23.59028435  13.29550457  30.01484489  21.98806572  45.83184433]","[ 1.05860829  1.40988493  1.96948397  6.24934244  1.44599128  2.38593268
  1.93953156  4.86660814  3.60950661  1.14445269]","[  16.89118195   18.28625679   25.21950531  107.703125     41.9994545
   30.50286293   22.02094269   67.57126617   23.82976913   21.48709679]","[ 152.57188416  101.57382202   52.88243484  388.49990845   35.45042419
   50.10718536  251.10998535  219.22903442  197.01611328  138.87608337]",21.7882423401,0,2.0
23,"[  26.22801399   20.55498695    1.95738637   15.87044907  121.18392181
   91.90286255  136.20402527   96.09638977  179.88220215  110.77629089]","[  2.99705124  47.3786087    8.18848228  31.88798332  23.59028435
  13.29550457  30.01484489  21.98806572  45.83184433  36.13732147]","[ 1.40988493  1.96948397  6.24934244  1.44599128  2.38593268  1.93953156
  4.86660814  3.60950661  1.14445269  5.92341661]","[  18.28625679   25.21950531  107.703125     41.9994545    30.50286293
   22.02094269   67.57126617   23.82976913   21.48709679   91.86013031]","[ 101.57382202   52.88243484  388.49990845   35.45042419   50.10718536
  251.10998535  219.22903442  197.01611328  138.87608337  187.56907654]",21.5894374847,0,2.0
24,"[  20.55498695    1.95738637   15.87044907  121.18392181   91.90286255
  136.20402527   96.09638977  179.88220215  110.77629089  147.92800903]","[ 47.3786087    8.18848228  31.88798332  23.59028435  13.29550457
  30.01484489  21.98806572  45.83184433  36.13732147  10.65993309]","[ 1.96948397  6.24934244  1.44599128  2.38593268  1.93953156  4.86660814
  3.60950661  1.14445269  5.92341661  2.48119903]","[  25.21950531  107.703125     41.9994545    30.50286293   22.02094269
   67.57126617   23.82976913   21.48709679   91.86013031   68.96103668]","[  52.88243484  388.49990845   35.45042419   50.10718536  251.10998535
  219.22903442  197.01611328  138.87608337  187.56907654  367.2449646 ]",21.3894042969,0,2.0
25,"[   1.95738637   15.87044907  121.18392181   91.90286255  136.20402527
   96.09638977  179.88220215  110.77629089  147.92800903  133.63816833]","[  8.18848228  31.88798332  23.59028435  13.29550457  30.01484489
  21.98806572  45.83184433  36.13732147  10.65993309  26.24945259]","[ 6.24934244  1.44599128  2.38593268  1.93953156  4.86660814  3.60950661
  1.14445269  5.92341661  2.48119903  0.86432344]","[ 107.703125     41.9994545    30.50286293   22.02094269   67.57126617
   23.82976913   21.48709679   91.86013031   68.96103668   16.80751801]","[ 388.49990845   35.45042419   50.10718536  251.10998535  219.22903442
  197.01611328  138.87608337  187.56907654  367.2449646   103.17228699]",21.2046375275,0,2.0
26,"[  15.87044907  121.18392181   91.90286255  136.20402527   96.09638977
  179.88220215  110.77629089  147.92800903  133.63816833  149.54740906]","[ 31.88798332  23.59028435  13.29550457  30.01484489  21.98806572
  45.83184433  36.13732147  10.65993309  26.24945259  21.76144981]","[ 1.44599128  2.38593268  1.93953156  4.86660814  3.60950661  1.14445269
  5.92341661  2.48119903  0.86432344  0.87891388]","[ 41.9994545   30.50286293  22.02094269  67.57126617  23.82976913
  21.48709679  91.86013031  68.96103668  16.80751801  10.25077152]","[  35.45042419   50.10718536  251.10998535  219.22903442  197.01611328
  138.87608337  187.56907654  367.2449646   103.17228699   92.9672699 ]",20.9867992401,0,2.0
